gate_id,status,current_real_data_evidence,required_next_action
SUPPORT_ONLY_SOURCE_ATTACK,REQUIRED__CHANNEL_CONFIRMED_REAL_DATA,9 exact support fingerprints; support_fingerprint→source purity 1.000,Implement support-only probe and enforce z_bio quarantine / conditional residual criterion.
DEPTH_QC_ONLY_ATTACK,REQUIRED__ROW_METADATA_BOUND__BASELINE_IMPLEMENTED,50k expression rows bound to expression.zip sample/operator metadata; depth/QC-only source balanced accuracy about 0.518.,Turn baseline into mandatory probe against z_bio/z_obs representations and frozen nulls.
MASK_ONLY_ATTACK,REQUIRED__NOT_IMPLEMENTED,Support/mask geometry is source-informative; target leakage probe not yet run.,Train/probe with only mask/support/query identities; fail if targets or labels predicted beyond frozen null.
DONOR_MEMORIZATION_ATTACK,REQUIRED__NOT_IMPLEMENTED,Required by historical anti-cheat threat model.,Define frozen null implementation probe threshold and review artifact.
HELD_OUT_DONOR_TRANSFER,REQUIRED__NOT_IMPLEMENTED,Required by historical anti-cheat threat model.,Define frozen null implementation probe threshold and review artifact.
HELD_OUT_MATRIX_OPERATOR_TRANSFER,REQUIRED__NOT_IMPLEMENTED,Required by historical anti-cheat threat model.,Define frozen null implementation probe threshold and review artifact.
HELD_OUT_STUDY_SOURCE_TRANSFER,REQUIRED__NOT_IMPLEMENTED,Required by historical anti-cheat threat model.,Define frozen null implementation probe threshold and review artifact.
EVIDENCE_RESPONSE_CURVE,REQUIRED__NOT_IMPLEMENTED,Required by historical anti-cheat threat model.,Define frozen null implementation probe threshold and review artifact.
DEPTH_RESPONSE_CURVE,REQUIRED__NOT_IMPLEMENTED,Required by historical anti-cheat threat model.,Define frozen null implementation probe threshold and review artifact.
PROPOSAL_WEIGHTING_AUDIT,REQUIRED__PARTLY_SPECIFIED,Donor/operator geometry confirms large imbalance; target/proposal correction must remain exact.,Require exact p_i/q_i in trainer loss denominator; reject SNIS.
HARDWARE_INVARIANCE_REPLAY,REQUIRED__NOT_IMPLEMENTED,V5 hardware firewall exists as candidate boundary not integrated trainer proof.,Replay exact scientific schedule across packing/device/chunk variants.
HISTORICAL_CHECKPOINT_QUARANTINE,REQUIRED__NOT_IMPLEMENTED,Required by historical anti-cheat threat model.,Define frozen null implementation probe threshold and review artifact.
STOP_GRADIENT_TARGET_BRANCH_AUDIT,REQUIRED__V4_MECHANICS_PRESENT__V5_BINDING_PENDING,v4 runtime/losses implement detached/no_grad/frozen target behavior; V5 full trainer not yet bound.,Fail first optimizer step unless target branch has no gradients no optimizer state and no writable target parameters.
EMA_EXPOSURE_CLOCK_BINDING,REQUIRED__V5_CANDIDATE_PRESENT__TRAINER_BINDING_PENDING,V5 EMA scale authority expresses half-life in successful base-cell presentations; historical handoff says training-mode EMA equivalence still pending.,Bind EMA momentum/update count to base-cell presentations and prove invariance to microbatch/device/accumulation.
LATENT_COLLAPSE_VARIANCE_EFFECTIVE_RANK,REQUIRED__NOT_PRODUCTION_IMPLEMENTED,v4 has synthetic variance floor and prospective relational collapse gates; no V5 z_bio/z_obs full-run telemetry authority.,Emit donor/source/operator/support-balanced z_bio variance effective rank pairwise spread collapsed-dimension count and rolling drift.
CONSTANT_VECTOR_NEGATIVE_CONTROL,REQUIRED__NOT_IMPLEMENTED,No real-data fake constant checkpoint probe found.,A constant or low-rank fake checkpoint must fail every biological qualification gate before any real checkpoint can pass.
SIGREG_CANDIDATE_REVIEW,OPTIONAL_RESEARCH_CANDIDATE__NOT_TRAINING_AUTHORITY,LeWM uses SIGReg for anti-collapse; project has no SIGReg implementation and our biology/support/donor structure makes global isotropic forcing risky.,Evaluate only as donor-balanced z_bio regularization/telemetry; do not add as global default without external review.
LOSS_BIOLOGY_DIVERGENCE_SENTINEL,REQUIRED__NEWLY_SPECIFIED,training loss decreased while endpoint/biology quality failed to improve or degraded,At every checkpoint compare training loss to frozen biology endpoints shortcut probes z_bio geometry health and transfer metrics. Fail condition: loss improves while biology endpoints/transfer degrade beyond frozen tolerance or shortcut predictability rises.
BIOLOGY_ENDPOINT_MONOTONICITY_NOT_REQUIRED_BUT_DEGRADATION_BOUNDED,REQUIRED__NEWLY_SPECIFIED,overinterpreting noisy endpoint deltas or accepting systematic biological decay,Frozen endpoint panel with donor-cluster intervals and null/RNA baselines; permit non-monotonicity but reject material degradation.
SHORTCUT_ASCENT_WHILE_LOSS_DESCENDS,REQUIRED__NEWLY_SPECIFIED,model improves objective by encoding source/operator/support/depth more strongly,Support-only depth-only mask-only source/operator donor-ID probes on z_bio and z_obs separately. Fail condition: z_bio shortcut probe rises or stays near deterministic while biology does not improve.
CELL_VARYING_RESIDUAL_PRESERVATION,REQUIRED__NEWLY_SPECIFIED,learned representation collapses into static address/operator geometry and loses cell-varying biology,Decompose z_bio into address/static support operator donor and residual cell-varying variance components by checkpoint.
OLD_CACHE_MECHANICS_ONLY_ENFORCER,REQUIRED__REINFORCE_EXISTING,u40/u205 tiny-cache checkpoint mistaken for full-reader biological teacher,Compare checkpoint exposure to full reader-fit inventory and require exposure-defined biological milestone.
OBSERVATION_OPERATOR_ROUTING_PROOF,REQUIRED__NEWLY_SPECIFIED,source/operator/support/depth encoded as biology instead of measurement process,Architectural proof and probes showing support/depth/source enter z_obs/uncertainty path not free z_bio shortcut path.
HISTORICAL_T1_MECHANICS_DEFECT_QUARANTINE,REQUIRED__MECHANICS_CAUSAL_DEFECT_INTEGRATED,Project/user history establishes K0 fp16-backward defect; u10-u205 classified TRAINING_MECHANICS_DEFECT_INHERITED.,Refuse historical u10-u205 as resume/teacher/TD60/successor parent; permit forensic/mechanics reference only.
BACKWARD_AUTOCAST_DISABLED_GATE,REQUIRED__NEW_TRAINER_BINDING,Historical K0 backward under fp16 autocast killed 48/48 protected gradients; K1 corrected path made 48/48 live.,Every production update must emit forward autocast backward autocast disabled and unscale-before-gate telemetry.
MANDATORY_48_GRADIENT_AND_MOMENT_GATE,REQUIRED__NEW_TRAINER_BINDING,Protected registry attention_norm/Q/K/V weight+bias across 6 blocks; repaired gate must reject missing/nonfinite/exact-zero and shrunken registry.,Integrate 48-tensor post-unscale gradient gate and Adam exp_avg/exp_avg_sq liveness gate before EMA/checkpoint acceptance.
ATTENTION_OUTPUT_CANNOT_RESCUE_PROTECTED_ROUTING_DEATH,REQUIRED__NEWLY_SPECIFIED,Historical K0 attention output could remain live while 48 protected attention-routing tensors were dead.,Record attention-output liveness only as telemetry; never allow it to substitute for protected Q/K/V/attention_norm liveness.
