file,bytes,sha256,role,authority
66e64913-959f-4a7c-bbfe-6ff906fb281d.npz,1531109,001375ec77c5b606ad0972073c1daa6ad14b0e517f05ea23c6c9b3110203ff70,historical_41k_address_vectors,SUPPORTING_ONLY
FOUNDATION_CALIBRATION_BUNDLE_20260824.zip,410278055,07748d5bd21fe0857ccad3002fba3946d1791d25898b841d41056a3707117444,historical_calibration_bundle,SUPPORTING_ONLY
FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.part001,303979881,b8163f53a27f7cb1b526f8311d1b46b599502596c5d0be74fa588747a4e72b2e,historical_discovery_expression_part,SUPPORTING_ONLY
FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.part002,303979880,5bc2ec30fb374b15f1c5a4764e1856b0664c13513462ef2f7e224c4b6f856875,historical_discovery_expression_part,SUPPORTING_ONLY
FOUNDATION_DISCOVERY_EXPRESSION_41K_LOG1P10K.zip.parts.sha256.csv,437,fd003bc8f2f34ac856791dfcf6b0e3b7d81eddfffb8b256d23c3e4a5d40f3356,historical_split_archive_hash_manifest,SUPPORTING_ONLY
Pasted markdown.md,10667,365ead17caa6d4a5d288f58d77987d9111221e7c2649c68e6269ad101b95097d,claude_external_audit_source,SUPPORTING_AUDIT_ONLY
Status and Repair Plan.txt,5233,cb2befc374e4b594fb6d04bbb7c30a0ca702913ddc9d568fbfbf8ebca7bb7c56,historical_status_and_repair_context,SUPPORTING_ONLY
WSL execution issue.txt,14576,cd1c50bbec4c80b9b35f1824bba9112c7dbb357ede586b0a46e98532f57e474e,historical_design_context,SUPPORTING_ONLY
checkpoints.zip,71356460,ab2885f98793fdb11b695371e981ca34677af83d2d196f33ff33fdf98686ef4c,historical_t1_checkpoints,SUPPORTING_ONLY
expression.zip,3599456,1098fd4c3fac7a991f2d51ac86ecd0a7ae94be9373e5cc30b9d81be392d32fd4,historical_discovery_expression_metadata,SUPPORTING_ONLY
t1_checkpoint_u0200.zip,233729581,0ec44d004b34d77ccc10445210fedafe5302b6482e509f9ed5752a5691c83a1c,historical_t1_checkpoint_trajectory,SUPPORTING_ONLY
