tier,dataset_id,short_name,primary_record,assays_deposited,deposited_units_transcribed,independent_unit,n_independent_units,n_independent_units_basis,microglia_usable,cell_types,gene_coverage,peak_coverage,disease_context,brain_regions,access,size_on_disk,overlap_FULL104_donors,overlap_other_project_assets,failure_mode_screen,integration_feasibility,verdict
BASELINE (what we already have),GSE174367,Morabito/Swarup AD frontal cortex snRNA+snATAC,GEO SOFT brief; PMID 34239132,snRNA-seq; snATAC-seq; bulk RNA-seq,230 GSMs = 191 bulk RNA-seq + 19 snRNA-seq + 20 snATAC-seq (library_strategy counts 210 RNA-Seq / 20 ATAC-seq),donor,20,derived from the deposit's own Sample-N titles: the 19 snRNA GSMs and 20 snATAC GSMs share 19 Sample-N identifiers; 1 ATAC-only donor. The two assays are NOT independent samples of different people.,"yes, as a subpopulation of unbiased total-nuclei capture",all cortical types (unbiased total nuclei isolation),snRNA feature-barcode matrix deposited,snATAC filtered peak-barcode matrix deposited,11 AD / 8 Control (snRNA); 12 AD / 8 Control (snATAC),"FC (frontal cortex) only, all 39 single-nucleus GSMs",open; no restriction stated,0.648 GB supplementary (unit-rounded from FTP dir index),none known; different brain bank from all three FULL104 sources,lane-d is building the GSE174367 benchmark readiness assessment,"PASSES technical-well screen (real donors, not wells). FAILS on replication breadth: n=20 people, single region, single bank.",already in project use,"BASELINE. The limitation is n=20 DONORS, not 39 samples. Counting the RNA and ATAC arms as separate units double-counts 19 of the same people."
"TIER 1 - independent donors, paired RNA+ATAC",syn66271521 + syn66271522 (AD Knowledge Portal),MIT/ROSMAP multiregion snATAC + snMultiome (Xiong et al. 2025),"Synapse entity service (names verified: 'Multiregion Epigenetics (snATAC-seq)', 'Multiregion Multiome'); PMC12573303 / PMID 40752494",snATAC-seq; snMultiome; snRNA-seq,402 files listed under syn66271521; 172 under syn66271522 (public children listing). Paper states 384 postmortem brain samples and 356 snATAC-seq libraries.,donor,111,stated verbatim in the paper abstract: '111 AD and control individuals',yes - paper reports microglia/immune-associated regulatory modules among 67 cell subtypes,7 major classes / 67 cell subtypes (paper),snRNA + multiome GEX; per-feature counts NOT_STATED_IN_DEPOSIT,>1 million cCREs called across the study (paper),"AD and control, with cognitive-resilience phenotyping (ROSMAP)","6 regions (EC, HC, PFC, thalamus and others per paper)",CONTROLLED. File names are publicly listable; bytes require an AD Knowledge Portal Data Use Certificate. Lead time is the binding cost.,UNKNOWN - public children listing does not return file sizes,"NONE. ROSMAP (Rush) is disjoint from all three FULL104 sources (SEA-AD/Allen-UW, HVS, NPH52). This is the decisive property.",none known,"PASSES all four. Real donors, one library per donor-region, no shared guide library, no pooled-well pseudoreplication.","high for RNA; ATAC needs peak-coordinate harmonisation with the Stage81A2R address space, which is gene-keyed not peak-keyed",TOP CANDIDATE. 111 independent donors with paired epigenome+transcriptome.
"TIER 1 - independent donors, paired RNA+ATAC",syn52293417 (MIT_ROSMAP_Multiomics),Xiong et al. 2023 ROSMAP PFC snATAC (predecessor study),Synapse entity service (name verified: 'MIT_ROSMAP_Multiomics'),snATAC-seq; snMultiome (PFC),"0 files at folder root; 1 child folder ('Data', syn52293424, 6 subfolders)",donor,92,stated in the 2023 publication's own description of the cohort,yes,all cortical types,NOT_STATED_IN_DEPOSIT,NOT_STATED_IN_DEPOSIT,"AD (early and late stage) and control, ROSMAP",PFC,"CONTROLLED, same Data Use Certificate as the multiregion study",UNKNOWN,NONE (ROSMAP),"SUBSUMED BY the 2025 multiregion study, which states this PFC data is its own previously reported data. Acquire ONE of the two, not both as independent evidence.",PASSES all four,same as the multiregion study,REDUNDANT WITH TIER-1 TOP CANDIDATE. Treating both as separate replications would double-count the same donors.
"TIER 1 - independent donors, paired RNA+ATAC",syn26207321 (AD Knowledge Portal),Kosoy et al. 2022 human microglia regulome,Synapse entity service (name verified: 'GeneticsoftheHumanMicroglia Regulome_Kosoy.etal'); Nat Genet 2022,ATAC-seq and RNA-seq on PURIFIED primary human microglia; Hi-C,"0 files and 0 folders returned by the public children listing - the folder is access-gated at listing level, unlike the ROSMAP folders",donor,"150 donors; ATAC n=107, RNA n=127, both n=88",stated in the publication; NOT verified against the deposit (listing is gated),"BEST-IN-CLASS - this is purified microglia, not microglia inferred from an unbiased nuclear capture",microglia only (CD11b+ isolation),bulk RNA-seq of sorted cells,bulk ATAC-seq peaks; count NOT_STATED_IN_DEPOSIT,"biopsy (n=27) and autopsy (n=123) donors, mixed neurological/psychiatric",fresh prefrontal cortex,"CONTROLLED; listing itself returned empty, so a DUC is needed even to inventory",UNKNOWN,"none known, BUT see MiGA/MiGASti - same Mount Sinai / Netherlands Brain Bank pipeline, so donor overlap WITH THOSE is likely and unmeasured",none in the project,"PASSES technical-well and guide-library screens. CRISPRbrain-style shared-infrastructure risk applies BETWEEN Kosoy, MiGA and MiGASti, which share a lab and brain banks - they are not three independent replications.","bulk, so cell-level JEPA states do not transfer directly; donor-level only",STRONG for donor-level microglial RNA+ATAC. Cannot validate cell-level representations because it is bulk.
TIER 2 - perturbation with real donor replication,GSE249315,MiGASti human microglia responsome (ex vivo stimulation),GEO SOFT brief; overall_design states '67 different donors (N = 398 samples)',"bulk RNA-seq of primary human microglia (398 RNA-Seq GSMs, all Homo sapiens)","398 GSMs, all RNA-Seq. Stimulus arms transcribed from sample titles: unstim 132, LPS 126, IFNgamma 79, R848 41, DEX 9, IL4 7, ATP 4",donor,67,"stated verbatim in the deposit's own overall_design. NOTE: grouping sample titles by their first two hyphen fields yields 69 tokens, not 67. The 2-unit discrepancy is UNRESOLVED; the title token is therefore a library-group proxy, not a verified donor id. 67 is the authoritative figure because the deposit states it.",yes - the entire deposit is primary human microglia,microglia only (CD11b+ isolation),gene and transcript level per the deposit's overall_design,none - no ATAC in this deposit,donors with neurological/psychiatric disease and unaffected controls; per-donor diagnosis NOT_STATED_IN_DEPOSIT (no diagnosis characteristics field),"region token counts from titles: GFM 130, SVZ 107, GTS 65, THA 52, CC 38, NA 3, GFS 3",open,0.05 GB supplementary (unit-rounded from FTP dir index),none known,SHARED-INFRASTRUCTURE RISK with MiGA (NG00105) and Kosoy (syn26207321): same lab and brain banks. Donor overlap across these three is LIKELY and is UNKNOWN - not measured in this lane.,"PASSES the GSE301119 unequal-reference failure BY CONSTRUCTION: the control is the SAME donor's unstimulated aliquot. Within-donor paired coverage transcribed from titles - unstim+LPS 57 donors, unstim+IFNgamma 41, unstim+R848 28, unstim+DEX 9, unstim+IL4 7, unstim+ATP 4. PASSES the technical-well screen. Guide-library screen N/A (pharmacological, not CRISPR).","bulk, so donor-level only. Ex vivo culture for 24h before stimulation is a real caveat: cultured microglia drift from their in vivo state, so this tests response biology, not in-brain state.",BEST AVAILABLE PERTURBATION RESOURCE ON REAL PEOPLE. 57 donors with a matched own-donor control and a matched LPS arm is a stronger replication base than every CRISPR option in the project combined.
TIER 2 - perturbation with real donor replication,NG00105 (NIAGADS DSS),MiGA - Microglia Genomic Atlas (Lopes et al. 2022),NIAGADS DSS dataset page; Nat Genet 2022,bulk RNA-seq of purified microglia; genotypes,255 samples from 100 donors (publication),donor,100,stated in the publication; NOT verified against the deposit in this lane,yes - purified CD11b+ microglia,microglia only,bulk RNA-seq,none,neurological and psychiatric disease plus unaffected controls,"MFG, STG, SVZ, THA (publication)",CONTROLLED - NIAGADS data access request required,UNKNOWN,none known,LIKELY DONOR OVERLAP with GSE249315 (MiGASti) and syn26207321 (Kosoy) - same brain banks and lab. UNKNOWN magnitude.,"Observational, so no perturbation-specific failure applies. The CRISPRbrain shared-infrastructure lesson applies to the MiGA/MiGASti/Kosoy trio as a group.","bulk, donor-level only",USEFUL as observational microglial reference; NOT a perturbation resource.
TIER 2 - perturbation with real donor replication,GSE204702,Cross-disease living human microglia (CD45+ scRNA-seq),GEO SOFT brief; PMID 39406950,scRNA-seq of CD45+ cells (67 RNA-Seq GSMs),"67 GSMs, all RNA-Seq, all Homo sapiens",donor,NOT_STATED_IN_DEPOSIT,"no donor characteristics field. 40 unique leading title tokens across 8 disease prefixes (ALS, CNTRL, DLBD, EOAD, FTD, LOAD, MS, PSP) is a PROXY for donors, not a stated count.",yes - CD45+ sort from autopsy tissue and surgical resections,microglia and other CNS immune cells,scRNA-seq counts,none,"cross-disease: ALS, DLBD, EOAD, FTD, LOAD, MS, PSP, control","multiple, plus spinal cord (SC); region tokens in sample titles",open,0.632 GB supplementary (unit-rounded),none known,none known,PASSES technical-well screen; guide-library screen N/A,"single-cell, so cell-level states transfer. Living/surgical samples are a different tissue state from postmortem FULL104 - a feature for robustness testing, a confound for direct comparison.",GOOD breadth of disease context at single-cell resolution. Donor count must be established from the publication before any power claim.
TIER 3 - independent donors but off-context disease,GSE256207,"Orbitofrontal cortex snATAC, psychiatric cohort",GEO SOFT brief; PMID 40053590,"snATAC-seq (92 GSMs, all ATAC-seq)","92 GSMs, one per donor (title shape s#_PFC_ATAC x92)",donor,92,"deposit's overall_design states 35 psychiatrically healthy donors and 57 donors diagnosed with a psychiatric disease; the 92 GSM titles are one-per-sample, and the diagnosis field splits 57 Cases / 35 Controls","yes, as a subpopulation of the snATAC capture",all cortical types,none (ATAC only),snATAC; peak count NOT_STATED_IN_DEPOSIT,"psychiatric disease, NOT Alzheimer's",orbitofrontal cortex BA11; NSW Brain Tissue Resource Centre,open,7.031 GB supplementary (unit-rounded),"none known; Australian brain bank, disjoint from all FULL104 sources",none,"PASSES all four. Rich per-donor QC covariates deposited (age, pH, PMI, RIN, ethnicity, lib batch) - unusually good for nuisance modelling.","ATAC-only, so it cannot validate an RNA-keyed representation directly","92 independent donors is the largest open snATAC donor set found, but the disease axis is psychiatric. Use for chromatin-space generalisation and nuisance structure, NOT as AD validation."
TIER 3 - independent donors but off-context disease,GSE246443,"BA9 snATAC, MDD/suicide cohort (multiplexed)",GEO SOFT brief; PMID NOT_STATED_IN_DEPOSIT,snATAC-seq (42 GSMs),"42 GSMs. Deposit's overall_design states 44 MDD cases who died by suicide and 40 neurotypical controls, multiplexed as male (n=42) and female (n=42) pairs before capture.",donor,84,44 + 40 stated in the deposit's own overall_design,"yes, as a subpopulation",all cortical types,none,snATAC; count NOT_STATED_IN_DEPOSIT,"major depressive disorder / suicide, NOT Alzheimer's",BA9,open,13.314 GB supplementary (unit-rounded),none known,none,"INVERSE of the GSE178317 failure: here 42 LIBRARIES carry 84 DONORS because nuclei were multiplexed. Donor identity must be recovered by genotype demultiplexing BEFORE any donor-level claim; taking 42 as the sample size understates it, taking 84 without demultiplexing is unsupported.",blocked until demultiplexing is done and audited,"DEFER. Real donor breadth, but donor identity is not directly deposited."
"TIER 4 - right context, insufficient donors",GSE214979 (data) / GSE214637 (superseries),Anderson et al. DLPFC snMultiome AD,"GEO SOFT brief; PMIDs 36950385, 40817596","snMultiome, deposited as paired GSMs: GSE214979 = 20 ATAC + 20 RNA; GSE214637 superseries adds 8 ChIP-Seq (48 total)","40 GSMs in GSE214979 (20 ATAC-seq + 20 RNA-Seq), all Homo sapiens",donor,15,"deposit's overall_design states '7 AD and 8 unaffected donors'. The 40 GSMs are 20 multiome libraries x 2 modalities, and some titles carry 'rep' suffixes, so GSM count materially overstates donor count.","yes, as a subpopulation",all cortical types,multiome GEX,multiome ATAC,18 AD / 22 control GSM labels over 15 donors,DLPFC,open,66.373 GB supplementary (unit-rounded) - the largest per-donor cost in the registry,none known,none,PASSES the technical-well screen only because donors are real; but n=15 with replicate libraries invites exactly the RNA-vs-ATAC double-count that inflates Morabito's apparent n.,"high - true same-cell multiome, the cleanest modality pairing available","BEST MODALITY PAIRING, WORST REPLICATION-PER-GIGABYTE. 66 GB for 15 donors. Acquire only if same-cell RNA-ATAC coupling is the specific question."
