field,value,authority_tag,input_hashes,derivation_procedure,procedure_hash,result_artifact,result_hash
molecular_addresses,41238.0,FROZEN_AUTHORITY,d226a73a0e25500c887c171e8ab3e729ea953b6644de7b6693a0c5146107698b,controlling Molecular Ledger,775bebff33cebb6fd7517155a9cb23ac97b680f25defe632020ee2a6813cffbe,stage81a2r_foundation_molecular_address_registry_candidate.csv,7d61ed7bb649d129496c45cdf49adbb8b85faf7330803803287a2ec93631e4fd
fit_donors,104.0,DERIVE_ON_104_FIT,d226a73a0e25500c887c171e8ab3e729ea953b6644de7b6693a0c5146107698b,authenticated reader split intersect source×donor authority,775bebff33cebb6fd7517155a9cb23ac97b680f25defe632020ee2a6813cffbe,PHASE2_DONOR_INVENTORY.csv,682ab378d4c05d0c2a7b6948be1524ae06c27305ff0e4c83a6963fbd8746fe00
fit_cells,4553407.0,DERIVE_ON_104_FIT,d226a73a0e25500c887c171e8ab3e729ea953b6644de7b6693a0c5146107698b,sum authenticated donor×operator counts,775bebff33cebb6fd7517155a9cb23ac97b680f25defe632020ee2a6813cffbe,PHASE2_DONOR_INVENTORY.csv,682ab378d4c05d0c2a7b6948be1524ae06c27305ff0e4c83a6963fbd8746fe00
outer_donor_folds,5.0,DERIVE_ON_104_FIT,d226a73a0e25500c887c171e8ab3e729ea953b6644de7b6693a0c5146107698b,largest K<=8 with >=3 donors/source/fold; deterministic source-stratified snake,775bebff33cebb6fd7517155a9cb23ac97b680f25defe632020ee2a6813cffbe,PHASE2_DONOR_FOLDS.csv,2ce50daeedfea8f86f1002114ea3b220686b6c4f534532a9ce443976d13c715a
four_views,4.0,FROZEN_AUTHORITY,d226a73a0e25500c887c171e8ab3e729ea953b6644de7b6693a0c5146107698b,controlling four-view teacher family,775bebff33cebb6fd7517155a9cb23ac97b680f25defe632020ee2a6813cffbe,PHASE2_DERIVATION_FREEZE.json,5943e628bd2c8aa72622226c6267a610135ae1ef4bbb9f582e9ed3cd9f48f5c8
visible_fraction,0.6,FROZEN_AUTHORITY,d226a73a0e25500c887c171e8ab3e729ea953b6644de7b6693a0c5146107698b,controlling primary evidence fraction,775bebff33cebb6fd7517155a9cb23ac97b680f25defe632020ee2a6813cffbe,PHASE2_DERIVATION_FREEZE.json,5943e628bd2c8aa72622226c6267a610135ae1ef4bbb9f582e9ed3cd9f48f5c8
candidate_search_rank,320.0,FROZEN_AUTHORITY,d226a73a0e25500c887c171e8ab3e729ea953b6644de7b6693a0c5146107698b,"prospective overcomplete rank=2*d_gene; boundary is a STOP, not selection",775bebff33cebb6fd7517155a9cb23ac97b680f25defe632020ee2a6813cffbe,PHASE2_DERIVATION_FREEZE.json,5943e628bd2c8aa72622226c6267a610135ae1ef4bbb9f582e9ed3cd9f48f5c8
feature_sketch_dimension,512.0,FROZEN_AUTHORITY,d226a73a0e25500c887c171e8ab3e729ea953b6644de7b6693a0c5146107698b,next power of two >=1.5*candidate rank,775bebff33cebb6fd7517155a9cb23ac97b680f25defe632020ee2a6813cffbe,PHASE2_DERIVATION_FREEZE.json,5943e628bd2c8aa72622226c6267a610135ae1ef4bbb9f582e9ed3cd9f48f5c8
donor_resamples,256.0,FROZEN_AUTHORITY,d226a73a0e25500c887c171e8ab3e729ea953b6644de7b6693a0c5146107698b,next power of two >=candidate_rank/2,775bebff33cebb6fd7517155a9cb23ac97b680f25defe632020ee2a6813cffbe,PHASE2_DERIVATION_FREEZE.json,5943e628bd2c8aa72622226c6267a610135ae1ef4bbb9f582e9ed3cd9f48f5c8
matched_null_replicates,256.0,FROZEN_AUTHORITY,d226a73a0e25500c887c171e8ab3e729ea953b6644de7b6693a0c5146107698b,same Monte Carlo resolution as donor resamples,775bebff33cebb6fd7517155a9cb23ac97b680f25defe632020ee2a6813cffbe,PHASE2_DERIVATION_FREEZE.json,5943e628bd2c8aa72622226c6267a610135ae1ef4bbb9f582e9ed3cd9f48f5c8
