candidate_id,target,target_score,comparator_score,delta_vs_comparator,target_drop_guard_pass,guard_threshold,guard_pass,failure_reason
stage27c_locked_reference,6e10/A_beta,0.3347372684013365,0.4001619925078465,-0.06542472410651001,True,-0.05,True,none
stage27c_locked_reference,AT8,0.5284398096588033,0.5254834463906044,0.002956363268198925,True,-0.05,True,none
stage27c_locked_reference,GFAP,0.30229826870507237,0.3122608079376329,-0.009962539232560519,True,-0.05,True,none
stage27c_locked_reference,Iba1,0.016077756403766325,0.025473321858864025,-0.0093955654550977,True,-0.05,True,none
stage27c_locked_reference,NeuN,0.4519590968917688,0.46566771286827985,-0.013708615976511074,True,-0.05,True,none
stage39c_rank_int_module_pca_ridge,6e10/A_beta,0.4001619925078465,0.4001619925078465,0.0,True,-0.05,True,none
stage39c_rank_int_module_pca_ridge,AT8,0.5254834463906044,0.5254834463906044,0.0,True,-0.05,True,none
stage39c_rank_int_module_pca_ridge,GFAP,0.3122608079376329,0.3122608079376329,0.0,True,-0.05,True,none
stage39c_rank_int_module_pca_ridge,Iba1,0.025473321858864025,0.025473321858864025,0.0,True,-0.05,True,none
stage39c_rank_int_module_pca_ridge,NeuN,0.46566771286827985,0.46566771286827985,0.0,True,-0.05,True,none
stage39d_no_pseudo_no_seaad_restricted,6e10/A_beta,0.2755492558469171,0.4001619925078465,-0.12461273666092942,False,-0.05,False,target dropped more than allowed versus Stage39C
stage39d_no_pseudo_no_seaad_restricted,AT8,0.4479700313860484,0.5254834463906044,-0.077513415004556,False,-0.05,False,target dropped more than allowed versus Stage39C
stage39d_no_pseudo_no_seaad_restricted,GFAP,0.2499544396071682,0.3122608079376329,-0.062306368330464684,False,-0.05,False,target dropped more than allowed versus Stage39C
stage39d_no_pseudo_no_seaad_restricted,Iba1,0.1670142755897539,0.025473321858864025,0.14154095373088987,True,-0.05,True,none
stage39d_no_pseudo_no_seaad_restricted,NeuN,0.4366103067733117,0.46566771286827985,-0.029057406094968152,True,-0.05,True,none
stage39d_rank_int_latent_composition_ridge_proxy_risk,6e10/A_beta,0.7684114609699302,0.4001619925078465,0.3682494684620837,True,-0.05,True,none
stage39d_rank_int_latent_composition_ridge_proxy_risk,AT8,0.7183152779183962,0.5254834463906044,0.19283183152779182,True,-0.05,True,none
stage39d_rank_int_latent_composition_ridge_proxy_risk,GFAP,0.35885390300698594,0.3122608079376329,0.04659309506935305,True,-0.05,True,none
stage39d_rank_int_latent_composition_ridge_proxy_risk,Iba1,0.13704566163814924,0.025473321858864025,0.11157233977928521,True,-0.05,True,none
stage39d_rank_int_latent_composition_ridge_proxy_risk,NeuN,0.5417029462387365,0.46566771286827985,0.07603523337045665,True,-0.05,True,none
stage39e_rank_inverse_normal_module_direct_elasticnet,6e10/A_beta,0.33392422739803806,0.4001619925078465,-0.06623776510980844,False,-0.05,False,target dropped more than allowed versus Stage39C
stage39e_rank_inverse_normal_module_direct_elasticnet,AT8,0.6297023981186389,0.5254834463906044,0.10421895172803453,True,-0.05,True,none
stage39e_rank_inverse_normal_module_direct_elasticnet,GFAP,0.3369586193142646,0.3122608079376329,0.024697811376631684,True,-0.05,True,none
stage39e_rank_inverse_normal_module_direct_elasticnet,Iba1,0.12208036796026417,0.025473321858864025,0.09660704610140014,True,-0.05,True,none
stage39e_rank_inverse_normal_module_direct_elasticnet,NeuN,0.46989722504523623,0.46566771286827985,0.004229512176956385,True,-0.05,True,none
stage39e_rank_inverse_normal_module_pca8_ridge,6e10/A_beta,0.3746733755407961,0.4001619925078465,-0.025488616967050404,True,-0.05,True,none
stage39e_rank_inverse_normal_module_pca8_ridge,AT8,0.5155185235317487,0.5254834463906044,-0.009964922858855751,True,-0.05,True,none
stage39e_rank_inverse_normal_module_pca8_ridge,GFAP,0.3823049963928304,0.3122608079376329,0.0700441884551975,True,-0.05,True,none
stage39e_rank_inverse_normal_module_pca8_ridge,Iba1,0.056974172849842526,0.025473321858864025,0.031500850990978504,True,-0.05,True,none
stage39e_rank_inverse_normal_module_pca8_ridge,NeuN,0.4609347456451279,0.46566771286827985,-0.004732967223151974,True,-0.05,True,none
