audit_item,pass
stage27c_locked_benchmark_preserved,True
stage41c_not_rebranded_as_locked,True
stage45_not_rebranded_as_improvement,True
v1_v2_exploratory_not_overclaimed,True
in_silico_perturbation_not_called_validated_ablation,True
drug_mapping_not_called_therapeutic_validation,True
external_support_not_called_clean_validation,True
no_new_target_derived_gene_selection,True
no_new_supervised_candidate_ranking,True
no_external_validation_claim,True
no_clean_validation_claim,True
no_causal_claim,True
no_therapeutic_claim,True
no_gene_ablation_claim,True
no_disease_modifying_claim,True
raw_data_not_committed,True
safety_audit_pass,True
