candidate_id,target,abeta_score,stage39e_pca8_target_reference,delta_vs_stage39e_pca8,guard_threshold,abeta_guard_pass
full_39d_reconstruction_comparator,6e10/A_beta,0.7306469575782121,0.3746733755407961,0.35597358203741597,-0.05,True
latent_only,6e10/A_beta,0.4001619925078465,0.3746733755407961,0.025488616967050404,-0.05,True
latent_plus_tier1_plus_tier2,6e10/A_beta,0.6238938949073606,0.3746733755407961,0.24922051936656447,-0.05,True
latent_plus_tier1_safe_metadata,6e10/A_beta,0.6347878910600385,0.3746733755407961,0.2601145155192424,-0.05,True
latent_plus_tier2_composition,6e10/A_beta,0.3193074820289562,0.3746733755407961,-0.0553658935118399,-0.05,False
restricted_no_pseudo_no_seaad_reconstruction,6e10/A_beta,-0.007937632884479092,0.3746733755407961,-0.3826110084252752,-0.05,False
safe_composition_only,6e10/A_beta,-0.21484365112987208,0.3746733755407961,-0.5895170266706682,-0.05,False
safe_metadata_only,6e10/A_beta,0.5211906449326719,0.3746733755407961,0.14651726939187576,-0.05,True
stage27c_reference,6e10/A_beta,0.3347372684013365,0.3746733755407961,-0.03993610713945961,-0.05,True
stage39e_pca8_reference,6e10/A_beta,0.3746733755407961,0.3746733755407961,0.0,-0.05,True
target_shuffled_control,6e10/A_beta,0.20024298876176977,0.3746733755407961,-0.17443038677902634,-0.05,False
tier3_proxy_only_comparator,6e10/A_beta,0.08749620330059735,0.3746733755407961,-0.2871771722401988,-0.05,False
