audit_item,pass,evidence
train_fold_only_preprocessing,True,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
donor_heldout_only,True,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_external_data,True,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_composition_proxy_features,True,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_candidate_selection,True,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_clean_external_validation_claim,True,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_causal_claim,True,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_therapeutic_claim,True,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_gene_ablation_claim,True,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
negative_controls_reported,True,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
safety_audit_pass,True,all safety checks passed
