audit_item,pass
stage27c_locked_benchmark_preserved,True
stage41c_not_rebranded_as_locked,True
stage45_not_rebranded_as_improvement,True
stage47_framing_preserved,True
no_new_model_training,True
no_new_supervised_benchmark_tuning,True
no_target_derived_gene_selection,True
known_evidence_used_only_posthoc,True
known_evidence_not_called_model_validation,True
perturbation_evidence_not_called_our_ablation_validation,True
drug_mapping_not_called_drug_discovery,True
no_external_validation_claim,True
no_clean_validation_claim,True
no_causal_claim,True
no_therapeutic_claim,True
no_gene_ablation_claim,True
no_disease_modifying_claim,True
raw_data_not_committed,True
safety_audit_pass,True
