dataset_id,dataset_name,source,registry_role,matrix_local_path,matrix_found,matrix_loaded,n_cells_or_rows,n_genes_raw,n_genes_aligned,gene_overlap_fraction,included_in_pretraining_matrix,exclusion_reason,used_dataset_removed_from_clean_validation_pool
Olah_live_microglia,Olah live human microglia,CELLxGENE,already_used_plausibility_only,data\external\cellxgene\olah_live_microglia.h5ad,True,False,0,0,0,0.0,False,not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\external\cellxgene\rexach_cross_dementia.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
GSE174367,Morabito prefrontal cortex snRNA-seq,GEO,already_used_plausibility_only,data\external\gse174367\GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,True,False,0,0,0,0.0,False,not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\processed\sea_ad_mtg_contiguous_10k_hvg3k.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k_module_preserved.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\processed\sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\processed\sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\processed\sea_ad_mtg_microglia_pvm_smoke_hvg200.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
Olah_live_microglia,Olah live human microglia,CELLxGENE,already_used_plausibility_only,data\processed\v2_alignment\olah_live_microglia_microglia_jepa_aligned.h5ad,True,False,0,0,0,0.0,False,not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\processed\v2_alignment\rexach_cross_dementia_microglia_jepa_aligned.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\processed\v2_pretraining\sea_ad_low_pathology_microglia_pvm_relaxed_jepa_aligned.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\processed\v2_pretraining\sea_ad_low_pathology_microglia_pvm_strict_jepa_aligned.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\raw\fake_k562.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\raw\kampmann_gse178317\GSM5387652_iTF_Microglia_10X_Lane1_filtered_feature_bc_matrix.h5,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\raw\kampmann_gse178317\GSM5387656_iTF_Microglia_sgRNAenrichment_Lane1_filtered_feature_bc_matrix.h5,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\raw\ReplogleWeissman2022_K562_gwps.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
,,,,data\raw\snrna\SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,True,False,0,0,0,0.0,False,no_confident_registry_match; not_approved_for_pretraining; matrix_not_loaded_or_unsupported; gene_overlap_below_0_85,False
