gene_symbol,stage47_mechanism_bin,stage36e_mechanism_id,stage36e_mechanism_name,mechanism_assignment_consistent,notes
APOE,Glial activation / disease-associated microglia-astrocyte state,M2,Glial activation / disease-associated microglia-astrocyte state,True,
BSG,Inflammatory signaling / transport / cell-state modulation,M4,Inflammatory signaling / transport / cell-state modulation,True,
CST7,Glial activation / disease-associated microglia-astrocyte state,M2,Glial activation / disease-associated microglia-astrocyte state,True,
CTSB,Endolysosomal / autophagy / proteostasis,M1,Endolysosomal / autophagy / proteostasis,True,
CTSD,Glial activation / disease-associated microglia-astrocyte state,M2,Glial activation / disease-associated microglia-astrocyte state,True,multi-bin genes such as CTSD may legitimately appear in more than one biology context
GPX4,Oxidative stress / antioxidant response,M3,Oxidative stress / antioxidant response,True,
HMOX1,Oxidative stress / antioxidant response,M3,Oxidative stress / antioxidant response,True,
IL27RA,Inflammatory signaling / transport / cell-state modulation,M4,Inflammatory signaling / transport / cell-state modulation,True,
LAMP2,Endolysosomal / autophagy / proteostasis,M1,Endolysosomal / autophagy / proteostasis,True,
LAPTM5,Endolysosomal / autophagy / proteostasis,M1,Endolysosomal / autophagy / proteostasis,True,
LGALS3,Glial activation / disease-associated microglia-astrocyte state,M2,Glial activation / disease-associated microglia-astrocyte state,True,
NFKBIA,Inflammatory signaling / transport / cell-state modulation,M4,Inflammatory signaling / transport / cell-state modulation,True,
NPC2,Endolysosomal / autophagy / proteostasis,M1,Endolysosomal / autophagy / proteostasis,True,
NQO1,Oxidative stress / antioxidant response,M3,Oxidative stress / antioxidant response,True,
SLC6A12,Inflammatory signaling / transport / cell-state modulation,M4,Inflammatory signaling / transport / cell-state modulation,True,
SOD1,Oxidative stress / antioxidant response,M3,Oxidative stress / antioxidant response,True,
SOD2,Oxidative stress / antioxidant response,M3,Oxidative stress / antioxidant response,True,
TREM2,Glial activation / disease-associated microglia-astrocyte state,M2,Glial activation / disease-associated microglia-astrocyte state,True,
