dataset_id,dataset_name,matrix_local_path,matrix_loaded,n_cells_or_rows,n_donors_or_samples,cell_type_column,donor_column,disease_column,tissue_column,species_column,normalization_status,warnings
Olah_live_microglia,Olah live human microglia,data\external\cellxgene\olah_live_microglia.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\external\cellxgene\rexach_cross_dementia.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
GSE174367,Morabito prefrontal cortex snRNA-seq,data\external\gse174367\GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,False,0,0,,,,,,unsupported_for_automatic_stage32_build,format_.h5_inventory_only
,,data\processed\sea_ad_mtg_contiguous_10k_hvg3k.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k_module_preserved.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\processed\sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\processed\sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\processed\sea_ad_mtg_microglia_pvm_smoke_hvg200.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
Olah_live_microglia,Olah live human microglia,data\processed\v2_alignment\olah_live_microglia_microglia_jepa_aligned.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\processed\v2_alignment\rexach_cross_dementia_microglia_jepa_aligned.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\processed\v2_pretraining\sea_ad_low_pathology_microglia_pvm_relaxed_jepa_aligned.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\processed\v2_pretraining\sea_ad_low_pathology_microglia_pvm_strict_jepa_aligned.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\raw\fake_k562.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\raw\kampmann_gse178317\GSM5387652_iTF_Microglia_10X_Lane1_filtered_feature_bc_matrix.h5,False,0,0,,,,,,unsupported_for_automatic_stage32_build,format_.h5_inventory_only
,,data\raw\kampmann_gse178317\GSM5387656_iTF_Microglia_sgRNAenrichment_Lane1_filtered_feature_bc_matrix.h5,False,0,0,,,,,,unsupported_for_automatic_stage32_build,format_.h5_inventory_only
,,data\raw\ReplogleWeissman2022_K562_gwps.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
,,data\raw\snrna\SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,False,0,0,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
