topic,path,sha256,semantic_scope,action
FULL104 census/firewall,outputs/full104_v014_20260826/01_full104_metadata_adapter/FULL104_METADATA_SCOPE_STATUS.json,7ce2e8351c46419c56eacc6ce6e236644e264b4fb5d68ae762fbe82054b05fb2,"reader_fit104 population, source counts, quarantine and no-expression firewall",REUSE_EXACT
FULL104 metadata reconciliation,outputs/full104_v014_20260826/01_full104_metadata_adapter/FULL104_METADATA_RECONCILIATION.json,472f66f3e5227a2f9b276a03eeb8c0f691fff2dd49ee6610774614920d10e30e,donor/operator/cell reconciliation,REUSE_EXACT
FULL104 row-lineage index,outputs/full104_v014_20260826/01_full104_metadata_adapter/FULL104_ROW_LINEAGE.csv,a6065751667b35a38c5990107c6b3f0177e262f7d145addb24bea24206eeb61b,42 exact row-lineage shard authorities and locators,REUSE_EXACT
FULL104 adapter provenance,outputs/full104_v014_20260826/01_full104_metadata_adapter/FULL104_ADAPTER_PROVENANCE.json,ba2ea7a2e4fa5c2a6325e8cf0d98ca3047c43e9fa782d1ef76b00d7a13d09f55,"adapter inputs, observation semantics and firewall",REUSE_EXACT
FULL104 adapter hash manifest,outputs/full104_v014_20260826/01_full104_metadata_adapter/FULL104_ADAPTER_SHA256_MANIFEST.csv,54e4ba5b60e9c5d3ff23a307df03576f45ac725f3b71642888500a469ebdbc74,frozen adapter artifact hashes,REUSE_EXACT
expression interface V8 final manifest,outputs/full104_v014_20260826/full104_expression_interface_v8_verified/FULL104_EXPRESSION_INTERFACE_V8/FULL104_EXPRESSION_INTERFACE_V8_SHA256_MANIFEST.csv,28d544e8cc34408d27d0682fc853770b0bdddcaa56a4099f9d58630367b1a127,verified 84-row all-operator expression-interface proof,REUSE_EXACT
phase2 materialization contract,outputs/full104_v014_20260826/03_phase2_state_derivation_v1/expression_level4/MATERIALIZATION_CONTRACT.json,612b45742ad80498cbe2f061a75af08c0a10692dc731e0ac8e649417b7e62f17,"raw-count/log1p10K, row identity, collision and normalization semantics",REUSE_EXACT
phase2 materialization audit,outputs/full104_v014_20260826/03_phase2_state_derivation_v1/expression_level4/PHASE2_EXPRESSION_MATERIALIZATION_AUDIT.json,9fa0ede3135a606bb1fe4cd4cc11881c439b7726b6dec62147c1892967eba7cf,completed expression materialization audit,REUSE_EXACT
observation-state authority,exports/foundation_calibration_bundle_20260824/support/FOUNDATION_OPERATOR_ADDRESS_OBSERVATION_STATE.npz,852cb3ec6365cbd326dc6d5e8c8d885656f383b8f75b6e7a8d7aab72d9a42537,"42x41,238 three-state physical observation authority",REUSE_EXACT
address namespace,exports/foundation_calibration_bundle_20260824/contracts/address_namespace.csv,7d61ed7bb649d129496c45cdf49adbb8b85faf7330803803287a2ec93631e4fd,"ordered 41,238 molecular addresses",REUSE_EXACT
corpus discovery final,exports/foundation_corpus_discovery_v1/FOUNDATION_CORPUS_DISCOVERY_FINAL.md,4ae30124a0fd341e45ac8580218622bd28f3f64e0e102585f7fdbd8b8349cabd,"FULL104 discovery, source_library normalization and descriptive corpus authority",REUSE_EXACT
corpus discovery manifest,exports/foundation_corpus_discovery_v1/FOUNDATION_CORPUS_DISCOVERY_HASH_MANIFEST.csv,a21029603afc7fe4e9ed05ffad4bde7bb685fd0660651a43a35c42ce71d510f4,discovery artifact hash authority,REUSE_EXACT
donor/operator authority,exports/foundation_corpus_discovery_v1/FOUNDATION_METADATA_DONOR_X_OPERATOR.csv,2ac07c2ba5f0fdde7c4845785f8f18fbaf633ff1f76c9fffbfcd0cb6ce47e037,fit-donor by physical-operator support,REUSE_EXACT
reader donor firewall,exports/contextual_biology_v6r5a_20260822/reader_donor_split.csv,efe43e63bfd580085f115f74dd00fdf3051f2c2a77674c99cee5c9ce43322511,104/22/23 reader partition authority,REUSE_EXACT
NPH firewall implementation,scripts/v4/full104_production_expression_firewall.py,f09abf60ef343314afe18eb978cde62a003847ca30522a5b25dde5b124c85b4b,original-NPH denylist and seven derivative allowlist implementation,REUSE_EXACT
phase2 materialization manifest,outputs/full104_v014_20260826/03_phase2_state_derivation_v1/expression_level4/PHASE2_EXPRESSION_MATERIALIZATION_MANIFEST.csv,818ef14ac8c61ea4e93cc0c853a502dfa1cb75c198499b1cdafa6475e5a9eee9,completed phase2 expression artifact and normalization lineage manifest,REUSE_EXACT
phase2 expression block manifest,outputs/full104_v014_20260826/03_phase2_state_derivation_v1/expression_level4/PHASE2_EXPRESSION_BLOCK_MANIFEST.csv,66f589e56badb1487058f2c95940c3e4b37196e3ab5e9c6ea1ffbe7098d2ea29,completed block geometry and row/address mapping,REUSE_EXACT
phase2 asset authentication,outputs/full104_v014_20260826/03_phase2_state_derivation_v1/expression_level4/ASSET_AUTHENTICATION.csv,d8bccf6c315b928ea5fc5f384c6eaa7eb7c4690dc5f35e4eb6b3f7161e5aa9ea,authenticated materialization inputs and NPH derivatives,REUSE_EXACT
physical descriptor allowlist,outputs/full104_v014_20260826/03_phase2_state_derivation_v1/preexpression_freeze/PHASE2_PHYSICAL_DESCRIPTOR_ALLOWLIST.json,9a39c306cd3b692da304778123a6da471a4b5c0a0c0b1b2cd8dd0ae3383c104e,preexpression observation and physical-descriptor allowlist,REUSE_EXACT
original NPH denylist,outputs/full104_v014_20260826/full104_expression_interface_v8_verified/FULL104_EXPRESSION_INTERFACE_V8/ORIGINAL_NPH_MIXED_ASSET_DENYLIST.csv,fc6e78a71704513e9cf347575abdd93dafa1d52acccbcd8260bf632bce81c2b9,original mixed-NPH assets denied by path and hash,REUSE_EXACT
source registry,exports/foundation_corpus_discovery_v1/FOUNDATION_METADATA_SOURCE.csv,1e441f1a007c2d50bdce19893738bd0b56300c993a6a49c6188a64f54ddc7bba,source_library registry and corpus counts,REUSE_EXACT
donor registry,exports/foundation_corpus_discovery_v1/FOUNDATION_METADATA_DONOR.csv,c9cbe47d4727aabec8a0c3fed5474c2dab4f9f2b8848357e08b0cec6ef044508,fit donor registry,REUSE_EXACT
operator registry,exports/foundation_corpus_discovery_v1/FOUNDATION_METADATA_OPERATOR.csv,d5ead72b682c0d8ac81e8c8f700d473b8c0a407b077294e41ec616a604078ac6,42 physical operator registry,REUSE_EXACT
source/operator registry,exports/foundation_corpus_discovery_v1/FOUNDATION_METADATA_SOURCE_X_OPERATOR.csv,647abf91705506f0a62a0b88592dd90383211b38a4d01779abeb82ecb4f99877,source_library to operator lineage,REUSE_EXACT
support by source,exports/foundation_corpus_discovery_v1/FOUNDATION_SUPPORT_BY_SOURCE.csv,1d6643b87eb1de38d8072e4ec634260763b8ce23acb5b99051eb7c52b02fdfb7,source-level scalar support and sparsity summary,REUSE_EXACT
support by operator,exports/foundation_corpus_discovery_v1/FOUNDATION_SUPPORT_BY_OPERATOR.csv,1814a22c8ae01ee94a6fe132546a029af01a7d762384d53c152f37cb545787c1,operator-level address support and sparsity summary,REUSE_EXACT
model ingress consumer,scripts/v4/full104_expression_interface_consumer.py,1fc1e7fcc90fe639e7826c996584e1fc220cae8c976748210d563a9f560edbdf,same normalized-value plus observation-state interface; implementation reuse requires contextual rebenchmark,REUSE_ENGINEERING_PATTERN_ONLY
F0 slow reference,scripts/v4/contextual_target_v1_f0_slow_reference.py,80cd7aca623452355ba1a5b67fff77280e25cd9c83465c7fdb8222c8c97090b6,independent contextual constructor parity oracle,REUSE_ENGINEERING_PATTERN_ONLY
executor test design,scripts/v4/test_full104_block_major_executor_v1.py,cb25f0fc2b36a2e68ad1795d2935779486cc59fdfd62b82ddd601dda8cbc0c56,"parity, resume and adversarial test architecture",REUSE_ENGINEERING_PATTERN_ONLY
block-major executor,scripts/v4/run_full104_refit_null_block_major_v1.py,2e148fb2ee855e60d20b99b294eb5308d5f52e2854407efe132633dba1959d93,"block-major sorted reads, logical restore, accumulators, checkpoint binding",REUSE_ENGINEERING_PATTERN_ONLY
