review_id,dataset_id,dataset_name,review_priority,why_review_is_needed,minimum_metadata_required,required_independence_checks,required_pathology_or_mechanism_readouts,required_gene_or_module_measurements,required_sample_or_donor_metadata,potential_use_if_approved,potential_use_if_not_clean_validation,decision_owner,recommended_decision_before_stage37c
MR001,LU_2026_SIGNATURES,Lu et al. 2026 signatures/supplementary tables,medium,"Resource appears suited to mechanism/signature concordance, not full pathology validation unless required frozen readouts are verified.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
MR002,PIG_WGCNA_RESOURCES,PIG / WGCNA resources,medium,"Resource appears suited to mechanism/signature concordance, not full pathology validation unless required frozen readouts are verified.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
MR003,GSE157827,Candidate public external brain snRNA/scRNA dataset,high,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
MR004,GSE147528,Candidate public external brain snRNA/scRNA dataset,high,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
MR005,GSE203206,Bulk donor/sample-level external stress test,high,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
MR006,37a17b78-4864-4a42-b67b-31c00962795a,MSSM_Cohort,high,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
MR007,5e57cd50-8e42-42d6-940d-5c1660d06864,RADC_Cohort,high,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
MR008,cff99df2-4904-44f7-9173-ff837f95606e,all cells,high,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
MR009,203025fe-fa99-4d57-81da-458ed8f0c334,Brain vascular single-cell multi-omics disease-risk snRNA-seq,high,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
MR010,0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,Full Dataset,high,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
MR011,fe2eecbc-977a-4aec-9196-f89c3281d11c,Microglia,high,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","cohort/source, assay, disease labels, pathology/mechanism readouts, donor/sample IDs, batch/provenance, access/license",not used for training; pretraining; model selection; candidate selection; threshold tuning; feature selection,must directly test at least one frozen Stage 36E target/mechanism readout,candidate gene expression or module-score measurement must be available and pre-specifiable,donor/sample-level metadata with batch and disease/pathology provenance,candidate validation resource for Stage 37C only if all gates pass,"projection/signature support, stress-test support, or robustness-only support with explicit claim boundary",PI/manual review,PI_REVIEW_PENDING
