dataset,state_label,mean_high_minus_low_fraction,median_high_minus_low_fraction,n_donors,total_high_cells,total_low_cells
MTG,Micro-PVM_3-SEAAD,0.16617043133452156,0.1409533935849725,78,1994,17762
MTG,Micro-PVM_2,0.11674705032247495,0.1275121704785524,78,1994,17762
MTG,Monocyte,0.007576622368348534,-0.00421360695333298,48,1443,11721
MTG,Micro-PVM_1,0.003000243196342488,-0.010262936207074684,78,1994,17762
MTG,Micro-PVM_4-SEAAD,0.0016380025581448875,-0.004706116844576339,34,920,8953
MTG,Micro-PVM_2_1-SEAAD,-0.02604772626244591,-0.014981483559645382,34,978,7872
MTG,Lymphocyte,-0.056412033659722347,-0.03237410071942446,73,1925,16689
MTG,Micro-PVM_2_3-SEAAD,-0.22714424806583594,-0.19393435665275516,78,1994,17762
DLPFC,Micro-PVM_3-SEAAD,0.09526941139385048,0.037772606739940776,68,1990,17189
DLPFC,Micro-PVM_1_1-SEAAD,0.04084577018925887,0.004193073426797261,45,1507,11570
DLPFC,Micro-PVM_2_1-SEAAD,-0.015468074112464225,-0.009209226046550745,34,880,9039
DLPFC,Micro-PVM_1,-0.021291969260593915,-0.021739130434782608,67,1883,16997
DLPFC,Micro-PVM_2,-0.042888069629794634,0.01388888888888884,73,2117,17985
DLPFC,Micro-PVM_2_2-SEAAD,-0.04618677271485568,-0.02243444561880316,70,2088,17549
