candidate_id,target,target_score,stage39e_pca8_target_reference,delta_vs_stage39e_pca8,guard_threshold,target_guard_pass
full_39d_reconstruction_comparator,6e10/A_beta,0.7306469575782121,0.3746733755407961,0.35597358203741597,-0.05,True
full_39d_reconstruction_comparator,AT8,0.6959805608990586,0.5155185235317487,0.18046203736730992,-0.05,True
full_39d_reconstruction_comparator,GFAP,0.3136174951908475,0.3823049963928304,-0.06868750120198291,-0.05,False
full_39d_reconstruction_comparator,Iba1,0.2375215146299484,0.056974172849842526,0.18054734178010587,-0.05,True
full_39d_reconstruction_comparator,NeuN,0.48905538118862,0.4609347456451279,0.028120635543492145,-0.05,True
latent_only,6e10/A_beta,0.4001619925078465,0.3746733755407961,0.025488616967050404,-0.05,True
latent_only,AT8,0.5254834463906044,0.5155185235317487,0.009964922858855751,-0.05,True
latent_only,GFAP,0.3122608079376329,0.3823049963928304,-0.0700441884551975,-0.05,False
latent_only,Iba1,0.025473321858864025,0.056974172849842526,-0.031500850990978504,-0.05,True
latent_only,NeuN,0.46566771286827985,0.4609347456451279,0.004732967223151974,-0.05,True
latent_plus_tier1_plus_tier2,6e10/A_beta,0.6238938949073606,0.3746733755407961,0.24922051936656447,-0.05,True
latent_plus_tier1_plus_tier2,AT8,0.5622354966082819,0.5155185235317487,0.04671697307653322,-0.05,True
latent_plus_tier1_plus_tier2,GFAP,0.26996051432621243,0.3823049963928304,-0.11234448206661796,-0.05,False
latent_plus_tier1_plus_tier2,Iba1,0.11258479295332592,0.056974172849842526,0.055610620103483395,-0.05,True
latent_plus_tier1_plus_tier2,NeuN,0.37039586919104994,0.4609347456451279,-0.09053887645407793,-0.05,False
latent_plus_tier1_safe_metadata,6e10/A_beta,0.6347878910600385,0.3746733755407961,0.2601145155192424,-0.05,True
latent_plus_tier1_safe_metadata,AT8,0.566791535891465,0.5155185235317487,0.051273012359716374,-0.05,True
latent_plus_tier1_safe_metadata,GFAP,0.26627518477270423,0.3823049963928304,-0.11602981162012616,-0.05,False
latent_plus_tier1_safe_metadata,Iba1,0.013688366913030272,0.056974172849842526,-0.043285805936812256,-0.05,True
latent_plus_tier1_safe_metadata,NeuN,0.40188316290371573,0.4609347456451279,-0.059051582741412145,-0.05,False
latent_plus_tier2_composition,6e10/A_beta,0.3193074820289562,0.3746733755407961,-0.0553658935118399,-0.05,False
latent_plus_tier2_composition,AT8,0.5080895008605852,0.5155185235317487,-0.00742902267116341,-0.05,True
latent_plus_tier2_composition,GFAP,0.356019034119672,0.3823049963928304,-0.02628596227315838,-0.05,True
latent_plus_tier2_composition,Iba1,0.04837501265566467,0.056974172849842526,-0.008599160194177856,-0.05,True
latent_plus_tier2_composition,NeuN,0.4687455705173636,0.4609347456451279,0.007810824872235722,-0.05,True
restricted_no_pseudo_no_seaad_reconstruction,6e10/A_beta,-0.007937632884479092,0.3746733755407961,-0.3826110084252752,-0.05,False
restricted_no_pseudo_no_seaad_reconstruction,AT8,0.05854004252303331,0.5155185235317487,-0.45697848100871535,-0.05,False
restricted_no_pseudo_no_seaad_reconstruction,GFAP,0.11944922547332186,0.3823049963928304,-0.2628557709195085,-0.05,False
restricted_no_pseudo_no_seaad_reconstruction,Iba1,0.2856940366508049,0.056974172849842526,0.22871986380096238,-0.05,True
restricted_no_pseudo_no_seaad_reconstruction,NeuN,0.17679457325098716,0.4609347456451279,-0.2841401723941407,-0.05,False
safe_composition_only,6e10/A_beta,-0.21484365112987208,0.3746733755407961,-0.5895170266706682,-0.05,False
safe_composition_only,AT8,-0.0029665028172032293,0.5155185235317487,-0.5184850263489519,-0.05,False
safe_composition_only,GFAP,-0.026769397435786137,0.3823049963928304,-0.40907439382861654,-0.05,False
safe_composition_only,Iba1,0.11171464875433593,0.056974172849842526,0.0547404759044934,-0.05,True
safe_composition_only,NeuN,0.03092047646327188,0.4609347456451279,-0.430014269181856,-0.05,False
safe_metadata_only,6e10/A_beta,0.5211906449326719,0.3746733755407961,0.14651726939187576,-0.05,True
safe_metadata_only,AT8,0.4066011946947454,0.5155185235317487,-0.10891732883700322,-0.05,False
safe_metadata_only,GFAP,0.08283891870001013,0.3823049963928304,-0.29946607769282024,-0.05,False
safe_metadata_only,Iba1,0.009800546724713984,0.056974172849842526,-0.04717362612512854,-0.05,True
safe_metadata_only,NeuN,0.19183962741723196,0.4609347456451279,-0.2690951182278959,-0.05,False
stage27c_reference,6e10/A_beta,0.3347372684013365,0.3746733755407961,-0.03993610713945961,-0.05,True
stage27c_reference,AT8,0.5284398096588033,0.5155185235317487,0.012921286127054676,-0.05,True
stage27c_reference,GFAP,0.30229826870507237,0.3823049963928304,-0.08000672768775802,-0.05,False
stage27c_reference,Iba1,0.016077756403766325,0.056974172849842526,-0.0408964164460762,-0.05,True
stage27c_reference,NeuN,0.4519590968917688,0.4609347456451279,-0.0089756487533591,-0.05,True
stage39e_pca8_reference,6e10/A_beta,0.3746733755407961,0.3746733755407961,0.0,-0.05,True
stage39e_pca8_reference,AT8,0.5155185235317487,0.5155185235317487,0.0,-0.05,True
stage39e_pca8_reference,GFAP,0.3823049963928304,0.3823049963928304,0.0,-0.05,True
stage39e_pca8_reference,Iba1,0.056974172849842526,0.056974172849842526,0.0,-0.05,True
stage39e_pca8_reference,NeuN,0.4609347456451279,0.4609347456451279,0.0,-0.05,True
target_shuffled_control,6e10/A_beta,0.20024298876176977,0.3746733755407961,-0.17443038677902634,-0.05,False
target_shuffled_control,AT8,-0.12651614862812594,0.5155185235317487,-0.6420346721598746,-0.05,False
target_shuffled_control,GFAP,-0.1558975397387871,0.3823049963928304,-0.5382025361316175,-0.05,False
target_shuffled_control,Iba1,-0.018446896831021565,0.056974172849842526,-0.0754210696808641,-0.05,False
target_shuffled_control,NeuN,0.023488913637744257,0.4609347456451279,-0.43744583200738363,-0.05,False
tier3_proxy_only_comparator,6e10/A_beta,0.08749620330059735,0.3746733755407961,-0.2871771722401988,-0.05,False
tier3_proxy_only_comparator,AT8,0.11238230231851776,0.5155185235317487,-0.4031362212132309,-0.05,False
tier3_proxy_only_comparator,GFAP,0.19653741014478082,0.3823049963928304,-0.18576758624804957,-0.05,False
tier3_proxy_only_comparator,Iba1,0.2649792447099322,0.056974172849842526,0.2080050718600897,-0.05,True
tier3_proxy_only_comparator,NeuN,0.19785359927103374,0.4609347456451279,-0.26308114637409413,-0.05,False
