candidate_id,n_bootstrap,mean_bootstrap,ci_lower_95,ci_upper_95,lower_ci_above_stage27c,lower_ci_above_material_threshold
full_39d_reconstruction_comparator,500,0.48562605852141966,0.41148045863594956,0.5567457694399098,True,True
latent_only,500,0.34047469418588666,0.24932456692965593,0.4378643786868736,False,False
latent_plus_tier1_plus_tier2,500,0.38335752717457255,0.288386153095105,0.4715039773935322,False,False
latent_plus_tier1_safe_metadata,500,0.3742128537164384,0.2869113379238427,0.45316340444245423,False,False
latent_plus_tier2_composition,500,0.3354374051299467,0.22191196854668804,0.44268850943181715,False,False
restricted_no_pseudo_no_seaad_reconstruction,500,0.1287296337650917,0.013020346875077058,0.23875246743854378,False,False
safe_composition_only,500,-0.02009348076965321,-0.11154945587376255,0.07007487671709192,False,False
safe_metadata_only,500,0.23891155509747322,0.1374147426377436,0.33733185435377105,False,False
stage27c_reference,500,0.3251234034929212,0.19660534520673442,0.42343120844836474,False,False
stage39e_pca8_reference,500,0.35380533287358096,0.2566677445582093,0.44320229650214776,False,False
target_shuffled_control,500,-0.014333686007872338,-0.09791661291913918,0.07328088519207858,False,False
tier3_proxy_only_comparator,500,0.1711632689461784,0.040504990905787096,0.2782880306895651,False,False
