dataset_id,collection_name,dataset_title,organism,recommended_role,allowed_for_training,allowed_for_pretraining,allowed_for_auxiliary_supervision,reserved_for_external_holdout,allowed_for_model_selection,risk_if_used_for_training,rationale,notes
37a17b78-4864-4a42-b67b-31c00962795a,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,MSSM_Cohort,Homo sapiens,clean_external_holdout_candidate,False,False,False,True,False,training would contaminate an external holdout,keep untouched by training/model selection unless explicitly reclassified,No CELLxGENE dataset is allowed for model selection in this audit.
5e57cd50-8e42-42d6-940d-5c1660d06864,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,RADC_Cohort,Homo sapiens,clean_external_holdout_candidate,False,False,False,True,False,training would contaminate an external holdout,keep untouched by training/model selection unless explicitly reclassified,No CELLxGENE dataset is allowed for model selection in this audit.
cff99df2-4904-44f7-9173-ff837f95606e,Molecular Signatures of Resilience to Alzheimer’s Disease in Neocortical Layer 4 Neurons,all cells,Homo sapiens,clean_external_holdout_candidate,False,False,False,True,False,training would contaminate an external holdout,keep untouched by training/model selection unless explicitly reclassified,No CELLxGENE dataset is allowed for model selection in this audit.
203025fe-fa99-4d57-81da-458ed8f0c334,Brain vascular single-cell multi-omics elucidates disease risk associations,Brain vascular single-cell multi-omics elucidates disease risk associations - snRNA-seq,Homo sapiens,clean_external_holdout_candidate,False,False,False,True,False,training would contaminate an external holdout,keep untouched by training/model selection unless explicitly reclassified,No CELLxGENE dataset is allowed for model selection in this audit.
0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,Full Dataset,Homo sapiens,clean_external_holdout_candidate,False,False,False,True,False,training would contaminate an external holdout,keep untouched by training/model selection unless explicitly reclassified,No CELLxGENE dataset is allowed for model selection in this audit.
85c60876-7f35-40c5-a256-7808d84c6ba5,Single-soma transcriptomics of tangle-bearing neurons in Alzheimer’s disease,Single-soma transcriptomics of tangle-bearing neurons in Alzheimer’s disease - Excitatory,Homo sapiens,external_projection_stress_test,False,False,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
15e0ec3e-a05f-4cd8-8624-96448f5a2b58,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,Oligodendrocytes,Homo sapiens,external_projection_stress_test,False,False,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
38491c97-ce53-43d6-b34a-ef93176c9481,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,Astrocytes,Homo sapiens,external_projection_stress_test,False,False,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
fe2eecbc-977a-4aec-9196-f89c3281d11c,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,Microglia,Homo sapiens,clean_external_holdout_candidate,False,False,False,True,False,training would contaminate an external holdout,keep untouched by training/model selection unless explicitly reclassified,No CELLxGENE dataset is allowed for model selection in this audit.
f7c1c579-2dc0-47e2-ba19-8165c5a0e353,A human cell atlas of fetal gene expression,Survey of human embryonic development,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
