gene,final_tier,promotion_reason,deprioritization_reason,scorecard_interpretation,graph_interpretation,next_validation_priority,targeted_manifold_audit_recommended,pathology_axis_class,therapeutic_like_score_percentile,tau_lowering_score_percentile,neuron_preservation_score_percentile,gliosis_penalty_percentile,broad_shift_score_percentile,negative_control_interpretation,graph_neighborhood_label,prior_candidate_flag,known_biology_note,caution_note,recommended_next_validation,claim_boundary
ARHGEF7,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.65470852017935,94.88041853512703,92.1898355754858,14.8355754857997,56.98804185351271,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
LRCH3,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.6173393124066,97.19730941704036,92.67563527653216,44.09566517189836,79.26008968609865,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
KIF1B,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.5799701046338,98.05680119581464,68.64723467862481,14.8355754857997,52.16741405082213,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
RAD51B,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.542600896861,95.92675635276532,89.27503736920778,14.8355754857997,68.34828101644244,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PI4KA,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.4678624813154,90.13452914798206,95.440956651719,14.8355754857997,48.16890881913303,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PTPRE,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.4304932735426,93.12406576980568,93.01195814648727,14.8355754857997,88.04185351270553,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
STARD13,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.3931240657698,94.73094170403589,90.05979073243647,14.8355754857997,80.68011958146487,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
SARAF,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.24364723467862,95.55306427503736,86.88340807174887,14.8355754857997,74.85052316890882,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
MSR1,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.20627802690582,95.73991031390136,91.03139013452916,38.15396113602392,71.78624813153961,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
NCOA2,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,priority_1_top_tier1,True,tau_lowering_neuron_preserving,98.16890881913304,90.05979073243647,94.50672645739913,14.8355754857997,83.48281016442452,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
TMEM165,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,dual_pathology_lowering_neuron_preserving,98.13153961136024,94.35724962630792,91.70403587443946,35.50074738415546,70.96412556053812,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
ATRX,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,tau_lowering_neuron_preserving,98.01943198804184,97.57100149476832,83.48281016442452,42.15246636771301,85.61285500747384,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
ZRANB2,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,dual_pathology_lowering_neuron_preserving,97.98206278026906,96.59940209267565,94.39461883408072,53.21375186846039,88.49028400597906,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
VPS39,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,dual_pathology_lowering_neuron_preserving,97.86995515695068,94.5814648729447,87.03288490284005,14.8355754857997,80.86696562032884,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
CSMD3,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,tau_lowering_neuron_preserving,97.72047832585947,91.77877428998504,90.95665171898357,14.8355754857997,71.52466367713004,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
SLC38A2,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,dual_pathology_lowering_neuron_preserving,97.60837070254112,97.15994020926756,70.73991031390135,14.8355754857997,86.24813153961136,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
MTX2,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,tau_lowering_neuron_preserving,97.53363228699553,95.17937219730942,82.7727952167414,14.8355754857997,61.808669656203286,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
MAP3K7,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,tau_lowering_neuron_preserving,97.45889387144992,96.8236173393124,86.92077727952167,45.66517189835576,59.71599402092676,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
NSF,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,tau_lowering_neuron_preserving,97.19730941704036,95.66517189835577,77.27952167414051,14.8355754857997,69.88041853512705,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
RPLP1,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,not_selected_for_targeted_audit_v1,False,dual_pathology_lowering_neuron_preserving,97.01046337817638,94.99252615844544,76.00896860986546,14.8355754857997,83.70702541106128,class_calibration=enriched_vs_degree_matched_null; cleaner_vs_broad=cleaner_than_broad_reference,isolated_high_score_gene,False,No project-curated biology note yet; literature review is required before promotion.,"Balanced scorecard signal, but no FDR-supported cleaner 1-hop graph neighborhood. High focal score is graph-isolated. Full-run manifold nearest-neighbor safety was not computed.",Targeted top-hit manifold audit; donor-bootstrap stability; cell-subtype-restricted counterfactual; covariate re-audit; external biological review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
