audit_item,pass,evidence
conditional_after_stage39h_no_lock,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_external_data_used,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_external_model_selection,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_proxy_context_features,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_graph_additions,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_candidate_selection,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
donor_held_out_evaluation_preserved,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
train_fold_only_preprocessing_preserved,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
negative_controls_reported,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_clean_external_validation_claim,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_causal_claim,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_therapeutic_claim,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_gene_ablation_claim,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_disease_modifying_claim,True,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
safety_audit_pass,True,all safety checks passed
