microglia_state,module_name,n_cells,mean_cell_module_score,high_cell_fraction,safe_interpretation,unsafe_claims_to_avoid
Lymphocyte,endolysosomal_autophagy_proteostasis,855,0.40402960777282715,0.0035087719298245615,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Lymphocyte,glial_activation_dam_like,855,0.22854138910770416,0.011695906432748537,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Lymphocyte,oxidative_stress_antioxidant,855,0.353119820356369,0.07953216374269007,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Lymphocyte,inflammatory_transport_state_modulation,855,0.21241958439350128,0.15555555555555556,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_1,endolysosomal_autophagy_proteostasis,1621,0.8731158375740051,0.17951881554595928,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_1,glial_activation_dam_like,1621,0.3944549560546875,0.1135101789019124,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_1,oxidative_stress_antioxidant,1621,0.5423377752304077,0.13325107958050586,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_1,inflammatory_transport_state_modulation,1621,0.17573843896389008,0.15114127082048118,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2,endolysosomal_autophagy_proteostasis,22427,0.7659517526626587,0.08494225710081597,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2,glial_activation_dam_like,22427,0.4090191423892975,0.09782851027779016,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2,oxidative_stress_antioxidant,22427,0.48921236395835876,0.09051589601819236,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2,inflammatory_transport_state_modulation,22427,0.14098112285137177,0.09002541579346324,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2_1-SEAAD,endolysosomal_autophagy_proteostasis,289,0.6948866844177246,0.04498269896193772,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2_1-SEAAD,glial_activation_dam_like,289,0.2936681807041168,0.02422145328719723,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2_1-SEAAD,oxidative_stress_antioxidant,289,0.4589932858943939,0.031141868512110725,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2_1-SEAAD,inflammatory_transport_state_modulation,289,0.1740242838859558,0.1314878892733564,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
