microglia_state,target,state_fraction_vs_target_spearman,n_donors,safe_interpretation,unsafe_claims_to_avoid,mean_abs_or_signed_association,support_level,candidate_status
Lymphocyte,AT8,0.21852329973841672,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.05052066723971418,weak_support,hypothesis_generating_only
Lymphocyte,6e10/A_beta,0.07442731670189968,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.05052066723971418,weak_support,hypothesis_generating_only
Lymphocyte,GFAP,0.17074442509329837,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.05052066723971418,weak_support,hypothesis_generating_only
Lymphocyte,Iba1,0.07637127600087462,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.05052066723971418,weak_support,hypothesis_generating_only
Lymphocyte,NeuN,-0.2874629813359184,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.05052066723971418,weak_support,hypothesis_generating_only
Lymphocyte,mean_across_targets,0.05052066723971418,84,candidate disease-associated microglial state if independently replicated,new subtype discovery; causality; therapeutic target,0.05052066723971418,weak_support,hypothesis_generating_only
Micro-PVM_1,AT8,0.16537410144780806,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.10507239040194391,weak_support,hypothesis_generating_only
Micro-PVM_1,6e10/A_beta,0.1940872734636023,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.10507239040194391,weak_support,hypothesis_generating_only
Micro-PVM_1,GFAP,0.3591171408322365,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.10507239040194391,weak_support,hypothesis_generating_only
Micro-PVM_1,Iba1,0.02160575073402855,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.10507239040194391,weak_support,hypothesis_generating_only
Micro-PVM_1,NeuN,-0.21482231446795585,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.10507239040194391,weak_support,hypothesis_generating_only
Micro-PVM_1,mean_across_targets,0.10507239040194391,84,candidate disease-associated microglial state if independently replicated,new subtype discovery; causality; therapeutic target,0.10507239040194391,weak_support,hypothesis_generating_only
Micro-PVM_2,AT8,-0.24207755391313154,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,-0.09420269312544297,weak_support,hypothesis_generating_only
Micro-PVM_2,6e10/A_beta,-0.1430393844284702,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,-0.09420269312544297,weak_support,hypothesis_generating_only
Micro-PVM_2,GFAP,-0.203158853903007,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,-0.09420269312544297,weak_support,hypothesis_generating_only
Micro-PVM_2,Iba1,-0.1836387567075023,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,-0.09420269312544297,weak_support,hypothesis_generating_only
Micro-PVM_2,NeuN,0.3009010833248963,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,-0.09420269312544297,weak_support,hypothesis_generating_only
Micro-PVM_2,mean_across_targets,-0.09420269312544297,84,candidate disease-associated microglial state if independently replicated,new subtype discovery; causality; therapeutic target,-0.09420269312544297,weak_support,hypothesis_generating_only
Micro-PVM_2_1-SEAAD,AT8,0.007065151066681693,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.027577568514056634,weak_support,hypothesis_generating_only
Micro-PVM_2_1-SEAAD,6e10/A_beta,0.007790876553893709,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.027577568514056634,weak_support,hypothesis_generating_only
Micro-PVM_2_1-SEAAD,GFAP,0.10719392343466905,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.027577568514056634,weak_support,hypothesis_generating_only
Micro-PVM_2_1-SEAAD,Iba1,0.13180455539806482,84,post hoc donor-level association for follow-up hypothesis only,new subtype discovery; causality; therapeutic target,0.027577568514056634,weak_support,hypothesis_generating_only
