condition,condition_mean_pooled_oof_spearman,min_target_pooled_oof_spearman,n_targets
stage27c_module_pca_ridge_reference,0.3267024400121495,0.016077756403766325,5
stage31_weak_residual_real_graph_alpha_0_05_reference,0.32637035537106407,0.01565252607066923,5
ext_svd32_raw_count_size_factor_log1p_direct_no_graph,0.3049387465829706,-0.08658499544396071,5
ext_svd32_log1p_concat_module_pca_no_graph,0.30139516047382814,-0.09037157031487295,5
ext_svd16_log1p_direct_no_graph,0.28811987445580645,0.07844487192467349,5
ext_svd32_zscore_gene_after_log1p_direct_no_graph,0.28003239850156936,-0.013850359420876784,5
ext_svd32_log1p_direct_no_graph,0.2699564645135163,-0.044426445276905945,5
ext_svd32_log1p_direct_residual_real_graph_alpha_0_05,0.2568755695049104,-0.08713172015794268,5
ext_svd32_log1p_direct_strict_shuffled_residual_graph_alpha_0_05,0.2559967601498431,-0.07939657790827175,5
ext_svd128_log1p_direct_no_graph,0.25163511187607573,0.04424420370557862,5
ext_svd64_log1p_direct_no_graph,0.24395261719145492,-0.11029664877999391,5
ext_svd32_log1p_residualized_by_module_pca_no_graph,-0.04228814417333199,-0.09136377442543282,5
