condition,target,n_donors,pooled_oof_spearman,mse,prediction_variance
rank_int_composition_only_ridge,6e10/A_beta,84,0.7314771691809254,1.624995737369859,0.9438872020928611
rank_int_composition_only_ridge,AT8,84,0.6914447706793561,0.5895648570160906,0.38551077058793076
rank_int_composition_only_ridge,GFAP,84,0.32358003442340794,3.4534076908166065,0.20038864760203964
rank_int_composition_only_ridge,Iba1,84,0.23203401842664775,2.240354688537049,0.1458815464211695
rank_int_composition_only_ridge,NeuN,84,0.47915358914650197,2.0106582768834818,0.2792774201994675
rank_int_latent_composition_ridge,6e10/A_beta,84,0.7684114609699302,1.55008681348345,0.9053318306527455
rank_int_latent_composition_ridge,AT8,84,0.7183152779183962,0.5525358572956729,0.4156210383670228
rank_int_latent_composition_ridge,GFAP,84,0.35885390300698594,3.4963998846302666,0.14969417128191442
rank_int_latent_composition_ridge,Iba1,84,0.13704566163814924,2.3144223629030525,0.03616504188196694
rank_int_latent_composition_ridge,NeuN,84,0.5417029462387365,1.9404236088879987,0.32115843177616415
rank_int_latent_metadata_composition_interactions_ridge,6e10/A_beta,84,0.8196820897033513,1.3949001685697238,0.9801142716384421
rank_int_latent_metadata_composition_interactions_ridge,AT8,84,0.7006580945631263,0.6013889501405151,0.4896155214528206
rank_int_latent_metadata_composition_interactions_ridge,GFAP,84,0.31207856636630554,3.583592155583606,0.16927483165838192
rank_int_latent_metadata_composition_interactions_ridge,Iba1,84,0.15126050420168066,2.3083593377462526,0.01773486881477034
rank_int_latent_metadata_composition_interactions_ridge,NeuN,84,0.5208059127265364,1.9911820262601456,0.33252050126206445
rank_int_latent_metadata_composition_ridge,6e10/A_beta,84,0.8306975802369141,1.3754904175277174,0.9635379112288214
rank_int_latent_metadata_composition_ridge,AT8,84,0.6985724410246026,0.5983989388718687,0.49170105718184987
rank_int_latent_metadata_composition_ridge,GFAP,84,0.2972157537713881,3.5705641252513436,0.1647159008015473
rank_int_latent_metadata_composition_ridge,Iba1,84,0.17146906955553307,2.3093613761973666,0.017429953868224796
rank_int_latent_metadata_composition_ridge,NeuN,84,0.493955654550977,1.9789263045747916,0.3783507390693839
rank_int_latent_metadata_composition_shuffled_context_control,6e10/A_beta,84,-0.0770274374810165,1.4219150603401565,0.027647480639866467
rank_int_latent_metadata_composition_shuffled_context_control,AT8,84,-0.07093246937329149,0.837805320857401,0.10735276042071742
rank_int_latent_metadata_composition_shuffled_context_control,GFAP,84,-0.01105598866052445,3.2733677471253237,0.06893823157747508
rank_int_latent_metadata_composition_shuffled_context_control,Iba1,84,-0.048597752353953624,2.380330929744625,0.01467647647600977
rank_int_latent_metadata_composition_shuffled_context_control,NeuN,84,0.04655259694239142,1.7890372460905213,0.04782344594159731
rank_int_latent_metadata_ridge,6e10/A_beta,84,0.6347878910600385,1.2359782571732871,0.17448780091714397
rank_int_latent_metadata_ridge,AT8,84,0.566791535891465,0.5663668530745556,0.22732575681854078
rank_int_latent_metadata_ridge,GFAP,84,0.26627518477270423,3.543800702547558,0.0739063196812901
rank_int_latent_metadata_ridge,Iba1,84,0.013688366913030272,2.3354698770837246,0.0007796245759191342
rank_int_latent_metadata_ridge,NeuN,84,0.40188316290371573,1.7932286002980122,0.15060775423534864
rank_int_metadata_composition_ridge,6e10/A_beta,84,0.8248051027639971,1.326934451311132,0.8157189496704133
rank_int_metadata_composition_ridge,AT8,84,0.6708919712463299,0.617568212618185,0.46499189158356014
rank_int_metadata_composition_ridge,GFAP,84,0.24420370557861698,3.56888586462582,0.142626822654985
rank_int_metadata_composition_ridge,Iba1,84,0.23557760453579024,2.247270202278633,0.17518012455422097
rank_int_metadata_composition_ridge,NeuN,84,0.47801964159157645,1.9699763785002848,0.27498470288531757
rank_int_metadata_only_ridge,6e10/A_beta,84,0.5211906449326719,1.2685010963955226,0.4004891415683777
rank_int_metadata_only_ridge,AT8,84,0.4066011946947454,0.6892471091765424,0.2467789528171272
rank_int_metadata_only_ridge,GFAP,84,0.08283891870001013,3.526186758124357,0.053307302123140964
rank_int_metadata_only_ridge,Iba1,84,0.009800546724713984,2.3020027554081657,0.009991064996179312
rank_int_metadata_only_ridge,NeuN,84,0.19183962741723196,1.7707670519115137,0.012508521882261314
stage39c_rank_int_latent_only_reproduction,6e10/A_beta,84,0.4001619925078465,1.3450791882953692,0.061414404161107855
stage39c_rank_int_latent_only_reproduction,AT8,84,0.5254834463906044,0.5725139813852933,0.35410125835464334
stage39c_rank_int_latent_only_reproduction,GFAP,84,0.3122608079376329,3.605536437235708,0.062052522739399506
stage39c_rank_int_latent_only_reproduction,Iba1,84,0.025473321858864025,2.4380960327601033,0.013426922850304128
stage39c_rank_int_latent_only_reproduction,NeuN,84,0.46566771286827985,1.8357926008866228,0.35088751377278565
