audit_item,pass,evidence
train_fold_only_preprocessing,True,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
donor_heldout_only,True,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_external_data,True,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_candidate_selection,True,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_clean_external_validation_claim,True,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_causal_claim,True,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_therapeutic_claim,True,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_gene_ablation_claim,True,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
negative_null_results_reported,True,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
safety_audit_pass,True,all safety checks passed
