dataset_id,dataset_name,aliases,stage37a_candidate_role,stage37a_clean_validation_eligible,stage37a_requires_manual_review,stage37a_clean_validation_disqualified,stage37b_decision,stage37b_allowed_use,stage37b_disallowed_use,reason_for_decision,required_manual_evidence_before_upgrade,pathology_targets_supported,frozen_mechanisms_supported,validation_readout_availability,contamination_risk,priority_for_pi_review,recommended_next_action
GSE138852,GSE138852 / Grubman-Leng,GSE138852;Grubman;Leng;Grubman-Leng,projection_or_signature_support,False,True,True,reject_for_clean_validation,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
GSE174367,GSE174367 / Morabito,GSE174367;Morabito,projection_or_signature_support,False,True,True,reject_for_clean_validation,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
HBCC,HBCC,HBCC;5c97eeeb-7e52-44b3-b010-b832b1f5424c;HBCC_Cohort,excluded_or_contaminated,False,False,True,reject_for_clean_validation,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
HBCA,HBCA / Human Brain Cell Atlas,HBCA;Human Brain Cell Atlas;b165f033-9dec-468a-9248-802fc6902a74;All non-neuronal cells,excluded_or_contaminated,False,False,True,reject_for_clean_validation,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
SEA_AD_PUBLIC_SPATIAL_PATHOLOGY,SEA-AD public spatial/pathology resources,SEA-AD;SEA_AD;SEA AD;spatial;pathology,excluded_or_contaminated,False,False,True,reject_for_clean_validation,internal context or source-domain interpretation only,clean external validation,SEA-AD-derived/source-domain material is not independent of the SEA-AD modeling and candidate-selection workflow.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
PUBLIC_CELLXGENE_MICROGLIA,Public CELLxGENE microglia datasets,CELLxGENE;microglia;Olah;CSF1R;Rexach,projection_or_signature_support,False,True,True,reject_for_clean_validation,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
LU_2026_SIGNATURES,Lu et al. 2026 signatures/supplementary tables,Lu;Lu et al;2026;signature;supplementary,projection_or_signature_support,False,True,False,allow_projection_or_signature_support_only,projection/signature or robustness support after manual boundaries are confirmed,clean validation; external validation claim,"Resource appears suited to mechanism/signature concordance, not full pathology validation unless required frozen readouts are verified.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,moderate_prior_exploratory_or_incomplete_independence_evidence,medium,manual metadata review if role upgrade is desired
PIG_WGCNA_RESOURCES,PIG / WGCNA resources,PIG;WGCNA,projection_or_signature_support,False,True,False,allow_projection_or_signature_support_only,projection/signature or robustness support after manual boundaries are confirmed,clean validation; external validation claim,"Resource appears suited to mechanism/signature concordance, not full pathology validation unless required frozen readouts are verified.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,moderate_prior_exploratory_or_incomplete_independence_evidence,medium,manual metadata review if role upgrade is desired
SEA-AD_internal,SEA-AD Microglia-PVM internal benchmark,SEA-AD_internal;SEA-AD Microglia-PVM internal benchmark;SEA-AD,excluded_or_contaminated,False,False,True,reject_for_clean_validation,internal context or source-domain interpretation only,clean external validation,SEA-AD-derived/source-domain material is not independent of the SEA-AD modeling and candidate-selection workflow.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
GSE157827,Candidate public external brain snRNA/scRNA dataset,GSE157827;Candidate public external brain snRNA/scRNA dataset;GEO,requires_manual_review,False,True,False,manual_metadata_review_required,candidate validation resource only after PI/manual approval,clean validation before explicit approval,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,unknown_until_metadata_review,high,collect metadata and PI approval packet
