evidence_id,source_version,stage,file_path,evidence_type,candidate_gene_present,module_present,network_present,perturbation_present,drug_mapping_present,external_support_present,claim_risk,notes
E001,v1,,results\reports\discovery_final_candidate_shortlist_v1.md,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E002,v2,,results\reports\discovery_final_candidate_shortlist_v2.md,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E003,v3,,results\reports\discovery_final_candidate_shortlist_v3.md,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E004,unknown,,results\reports\external_validation_gse174367.md,external_support_or_readiness,False,False,False,False,False,True,high,local synthesis evidence; claims remain hypothesis-generating
E005,unknown,,results\reports\external_validation_gse174367_smoke.md,external_support_or_readiness,False,False,False,False,False,True,high,local synthesis evidence; claims remain hypothesis-generating
E006,unknown,STAGE27,results\reports\stage27_external_pretraining_readiness_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E007,v3,STAGE32,results\reports\stage32_external_pretraining_matrix_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E008,v3,STAGE32B,results\reports\stage32b_approved_external_pretraining_matrix_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E009,v3,STAGE32C,results\reports\stage32c_bulk_approved_external_acquisition_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E010,v3,STAGE33A,results\reports\stage33a_external_pretrained_jepa_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E011,v3,STAGE33B,results\reports\stage33b_external_pretrained_jepa_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E012,v3,STAGE33C,results\reports\stage33c_external_pretrained_diagnostic_rescue_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E013,v3,STAGE34A,results\reports\stage34a_hbca_microglia_filtered_external_pretraining_report_v1.md,cell_state_or_disease_axis,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E014,v3,STAGE34B,results\reports\stage34b_hbcc_external_pretraining_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E015,v3,STAGE35D,results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E016,v3,STAGE37C,results\reports\stage37c_f_multidataset_external_support_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E017,v3,STAGE38A,results\reports\stage38a_external_data_acquisition_preprocessing_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E018,v3,STAGE38B,results\reports\stage38b_pi_external_support_summary_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E019,v3,STAGE38B,results\reports\stage38b_prepared_external_support_analysis_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E020,v3,STAGE38C,results\reports\stage38c_external_support_prioritization_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E021,v3,STAGE39A,results\reports\stage39a_external_metadata_rescue_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E022,v3,STAGE42,results\reports\stage42_manual_external_acquisition_gaps_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E023,v3,STAGE42,results\reports\stage42_manuscript_synthesis_report_v1.md,other_context,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E024,v3,STAGE42,results\reports\stage42_safe_external_support_report_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E025,v3,STAGE43,results\reports\stage43_manuscript_draft_v1.md,other_context,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E026,v2,STAGE44,results\reports\stage44_manuscript_v2_polished_v1.md,other_context,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E027,v3,STAGE47,results\reports\stage47_candidate_gene_network_summary_v1.md,candidate_or_mechanism,True,False,True,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E028,v3,STAGE47,results\reports\stage47_cross_version_candidate_network_drug_synthesis_report_v1.md,druggability_or_drug_mapping,True,False,True,False,True,False,high,local synthesis evidence; claims remain hypothesis-generating
E029,v3,STAGE47,results\reports\stage47_druggability_and_drug_candidate_summary_v1.md,druggability_or_drug_mapping,True,False,False,False,True,False,high,local synthesis evidence; claims remain hypothesis-generating
E030,v3,STAGE47,results\reports\stage47_external_support_and_limitations_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E031,v3,STAGE47,results\reports\stage47_in_silico_perturbation_summary_v1.md,in_silico_perturbation_or_counterfactual,False,False,False,True,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E032,v3,STAGE47,results\reports\stage47_manuscript_update_note_v1.md,other_context,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E033,v1,,results\reports\v3_external_dataset_role_assignment_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E034,v1,,results\reports\v3_public_external_dataset_schema_audit_v1.md,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E035,unknown,,results\tables\ablation_no_graph_stage_a_v1_history.csv,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E036,unknown,,results\tables\ablation_no_graph_stage_b_v1_history.csv,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E037,unknown,,results\tables\ablation_strict_shuffled_graph_stage_a_v1_history.csv,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E038,unknown,,results\tables\ablation_strict_shuffled_graph_stage_b_v1_history.csv,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
