source_version,source_stage,source_file,perturbation_type,gene_or_module,latent_effect_reported,pathology_probe_effect_reported,graph_specific_control_reported,external_support_reported,safe_interpretation,unsafe_interpretation
v1,,results\reports\discovery_final_candidate_shortlist_v1.md,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\reports\discovery_final_candidate_shortlist_v2.md,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,,results\reports\discovery_final_candidate_shortlist_v3.md,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE35D,results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE47,results\reports\stage47_candidate_gene_network_summary_v1.md,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE47,results\reports\stage47_in_silico_perturbation_summary_v1.md,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
unknown,,results\tables\ablation_no_graph_stage_a_v1_history.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
unknown,,results\tables\ablation_no_graph_stage_b_v1_history.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
unknown,,results\tables\ablation_strict_shuffled_graph_stage_a_v1_history.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
unknown,,results\tables\ablation_strict_shuffled_graph_stage_b_v1_history.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
