condition,target,n_donors,pooled_oof_spearman,prediction_variance
dualhead_ema_vicreg_latent16,6e10/A_beta,84,0.2431781130030666,0.5496390948670743
dualhead_ema_vicreg_latent16,AT8,84,0.38818061798632963,0.6993510925970637
dualhead_ema_vicreg_latent16,GFAP,84,0.1654059230016288,0.44205633129393573
dualhead_ema_vicreg_latent16,Iba1,84,0.020962768894271955,0.35886672519352214
dualhead_ema_vicreg_latent16,NeuN,84,0.2250645674440804,0.4363818912013889
dualhead_ema_vicreg_latent8,6e10/A_beta,84,0.21274033269757617,0.5357986276131947
dualhead_ema_vicreg_latent8,AT8,84,0.3987119437729886,0.6649927545451031
dualhead_ema_vicreg_latent8,GFAP,84,-0.04391854340994637,0.5305410303710839
dualhead_ema_vicreg_latent8,Iba1,84,-0.049389093670224316,0.2805996175561506
dualhead_ema_vicreg_latent8,NeuN,84,0.36560839695222247,0.3206970966151751
dualhead_ema_vicreg_latent8_target_shuffled_control,6e10/A_beta,84,0.03051881266570475,0.29805196170155157
dualhead_ema_vicreg_latent8_target_shuffled_control,AT8,84,-0.10716636615404931,0.3008581120988734
dualhead_ema_vicreg_latent8_target_shuffled_control,GFAP,84,0.14665168219110983,0.32551180008425157
dualhead_ema_vicreg_latent8_target_shuffled_control,Iba1,84,-0.04040649656432131,0.2858236479093049
dualhead_ema_vicreg_latent8_target_shuffled_control,NeuN,84,0.018400932282482636,0.26249983892267575
stage39e_pca8_reference,6e10/A_beta,84,0.3746733755407961,0.10149201227703833
stage39e_pca8_reference,AT8,84,0.5155185235317487,0.4521366514818513
stage39e_pca8_reference,GFAP,84,0.3823049963928304,0.06945277597660786
stage39e_pca8_reference,Iba1,84,0.056974172849842526,0.014534498810187995
stage39e_pca8_reference,NeuN,84,0.4609347456451279,0.3345980282262346
supervised_mlp_no_ema_latent8_control,6e10/A_beta,84,0.205568968818612,0.5232626725869792
supervised_mlp_no_ema_latent8_control,AT8,84,0.3763936341251075,0.5949992862336326
supervised_mlp_no_ema_latent8_control,GFAP,84,-0.005468299156414812,0.4160546793117336
supervised_mlp_no_ema_latent8_control,Iba1,84,-0.04807259127589806,0.26657761916550016
supervised_mlp_no_ema_latent8_control,NeuN,84,0.3691731345215311,0.3201447092088396
