condition,n_components_requested,transform,projection_variant,graph_variant,graph_alpha,n_downstream_features,included_in_capped_grid,condition_mean_pooled_oof_spearman,beats_stage33b_best,beats_stage27c_reference
ext_svd16_log1p_direct_no_graph,16,log1p_clipped_nonnegative,direct,no_graph_identity,0.0,16,True,0.28811987445580645,True,False
ext_svd32_log1p_direct_no_graph,32,log1p_clipped_nonnegative,direct,no_graph_identity,0.0,32,True,0.2699564645135163,False,False
ext_svd64_log1p_direct_no_graph,64,log1p_clipped_nonnegative,direct,no_graph_identity,0.0,64,True,0.24395261719145492,False,False
ext_svd128_log1p_direct_no_graph,128,log1p_clipped_nonnegative,direct,no_graph_identity,0.0,128,True,0.25163511187607573,False,False
ext_svd32_raw_count_size_factor_log1p_direct_no_graph,32,raw_count_size_factor_log1p,direct,no_graph_identity,0.0,32,True,0.3049387465829706,True,False
ext_svd32_zscore_gene_after_log1p_direct_no_graph,32,zscore_gene_after_log1p,direct,no_graph_identity,0.0,32,True,0.28003239850156936,True,False
ext_svd32_log1p_concat_module_pca_no_graph,32,log1p_clipped_nonnegative,concat_module_pca,no_graph_identity,0.0,40,True,0.30139516047382814,True,False
ext_svd32_log1p_residualized_by_module_pca_no_graph,32,log1p_clipped_nonnegative,residualized_by_module_pca,no_graph_identity,0.0,32,True,-0.04228814417333199,False,False
ext_svd32_log1p_direct_residual_real_graph_alpha_0_05,32,log1p_clipped_nonnegative,direct,residual_real_graph,0.05,64,True,0.2568755695049104,False,False
ext_svd32_log1p_direct_strict_shuffled_residual_graph_alpha_0_05,32,log1p_clipped_nonnegative,direct,strict_shuffled_residual_graph,0.05,64,True,0.2559967601498431,False,False
