dataset_id,dataset_name,aliases,previous_stage37b_decision,revised_claim_level,clean_validation_currently_approved,conditional_clean_validation_candidate,external_biological_support_candidate,projection_or_signature_support_candidate,stress_test_candidate,robustness_only,manual_metadata_review_required,known_disqualified_from_clean_validation,reason_for_reclassification,explicit_disqualifying_evidence,missing_evidence_or_metadata,allowed_use_now,disallowed_use_now,evidence_needed_to_upgrade,recommended_next_action,priority_for_reuse
GSE138852,GSE138852 / Grubman-Leng,GSE138852;Grubman;Leng;Grubman-Leng,reject_for_clean_validation,external_biological_support_candidate,False,False,True,False,False,False,True,False,"Grubman/Leng remains useful as external directional smoke-test or entorhinal-cortex support, but underpowered/incomplete for primary clean validation.",,primary validation readouts and full independence package not proven,directional smoke-test; external biological support; projection/signature support,primary clean validation; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",use as support only unless upgraded by manual review,medium
GSE174367,GSE174367 / Morabito,GSE174367;Morabito,reject_for_clean_validation,conditional_clean_validation_candidate,False,True,False,False,False,False,True,False,"Morabito resource remains reasonable to reuse, but local v2 artifacts require contamination/independence review before any clean-validation claim.",,local v2 artifacts visible; independence from candidate/model decisions not proven,conditional validation candidate after contamination check; secondary projection/stress-test support,clean validation before contamination check and metadata approval,"complete metadata, readout, access, direction, independence, and null-reporting checks",manual contamination and metadata review,high
HBCC,HBCC,HBCC;5c97eeeb-7e52-44b3-b010-b832b1f5424c;HBCC_Cohort,reject_for_clean_validation,robustness_only,False,False,False,False,False,True,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,medium
HBCA,HBCA / Human Brain Cell Atlas,HBCA;Human Brain Cell Atlas;b165f033-9dec-468a-9248-802fc6902a74;All non-neuronal cells,reject_for_clean_validation,robustness_only,False,False,False,False,False,True,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,medium
SEA_AD_PUBLIC_SPATIAL_PATHOLOGY,SEA-AD public spatial/pathology resources,SEA-AD;SEA_AD;SEA AD;spatial;pathology,reject_for_clean_validation,known_disqualified_from_clean_validation,False,False,False,False,False,False,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_training_or_source_domain;sea_ad_source_domain_not_clean_external;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
PUBLIC_CELLXGENE_MICROGLIA,Public CELLxGENE microglia datasets,CELLxGENE;microglia;Olah;CSF1R;Rexach,reject_for_clean_validation,projection_or_signature_support_candidate,False,False,False,True,False,False,True,False,Resource supports signature/module/candidate concordance more than full pathology validation.,,complete metadata/approval package not present in repository,projection/signature support; mechanism concordance,clean validation; causal or therapeutic claims,"complete metadata, readout, access, direction, independence, and null-reporting checks",use for support or request metadata for role upgrade,medium
LU_2026_SIGNATURES,Lu et al. 2026 signatures/supplementary tables,Lu;Lu et al;2026;signature;supplementary,allow_projection_or_signature_support_only,projection_or_signature_support_candidate,False,False,False,True,False,False,True,False,Resource supports signature/module/candidate concordance more than full pathology validation.,,complete metadata/approval package not present in repository,projection/signature support; mechanism concordance,clean validation; causal or therapeutic claims,"complete metadata, readout, access, direction, independence, and null-reporting checks",use for support or request metadata for role upgrade,medium
PIG_WGCNA_RESOURCES,PIG / WGCNA resources,PIG;WGCNA,allow_projection_or_signature_support_only,projection_or_signature_support_candidate,False,False,False,True,False,False,True,False,Resource supports signature/module/candidate concordance more than full pathology validation.,,complete metadata/approval package not present in repository,projection/signature support; mechanism concordance,clean validation; causal or therapeutic claims,"complete metadata, readout, access, direction, independence, and null-reporting checks",use for support or request metadata for role upgrade,medium
SEA-AD_internal,SEA-AD Microglia-PVM internal benchmark,SEA-AD_internal;SEA-AD Microglia-PVM internal benchmark;SEA-AD,reject_for_clean_validation,known_disqualified_from_clean_validation,False,False,False,False,False,False,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_training_or_source_domain;sea_ad_source_domain_not_clean_external;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
GSE157827,Candidate public external brain snRNA/scRNA dataset,GSE157827;Candidate public external brain snRNA/scRNA dataset;GEO,manual_metadata_review_required,conditional_clean_validation_candidate,False,True,False,False,False,False,True,False,Scientifically plausible validation/acquisition candidate; missing evidence is not rejection.,,complete metadata/approval package not present in repository,manual metadata review and possible conditional validation planning,clean validation before approval; validation completed,"complete metadata, readout, access, direction, independence, and null-reporting checks",prioritize metadata/access/readout review,high
GSE147528,Candidate public external brain snRNA/scRNA dataset,GSE147528;Candidate public external brain snRNA/scRNA dataset;GEO,manual_metadata_review_required,conditional_clean_validation_candidate,False,True,False,False,False,False,True,False,Scientifically plausible validation/acquisition candidate; missing evidence is not rejection.,,complete metadata/approval package not present in repository,manual metadata review and possible conditional validation planning,clean validation before approval; validation completed,"complete metadata, readout, access, direction, independence, and null-reporting checks",prioritize metadata/access/readout review,medium
GSE203206,Bulk donor/sample-level external stress test,GSE203206;Bulk donor/sample-level external stress test;GEO,manual_metadata_review_required,manual_metadata_review_required,False,False,False,False,False,False,True,False,Evidence is insufficient; missing metadata is not rejection.,,complete metadata/approval package not present in repository,manual metadata review as candidate validation resource,clean validation before approval,"complete metadata, readout, access, direction, independence, and null-reporting checks",request metadata and PI/manual review,medium
