requirement_id,category,requirement,rationale_from_v2,benchmark_or_discovery_role,success_metric,required_for_minimum_v3,notes
V3-001,objective,Benchmark dominance first,"v2 real graph was graph-specific but did not beat module mean","benchmark","mean OOF Spearman > 0.3099",True,"Primary threshold is v2 module mean 0.2999 plus 0.01"
V3-002,objective,Conservative Discovery Atlas second,"v2 candidate scores remained hypotheses not causal validation","discovery","all candidate tiers preserve evidence gates",True,"Do not relax Level-2 gliosis or graph-neighborhood gates"
V3-003,reusable_asset,Reuse SEA-AD H5AD preprocessing,"v2 comparisons depend on frozen preprocessing","benchmark","same H5AD used across all v3 baselines",True,"Prevents preprocessing confounds"
V3-004,reusable_asset,Reuse 2957-gene universe,"v2 controls and edge files share this feature universe","benchmark/discovery","all model branches align to 2957 genes",True,"Identity edge file is canonical gene-index map"
V3-005,reusable_asset,Reuse donor-level fold logic,"v2 baseline gate used donor-level five-fold CV","benchmark","locked folds with no cell-level leakage",True,"No test-fold model selection"
V3-006,benchmark_suite,Include PCA baseline,"PCA was close to v2 real graph","benchmark","reported mean OOF Spearman",True,"Part of manifold/embedding suite"
V3-007,benchmark_suite,Include t-SNE baseline,"v3 must benchmark broadly beyond v2","benchmark","reported fold-safe readout performance",False,"Use only leakage-safe fitting or mark exploratory"
V3-008,benchmark_suite,Include UMAP baseline,"v3 must benchmark against common nonlinear embeddings","benchmark","reported mean OOF Spearman",True,"Supervised UMAP only if leakage-safe"
V3-009,benchmark_suite,Include PHATE baseline,"v3 must test diffusion/manifold alternatives","benchmark","reported mean OOF Spearman",False,"Inventory package availability first"
V3-010,benchmark_suite,Include diffusion maps baseline,"v3 must test diffusion geometry","benchmark","reported mean OOF Spearman",False,"Inventory package availability first"
V3-011,benchmark_suite,Include raw expression ridge and ElasticNet,"raw expression was close to v2 real graph","benchmark","reported mean OOF Spearman",True,"Ridge plus ElasticNet"
V3-012,benchmark_suite,Include tree/boosting expression baseline if available,"linear raw expression may understate expression-only capacity","benchmark","reported mean OOF Spearman",False,"Use leakage-safe folds"
V3-013,benchmark_suite,Include expression-only MLP,"v3 needs neural non-graph comparator","benchmark","reported mean OOF Spearman",True,"Controls for architecture capacity"
V3-014,module_baseline,Include module mean baseline,"module mean remained strongest absolute predictor","benchmark","v3 real graph exceeds module mean by at least 0.01",True,"V3 must integrate module structure"
V3-015,module_baseline,Include WGCNA module eigengenes,"module structure likely captures donor pathology signal","benchmark","reported mean OOF Spearman",True,"Use WGCNA spelling"
V3-016,module_baseline,Include module-only MLP,"module signal should be tested with learned nonlinear readout","benchmark","reported mean OOF Spearman",False,"Capacity-controlled module comparator"
V3-017,deep_latent_baseline,Include autoencoder latent,"v3 needs expression-only learned latent comparator","benchmark","reported mean OOF Spearman",True,"No graph input"
V3-018,deep_latent_baseline,Include VAE/scVI-style latent if feasible,"single-cell latent baselines may dominate simple PCA","benchmark","reported mean OOF Spearman",False,"Feasibility depends on package/data setup"
V3-019,graph_baseline,Separate STRING graph source,"v2 consensus graph mixed graph sources","benchmark/discovery","source-specific graph ablation reported",True,"Keep typed edges"
V3-020,graph_baseline,Separate WGCNA/TOM graph source,"WGCNA/TOM is empirical coexpression not causal regulation","benchmark/discovery","source-specific graph ablation reported",True,"Do not collapse into anonymous edges"
V3-021,graph_baseline,Include pathway graph if available,"biological prior sources may differ from STRING/WGCNA","benchmark/discovery","pathway graph ablation reported",False,"Inventory first"
V3-022,graph_baseline,Include coexpression graph,"coexpression topology may explain module baseline strength","benchmark/discovery","coexpression graph ablation reported",False,"May overlap WGCNA/TOM"
V3-023,graph_control,Include no-graph identity control,"v2 real graph beat identity/no-graph","benchmark","real graph > no graph by at least 0.01",True,"Must remain matched"
V3-024,graph_control,Include strict shuffled controls,"v2 strict shuffled was zero-overlap and degree-preserving","benchmark","real graph > strict shuffled by at least 0.01",True,"Create per graph type where feasible"
V3-025,architecture,Expression branch,"module mean and raw baselines are strong","benchmark","improves or preserves expression signal",True,"Avoid graph branch suppressing expression signal"
V3-026,architecture,Module branch using WGCNA/module information,"module mean was best absolute predictor","benchmark/discovery","v3 exceeds module mean threshold",True,"Module-gated design"
V3-027,architecture,Typed graph branch,"real graph benefit should be source-aware","benchmark/discovery","edge-type ablation improves interpretability",True,"STRING/WGCNA/pathway/coexpression"
V3-028,architecture,Learned edge gates,"v3 should learn when graph edges help","benchmark/discovery","sparse stable gates and improved held-out performance",True,"Regularize gates"
V3-029,architecture,Residual no-graph branch,"identity/no-graph retained useful signal","benchmark","no-graph residual improves stability",True,"Prevents overdependence on graph"
V3-030,architecture,Target-specific pathology heads,"targets behaved differently in v2","benchmark","per-target metrics improve without dropping targets",True,"AT8 6e10/Aβ GFAP Iba1 NeuN"
V3-031,architecture,Perturbation/discovery head,"Discovery Atlas requires gene-ablation counterfactuals","discovery","candidate perturbations pass QC gates",True,"Separate from benchmark readout"
V3-032,objective,Donor pathology prediction loss,"benchmark dominance is primary","benchmark","mean OOF Spearman threshold met",True,"Locked folds"
V3-033,objective,JEPA latent prediction loss,"preserves representation learning objective","benchmark/discovery","stable latent geometry and predictive performance",True,"Retain v2 useful structure"
V3-034,objective,Module alignment/reconstruction loss,"module baseline strength must be integrated","benchmark","module-aware branch improves over module mean",True,"Avoid module signal loss"
V3-035,objective,Graph contrastive or edge-type consistency loss,"typed graph sources need structured learning","benchmark/discovery","real typed graph beats controls",False,"Candidate for v3+ if minimum v3 is too broad"
V3-036,objective,Edge-gate sparsity regularization,"uncontrolled gates can overfit","benchmark/discovery","stable sparse gates across folds/seeds",True,"Interpretability and anti-leakage"
V3-037,objective,Optional perturbation-shift consistency loss,"Discovery Atlas needs perturbation-like behavior","discovery","candidate deltas pass manifold and negative controls",False,"Use only if leakage-safe"
V3-038,success_criterion,Primary benchmark threshold,"module mean was 0.2999 in v2","benchmark","v3 real graph mean OOF Spearman > 0.3099",True,"Benchmark dominance minimum"
V3-039,success_criterion,Strong benchmark target,"v3 should clearly exceed v2 baselines","benchmark","v3 real graph mean OOF Spearman 0.315-0.330",False,"Stretch goal"
V3-040,success_criterion,Graph-specific controls,"v2 real graph beat both controls","benchmark","real > no graph and strict shuffled by at least 0.01",True,"Required to claim graph specificity"
V3-041,success_criterion,Discovery candidate gates,"v2 evidence gates must remain conservative","discovery","manifold QC donor robustness gliosis diagnostics negative controls graph-neighborhood checks",True,"No automatic causal claims"
V3-042,anti_leakage,Locked donor folds,"v2 comparisons rely on fixed donor folds","benchmark/discovery","same folds across all methods",True,"No test-fold selection"
V3-043,anti_leakage,No candidate-gene tuning,"candidate tuning would contaminate discovery claims","discovery","no candidate-specific hyperparameter changes",True,"Preserve Discovery Atlas discipline"
V3-044,anti_leakage,No external validation during model selection,"external validation must remain independent","benchmark/discovery","external data unused until locked model",True,"No leakage"
V3-045,anti_leakage,No target dropping after results,"v2 targets had heterogeneous behavior","benchmark","all five targets reported",True,"No post hoc target pruning"
V3-046,anti_leakage,No changing small-difference thresholds post hoc,"v2 used 0.01 small-difference band","benchmark","threshold declared before evaluation",True,"Avoid moving goalposts"
V3-047,implementation,Stage 23 inventory,"available packages and graph sources determine feasible suite","benchmark/discovery","inventory report completed",True,"No training"
V3-048,implementation,Stage 24 locked benchmark harness,"expanded baselines must be fair and reusable","benchmark","all feasible baselines run under locked folds",True,"No candidate tuning"
V3-049,implementation,Stage 25 minimum architecture,"v3 implementation needs a minimal first model","benchmark/discovery","model trains and emits required artifacts",True,"Module-gated typed perturbation Graph-JEPA"
V3-050,implementation,Stage 26 train v3 real graph single seed,"first v3 benchmark model","benchmark","single-seed result produced",True,"After harness is locked"
V3-051,implementation,Stage 27 train v3 controls,"graph specificity requires matched controls","benchmark","no-graph and strict shuffled v3 controls trained",True,"No claim before controls"
V3-052,implementation,Stage 28 evaluate v3 benchmark suite,"benchmark dominance must be tested","benchmark","ranking and deltas reported",True,"Includes expanded baselines"
V3-053,implementation,Stage 29 multi-seed confirmation if promising,"single seed may be unstable","benchmark","multi-seed confidence if v3 clears thresholds",False,"Only if promising"
V3-054,implementation,Stage 30 restore Discovery Atlas ranking,"discovery engine comes after benchmark lock","discovery","counterfactual ranking with conservative gates",True,"No evidence gate relaxation"
V3-055,causal_layer,Causal-prior graph layer,"v2 graph edges were useful but associative","discovery","typed causal-prior support reported without causal-truth claims",True,"STRING WGCNA/TOM pathway coexpression module and GRN/TF-target edges are priors"
V3-056,causal_layer,Environment invariance module,"v2 donor/pathology associations need stability stress tests","discovery","environment sign consistency and stability reported",True,"Environments include donor batch sex pathology strata cell state and microglia/PVM state"
V3-057,causal_layer,Exploratory causal discovery module,"learned causal graphs can suggest priors but can overclaim","discovery","NOTEARS/additive-noise/DAG outputs labeled exploratory only",False,"Must not override benchmark robustness or evidence gates"
V3-058,causal_layer,Observational causal effect estimation,"model counterfactuals are not causal estimates","discovery","shortlisted genes report estimator effect and confidence interval where feasible",False,"Use doubly robust TMLE DoWhy or EconML-style workflows"
V3-059,causal_layer,Refutation tests,"observational estimates require falsification attempts","discovery","placebo bootstrap covariate-subset random-common-cause and sensitivity statuses reported",True,"Failures demote causal claim language"
V3-060,causal_layer,Perturbation-supervised extension,"experimental evidence is required for experimental causal claims","discovery","Perturb-seq CRISPRi CRISPRa or related evidence status reported",False,"Future calibration if perturbation data are unavailable"
V3-061,causal_layer,Causal evidence tiering,"Discovery Atlas needs controlled causal language","discovery","tier in controlled vocabulary for every causal candidate",True,"Includes causal_hypothesis_only through experimentally_supported and not_causal_supported"
V3-062,causal_layer,Allowed-claim constraints,"SEA-AD is observational and counterfactuals are model-implied","discovery","allowed_claim and disallowed_claims populated",True,"Never call a gene a validated therapeutic target without experimental/functional validation"
