audit_item,pass,evidence
train_fold_only_preprocessing,True,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
donor_heldout_only,True,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_external_data,True,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_candidate_selection,True,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_clean_external_validation_claim,True,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_causal_claim,True,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_therapeutic_claim,True,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
no_gene_ablation_claim,True,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
negative_null_results_reported,True,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
safety_audit_pass,True,all safety checks passed
