condition,target_transform,feature_view,n_components,model,primary_leaderboard_allowed
rank_inverse_normal_module_pca4_ridge,rank_inverse_normal,pca,4.0,ridge,True
rank_inverse_normal_module_pca4_elasticnet,rank_inverse_normal,pca,4.0,elasticnet,True
rank_inverse_normal_module_pca4_huber,rank_inverse_normal,pca,4.0,huber,True
rank_inverse_normal_module_pca8_ridge,rank_inverse_normal,pca,8.0,ridge,True
rank_inverse_normal_module_pca8_elasticnet,rank_inverse_normal,pca,8.0,elasticnet,True
rank_inverse_normal_module_pca8_huber,rank_inverse_normal,pca,8.0,huber,True
rank_inverse_normal_module_pca12_ridge,rank_inverse_normal,pca,12.0,ridge,True
rank_inverse_normal_module_pca12_elasticnet,rank_inverse_normal,pca,12.0,elasticnet,True
rank_inverse_normal_module_pca12_huber,rank_inverse_normal,pca,12.0,huber,True
rank_inverse_normal_module_pca16_ridge,rank_inverse_normal,pca,16.0,ridge,True
rank_inverse_normal_module_pca16_elasticnet,rank_inverse_normal,pca,16.0,elasticnet,True
rank_inverse_normal_module_pca16_huber,rank_inverse_normal,pca,16.0,huber,True
rank_inverse_normal_module_direct_ridge,rank_inverse_normal,direct,,ridge,True
rank_inverse_normal_module_direct_elasticnet,rank_inverse_normal,direct,,elasticnet,True
rank_inverse_normal_module_direct_huber,rank_inverse_normal,direct,,huber,True
rank_inverse_normal_module_pca2_pls,rank_inverse_normal,pca,2.0,pls,True
rank_inverse_normal_module_pca4_pls,rank_inverse_normal,pca,4.0,pls,True
rank_inverse_normal_module_pca6_pls,rank_inverse_normal,pca,6.0,pls,True
raw_log1p_module_pca4_ridge,raw_log1p,pca,4.0,ridge,True
raw_log1p_module_pca4_elasticnet,raw_log1p,pca,4.0,elasticnet,True
raw_log1p_module_pca4_huber,raw_log1p,pca,4.0,huber,True
raw_log1p_module_pca8_ridge,raw_log1p,pca,8.0,ridge,True
raw_log1p_module_pca8_elasticnet,raw_log1p,pca,8.0,elasticnet,True
raw_log1p_module_pca8_huber,raw_log1p,pca,8.0,huber,True
raw_log1p_module_pca12_ridge,raw_log1p,pca,12.0,ridge,True
raw_log1p_module_pca12_elasticnet,raw_log1p,pca,12.0,elasticnet,True
raw_log1p_module_pca12_huber,raw_log1p,pca,12.0,huber,True
raw_log1p_module_pca16_ridge,raw_log1p,pca,16.0,ridge,True
raw_log1p_module_pca16_elasticnet,raw_log1p,pca,16.0,elasticnet,True
raw_log1p_module_pca16_huber,raw_log1p,pca,16.0,huber,True
winsor_log1p_module_pca4_ridge,winsor_log1p,pca,4.0,ridge,True
winsor_log1p_module_pca4_elasticnet,winsor_log1p,pca,4.0,elasticnet,True
winsor_log1p_module_pca4_huber,winsor_log1p,pca,4.0,huber,True
winsor_log1p_module_pca8_ridge,winsor_log1p,pca,8.0,ridge,True
winsor_log1p_module_pca8_elasticnet,winsor_log1p,pca,8.0,elasticnet,True
winsor_log1p_module_pca8_huber,winsor_log1p,pca,8.0,huber,True
winsor_log1p_module_pca12_ridge,winsor_log1p,pca,12.0,ridge,True
winsor_log1p_module_pca12_elasticnet,winsor_log1p,pca,12.0,elasticnet,True
winsor_log1p_module_pca12_huber,winsor_log1p,pca,12.0,huber,True
winsor_log1p_module_pca16_ridge,winsor_log1p,pca,16.0,ridge,True
winsor_log1p_module_pca16_elasticnet,winsor_log1p,pca,16.0,elasticnet,True
winsor_log1p_module_pca16_huber,winsor_log1p,pca,16.0,huber,True
negative_control_rank_int_pca8_donor_shuffled_target_ridge,rank_inverse_normal,pca,8.0,ridge,False
negative_control_rank_int_pca8_shuffled_features_ridge,rank_inverse_normal,pca,8.0,ridge,False
