path,stage_or_source,artifact_class,joinability_status,recommended_use,columns_sample
results/archive/old_stage_c_sweeps/tables/stage_c_fine_01_r007_cov0005_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_01_r007_cov0005_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_01_r007_cov0005_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_02_r007_cov001_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_02_r007_cov001_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_02_r007_cov001_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_03_r010_cov0005_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_03_r010_cov0005_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_03_r010_cov0005_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_04_r010_cov002_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_04_r010_cov002_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_04_r010_cov002_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_05_r012_cov001_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_05_r012_cov001_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_05_r012_cov001_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_06_r015_cov001_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_06_r015_cov001_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_06_r015_cov001_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_01_r0035_cov00025_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_01_r0035_cov00025_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_01_r0035_cov00025_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_02_r0035_cov0005_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_02_r0035_cov0005_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_02_r0035_cov0005_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_03_r004_cov00025_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_03_r004_cov00025_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_03_r004_cov00025_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_04_r004_cov0005_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_04_r004_cov0005_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_04_r004_cov0005_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_05_r0045_cov00025_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_05_r0045_cov00025_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_05_r0045_cov00025_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_06_r0045_cov0005_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_06_r0045_cov0005_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_bridge_06_r0045_cov0005_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_01_r005_cov0005_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_01_r005_cov0005_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_01_r005_cov0005_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_02_r005_cov001_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_02_r005_cov001_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_02_r005_cov001_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_03_r010_cov0005_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_03_r010_cov0005_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_03_r010_cov0005_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_04_r010_cov002_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_04_r010_cov002_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_04_r010_cov002_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_05_r020_cov001_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_05_r020_cov001_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_05_r020_cov001_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_01_r003_cov00025_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_01_r003_cov00025_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_01_r003_cov00025_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_02_r003_cov0005_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_02_r003_cov0005_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_02_r003_cov0005_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_03_r005_cov00025_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_03_r005_cov00025_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_03_r005_cov00025_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_04_r005_cov00075_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_04_r005_cov00075_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_04_r005_cov00075_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_05_r008_cov00025_epoch_005_coordinates.csv,stage_c,coordinate,direct_cell_and_donor_join_candidate,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores,cell_id;donor_id;anchor_type;z_0;z_1;z_2;z_3;z_4;z_5;z_6;z_7;z_8;z_9;z_10;z_11;z_12;z_13;z_14;z_15;z_16;z_17;z_18;z_19;z_20;z_21
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_05_r008_cov00025_epoch_005_latent_metrics.csv,stage_c,latent_or_attribution,donor_level_join_only,use_for_donor_context_not_cell_extraction,representation;target;n_donors;pathology_tertile_silhouette;knn_spearman;knn_r2;knn_mae
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_05_r008_cov00025_epoch_005_umap_coordinates.csv,stage_c,coordinate,donor_level_join_only,use_for_donor_context_not_cell_extraction,Donor ID;representation;x;y;percent AT8 positive area_Grey matter;percent NeuN positive area_Grey matter;percent 6e10 positive area_Grey matter;percent GFAP positive area_Grey matter;percent Iba1 positive area_Grey matter
