dataset_id,dataset_name,disqualification_reason,explicit_evidence,still_useful_for,claim_boundary
HBCC,HBCC,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
HBCA,HBCA / Human Brain Cell Atlas,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
SEA_AD_PUBLIC_SPATIAL_PATHOLOGY,SEA-AD public spatial/pathology resources,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_training_or_source_domain;sea_ad_source_domain_not_clean_external;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
SEA-AD_internal,SEA-AD Microglia-PVM internal benchmark,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_training_or_source_domain;sea_ad_source_domain_not_clean_external;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
GSE98969,Mouse DAM/microglia auxiliary candidate,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
GSE127893,Mouse subseries review required,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
b165f033-9dec-468a-9248-802fc6902a74,All non-neuronal cells,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
5c97eeeb-7e52-44b3-b010-b832b1f5424c,HBCC_Cohort,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
4442d412-91cb-4261-acca-8adf5fa04c11,Aging_Cohort,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
SEA_AD_CELLXGENE_DLPFC,Whole Taxonomy - DLPFC,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_training_or_source_domain;sea_ad_source_domain_not_clean_external;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
SEA_AD_CELLXGENE_MTG,Whole Taxonomy - MTG,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_training_or_source_domain;sea_ad_source_domain_not_clean_external;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
mouse_isocortex_hippocampus,Mouse isocortex and hippocampal formation taxonomy,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
mouse_brain_aging_atlas,BrainAgingSpatialAtlas_snRNAseq,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,"robustness/provenance/context only, with explicit non-clean-validation label",not clean validation; may be scientifically useful only at bounded support level
