feature,target,datasets_tested,n_datasets,same_direction_across_datasets,max_abs_tail_spearman,mean_tail_beats_mean_delta
dam_lipid_trem2_apoe,AT8,DLPFC;MTG,2,True,0.458681785967399,0.08694592574460522
interferon_inflammatory,AT8,DLPFC;MTG,2,True,0.4409031082312444,0.0024316319990453916
lysosomal_endolysosomal,AT8,DLPFC;MTG,2,True,0.4338490389123301,0.14922515401053127
lysosomal_endolysosomal,NeuN,DLPFC;MTG,2,True,0.42810595405532115,0.12796148130680599
lysosomal_endolysosomal,6e10/A_beta,DLPFC;MTG,2,True,0.42490849908663864,0.1369668955011653
lysosomal_endolysosomal,GFAP,DLPFC;MTG,2,True,0.4174951908474233,0.07094058964646303
disease_program_score,NeuN,DLPFC;MTG,2,True,0.4044952920927407,0.23814080204803184
dam_lipid_trem2_apoe,6e10/A_beta,DLPFC;MTG,2,True,0.4016401741419459,0.04076693256734343
disease_program_score,AT8,DLPFC;MTG,2,True,0.4014376835071378,0.113308533214516
disease_program_score,6e10/A_beta,DLPFC;MTG,2,True,0.3879720562923965,0.05359114601392728
disease_program_score,GFAP,DLPFC;MTG,2,True,0.38063847082570673,0.09357592774969355
lysosomal_endolysosomal,Iba1,DLPFC;MTG,2,True,0.36898734177215187,0.02604920859435561
dam_lipid_trem2_apoe,GFAP,DLPFC;MTG,2,True,0.3673585096689278,0.0926339296839167
oxidative_stress_gene_preserved,AT8,DLPFC;MTG,2,True,0.3648513197647743,-0.03737616320734559
complement_phagocytosis,GFAP,DLPFC;MTG,2,True,0.3563025210084033,0.08019651796800596
oxidative_stress_gene_preserved,Iba1,DLPFC;MTG,2,True,0.3418424753867792,-0.01566110325244882
oxidative_stress_gene_preserved,6e10/A_beta,DLPFC;MTG,2,True,0.32538549546565426,-0.016869849000238538
interferon_inflammatory,6e10/A_beta,DLPFC;MTG,2,True,0.3141237217778678,0.027900548998343017
complement_phagocytosis,6e10/A_beta,DLPFC;MTG,2,True,0.30887921433633697,0.01245048152282452
oxidative_stress_gene_preserved,GFAP,DLPFC;MTG,2,True,0.3064493267186393,0.02284501145619483
interferon_inflammatory,GFAP,DLPFC;MTG,2,True,0.3011238230231852,-0.00021151632496491102
oxidative_stress_gene_preserved,NeuN,DLPFC;MTG,2,True,0.28549154601599674,-0.10087690643674817
dam_lipid_trem2_apoe,NeuN,DLPFC;MTG,2,True,0.27641819034224097,0.14998247430739872
interferon_inflammatory,Iba1,DLPFC;MTG,2,True,0.26322081575246137,-0.007898798446394635
dam_lipid_trem2_apoe,Iba1,DLPFC;MTG,2,True,0.2527894983591186,-0.0004724235618026873
disease_program_score,Iba1,DLPFC;MTG,2,True,0.2408828591677635,-0.0036652751012797163
complement_phagocytosis,AT8,DLPFC;MTG,2,True,0.20862610104282678,0.005495395758832247
antigen_presentation,GFAP,DLPFC;MTG,2,True,0.19625392325604943,0.062114035453708374
complement_phagocytosis,Iba1,DLPFC;MTG,2,True,0.16793642612270232,-0.018858778816856756
complement_phagocytosis,NeuN,DLPFC;MTG,2,True,0.1657524613220816,0.15151401265096553
interferon_inflammatory,NeuN,DLPFC;MTG,2,True,0.15119975701123822,0.06021130618057407
antigen_presentation,6e10/A_beta,DLPFC;MTG,2,True,0.13938206563436514,0.07733396611949203
antigen_presentation,NeuN,DLPFC;MTG,2,True,0.08869089804596537,-0.10978637926287049
antigen_presentation,AT8,DLPFC;MTG,2,True,0.08739495798319329,-0.013162147579788348
antigen_presentation,Iba1,DLPFC;MTG,2,True,0.08482805069625972,0.020707766208817584
