resource_id,resource_path,resource_type,parse_status,gene_column,term_column,category_column,evidence_column,target_scope_column,species_column,disease_scope_column,n_rows,n_gene_rows,stable_schema_available,exclusion_reason
resource_001,docs\ACTIVE_V3_STATUS.md,unknown_schema,no_parse,,,,,,,,0,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_002,docs\architecture.md,unknown_schema,no_parse,,,,,,,,0,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_003,docs\causal_discovery.md,markdown_gene_mentions,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,0,12,True,
resource_004,docs\cleanup_manifest.md,unknown_schema,no_parse,,,,,,,,0,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_005,docs\current_status.md,markdown_gene_mentions,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,0,21,True,
resource_006,docs\dataset_guide.md,markdown_gene_mentions,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,0,2,True,
resource_007,docs\DATASET_REGISTRY.md,unknown_schema,no_parse,,,,,,,,0,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_008,docs\external_cohort_reconnaissance.md,unknown_schema,no_parse,,,,,,,,0,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_009,docs\external_perturbation_benchmarks.md,markdown_gene_mentions,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,0,10,True,
resource_010,docs\external_validation_next_steps.md,markdown_gene_mentions,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,0,5,True,
resource_011,docs\figure_gallery.md,unknown_schema,no_parse,,,,,,,,0,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_012,docs\github_about.md,markdown_gene_mentions,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,0,1,True,
resource_013,docs\github_repo_checklist.md,unknown_schema,no_parse,,,,,,,,0,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_014,docs\gpu_setup.md,unknown_schema,no_parse,,,,,,,,0,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_015,docs\project_proposal.md,markdown_gene_mentions,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,0,15,True,
resource_016,docs\runbook.md,markdown_gene_mentions,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,0,21,True,
resource_017,docs\scientific_pitch.md,markdown_gene_mentions,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,0,6,True,
resource_018,docs\stage_c_v21_upgrade_experiments.md,unknown_schema,no_parse,,,,,,,,0,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_019,docs\technical_plan.md,markdown_gene_mentions,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,0,11,True,
resource_020,docs\V3_SCORECARD.md,unknown_schema,no_parse,,,,,,,,0,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_021,configs\train\stage34a_hbca_microglia_filtered_external_pretraining_v1.yaml,unknown_schema,no_parse,,,,,,,,1,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_022,configs\train\stage_b_adversarial.yaml,unknown_schema,no_parse,,,,,,,,1,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_023,results\tables\causal_fold_specific_two_pass_test_loaded.csv,gene_term_table,parsed_table_exact_gene_column,genes,module,,,,,,29,25,True,
resource_024,results\tables\causal_fold_specific_two_pass_test_loaded_modules.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,genes,module,,,,,,15,115,True,
