matrix_local_path,file_size_bytes,matrix_format,matched_dataset_id,registry_match_method,registry_match_details,matrix_found,approved_registry_match,matrix_loaded,n_cells_or_rows,n_donors_or_samples,n_genes_raw,var_name_example,cell_type_column,donor_column,disease_column,tissue_column,species_column,normalization_status,warnings
data\external\cellxgene\olah_live_microglia.h5ad,95126456,.h5ad,Olah_live_microglia,dataset_id_token_match,unique_match,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\external\cellxgene\rexach_cross_dementia.h5ad,4993733632,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\external\gse174367\GSE174367_snRNA-seq_filtered_feature_bc_matrix.h5,273975534,.h5,GSE174367,dataset_id_token_match,unique_match,True,False,False,0,0,0,,,,,,,unsupported_for_automatic_stage32_build,format_.h5_inventory_only
data\processed\sea_ad_mtg_contiguous_10k_hvg3k.h5ad,163302920,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k.h5ad,116795656,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\processed\sea_ad_mtg_microglia_pvm_10k_hvg3k_module_preserved.h5ad,115680777,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\processed\sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,458239253,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\processed\sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad,462024617,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\processed\sea_ad_mtg_microglia_pvm_smoke_hvg200.h5ad,178984,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\processed\v2_alignment\olah_live_microglia_microglia_jepa_aligned.h5ad,15925953,.h5ad,Olah_live_microglia,dataset_id_token_match,unique_match,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\processed\v2_alignment\rexach_cross_dementia_microglia_jepa_aligned.h5ad,40155153,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\processed\v2_pretraining\cellxgene_normal_microglia_nucleus_relaxed_assay_jepa_aligned.h5ad,79250658,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\processed\v2_pretraining\sea_ad_low_pathology_microglia_pvm_relaxed_jepa_aligned.h5ad,50149439,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\processed\v2_pretraining\sea_ad_low_pathology_microglia_pvm_strict_jepa_aligned.h5ad,22413461,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\raw\fake_k562.h5ad,376240,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\raw\kampmann_gse178317\GSM5387652_iTF_Microglia_10X_Lane1_filtered_feature_bc_matrix.h5,69120984,.h5,,no_registry_match,,True,False,False,0,0,0,,,,,,,unsupported_for_automatic_stage32_build,format_.h5_inventory_only
data\raw\kampmann_gse178317\GSM5387656_iTF_Microglia_sgRNAenrichment_Lane1_filtered_feature_bc_matrix.h5,763812,.h5,,no_registry_match,,True,False,False,0,0,0,,,,,,,unsupported_for_automatic_stage32_build,format_.h5_inventory_only
data\raw\ReplogleWeissman2022_K562_gwps.h5ad,8805466154,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
data\raw\snrna\SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,36319410584,.h5ad,,no_registry_match,,True,False,False,0,0,0,,,,,,,not_inspected_excluded_or_large,deep_h5ad_inspection_skipped_not_approved_registry_match
