candidate,perturbation_consensus,supporting_sources,validated_ablation,safe_claim,unsafe_claim
APOE,hypothesis-generating model-based sensitivity only,results\reports\discovery_final_candidate_shortlist_v1.md;results\reports\discovery_final_candidate_shortlist_v2.md;results\reports\discovery_final_candidate_shortlist_v3.md;results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md;results\reports\stage47_candidate_gene_network_summary_v1.md;results\reports\stage47_in_silico_perturbation_summary_v1.md;results\tables\ablation_no_graph_stage_a_v1_history.csv;results\tables\ablation_no_graph_stage_b_v1_history.csv,False,candidate for future perturbational testing,validated ablation / causal target
BSG,hypothesis-generating model-based sensitivity only,results\reports\discovery_final_candidate_shortlist_v1.md;results\reports\discovery_final_candidate_shortlist_v2.md;results\reports\discovery_final_candidate_shortlist_v3.md;results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md;results\reports\stage47_candidate_gene_network_summary_v1.md;results\reports\stage47_in_silico_perturbation_summary_v1.md;results\tables\ablation_no_graph_stage_a_v1_history.csv;results\tables\ablation_no_graph_stage_b_v1_history.csv,False,candidate for future perturbational testing,validated ablation / causal target
CST7,hypothesis-generating model-based sensitivity only,results\reports\discovery_final_candidate_shortlist_v1.md;results\reports\discovery_final_candidate_shortlist_v2.md;results\reports\discovery_final_candidate_shortlist_v3.md;results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md;results\reports\stage47_candidate_gene_network_summary_v1.md;results\reports\stage47_in_silico_perturbation_summary_v1.md;results\tables\ablation_no_graph_stage_a_v1_history.csv;results\tables\ablation_no_graph_stage_b_v1_history.csv,False,candidate for future perturbational testing,validated ablation / causal target
CTSB,hypothesis-generating model-based sensitivity only,results\reports\discovery_final_candidate_shortlist_v1.md;results\reports\discovery_final_candidate_shortlist_v2.md;results\reports\discovery_final_candidate_shortlist_v3.md;results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md;results\reports\stage47_candidate_gene_network_summary_v1.md;results\reports\stage47_in_silico_perturbation_summary_v1.md;results\tables\ablation_no_graph_stage_a_v1_history.csv;results\tables\ablation_no_graph_stage_b_v1_history.csv,False,candidate for future perturbational testing,validated ablation / causal target
CTSD,hypothesis-generating model-based sensitivity only,results\reports\discovery_final_candidate_shortlist_v1.md;results\reports\discovery_final_candidate_shortlist_v2.md;results\reports\discovery_final_candidate_shortlist_v3.md;results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md;results\reports\stage47_candidate_gene_network_summary_v1.md;results\reports\stage47_in_silico_perturbation_summary_v1.md;results\tables\ablation_no_graph_stage_a_v1_history.csv;results\tables\ablation_no_graph_stage_b_v1_history.csv,False,candidate for future perturbational testing,validated ablation / causal target
GPX4,hypothesis-generating model-based sensitivity only,results\reports\discovery_final_candidate_shortlist_v1.md;results\reports\discovery_final_candidate_shortlist_v2.md;results\reports\discovery_final_candidate_shortlist_v3.md;results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md;results\reports\stage47_candidate_gene_network_summary_v1.md;results\reports\stage47_in_silico_perturbation_summary_v1.md;results\tables\ablation_no_graph_stage_a_v1_history.csv;results\tables\ablation_no_graph_stage_b_v1_history.csv,False,candidate for future perturbational testing,validated ablation / causal target
HMOX1,hypothesis-generating model-based sensitivity only,results\reports\discovery_final_candidate_shortlist_v1.md;results\reports\discovery_final_candidate_shortlist_v2.md;results\reports\discovery_final_candidate_shortlist_v3.md;results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md;results\reports\stage47_candidate_gene_network_summary_v1.md;results\reports\stage47_in_silico_perturbation_summary_v1.md;results\tables\ablation_no_graph_stage_a_v1_history.csv;results\tables\ablation_no_graph_stage_b_v1_history.csv,False,candidate for future perturbational testing,validated ablation / causal target
IL27RA,hypothesis-generating model-based sensitivity only,results\reports\discovery_final_candidate_shortlist_v1.md;results\reports\discovery_final_candidate_shortlist_v2.md;results\reports\discovery_final_candidate_shortlist_v3.md;results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md;results\reports\stage47_candidate_gene_network_summary_v1.md;results\reports\stage47_in_silico_perturbation_summary_v1.md;results\tables\ablation_no_graph_stage_a_v1_history.csv;results\tables\ablation_no_graph_stage_b_v1_history.csv,False,candidate for future perturbational testing,validated ablation / causal target
LAMP2,hypothesis-generating model-based sensitivity only,results\reports\discovery_final_candidate_shortlist_v1.md;results\reports\discovery_final_candidate_shortlist_v2.md;results\reports\discovery_final_candidate_shortlist_v3.md;results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md;results\reports\stage47_candidate_gene_network_summary_v1.md;results\reports\stage47_in_silico_perturbation_summary_v1.md;results\tables\ablation_no_graph_stage_a_v1_history.csv;results\tables\ablation_no_graph_stage_b_v1_history.csv,False,candidate for future perturbational testing,validated ablation / causal target
LAPTM5,hypothesis-generating model-based sensitivity only,results\reports\discovery_final_candidate_shortlist_v1.md;results\reports\discovery_final_candidate_shortlist_v2.md;results\reports\discovery_final_candidate_shortlist_v3.md;results\reports\stage35d_perturbation_graph_diagnostic_report_v1.md;results\reports\stage47_candidate_gene_network_summary_v1.md;results\reports\stage47_in_silico_perturbation_summary_v1.md;results\tables\ablation_no_graph_stage_a_v1_history.csv;results\tables\ablation_no_graph_stage_b_v1_history.csv,False,candidate for future perturbational testing,validated ablation / causal target
