gene_symbol,mechanism_bin,candidate_priority,mapping_status,drug_or_compound,target_relationship,source_database,evidence_level,directionality_known,disease_relevance_claim_allowed,therapeutic_claim_allowed,safe_interpretation,followup_needed
APOE,Glial activation / disease-associated microglia-astrocyte state,1,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
BSG,Inflammatory signaling / transport / cell-state modulation,2,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
CST7,Glial activation / disease-associated microglia-astrocyte state,3,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
CTSB,Endolysosomal / autophagy / proteostasis,4,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
CTSD,Glial activation / disease-associated microglia-astrocyte state,5,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
GPX4,Oxidative stress / antioxidant response,6,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
HMOX1,Oxidative stress / antioxidant response,7,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
IL27RA,Inflammatory signaling / transport / cell-state modulation,8,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
LAMP2,Endolysosomal / autophagy / proteostasis,9,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
LAPTM5,Endolysosomal / autophagy / proteostasis,10,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
LGALS3,Glial activation / disease-associated microglia-astrocyte state,11,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
NFKBIA,Inflammatory signaling / transport / cell-state modulation,12,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
NPC2,Endolysosomal / autophagy / proteostasis,13,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
NQO1,Oxidative stress / antioxidant response,14,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
SLC6A12,Inflammatory signaling / transport / cell-state modulation,15,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
SOD1,Oxidative stress / antioxidant response,16,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
SOD2,Oxidative stress / antioxidant response,17,local_resource_available_manual_mapping_needed,,,local resource inventory,unreviewed_local_mapping_resource,False,False,False,druggability hypothesis requires curated database/manual review and experimental validation,"Acquire/review DGIdb, DrugCentral, ChEMBL, OpenTargets, LINCS/CMap or manual PI-curated drug table"
