dataset_id,dataset_name,candidate_role,clean_external_validation_candidate,stress_test_candidate,projection_or_signature_support_candidate,robustness_only_candidate,excluded_or_contaminated,requires_manual_review,primary_reason,allowed_use,disallowed_use,stage37b_use_recommendation
GSE138852,GSE138852 / Grubman-Leng,projection_or_signature_support,False,False,True,True,False,True,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,manual_review_or_projection_only
GSE174367,GSE174367 / Morabito,projection_or_signature_support,False,False,True,True,False,True,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,manual_review_or_projection_only
HBCC,HBCC,excluded_or_contaminated,False,False,False,False,True,False,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,exclude_from_clean_validation
HBCA,HBCA / Human Brain Cell Atlas,excluded_or_contaminated,False,False,False,False,True,False,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,exclude_from_clean_validation
SEA_AD_PUBLIC_SPATIAL_PATHOLOGY,SEA-AD public spatial/pathology resources,excluded_or_contaminated,False,False,False,False,True,False,SEA-AD-derived/source-domain material is not independent of the SEA-AD modeling and candidate-selection workflow.,internal context or source-domain interpretation only,clean external validation,exclude_from_clean_validation
PUBLIC_CELLXGENE_MICROGLIA,Public CELLxGENE microglia datasets,projection_or_signature_support,False,False,True,True,False,True,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,manual_review_or_projection_only
LU_2026_SIGNATURES,Lu et al. 2026 signatures/supplementary tables,projection_or_signature_support,False,False,True,True,False,True,"Resource appears suited to mechanism/signature concordance, not full pathology validation unless required frozen readouts are verified.",signature concordance; mechanism-support review,full pathology validation; causal or therapeutic claims,projection_or_signature_support_only
PIG_WGCNA_RESOURCES,PIG / WGCNA resources,projection_or_signature_support,False,False,True,True,False,True,"Resource appears suited to mechanism/signature concordance, not full pathology validation unless required frozen readouts are verified.",signature concordance; mechanism-support review,full pathology validation; causal or therapeutic claims,projection_or_signature_support_only
SEA-AD_internal,SEA-AD Microglia-PVM internal benchmark,excluded_or_contaminated,False,False,False,False,True,False,SEA-AD-derived/source-domain material is not independent of the SEA-AD modeling and candidate-selection workflow.,internal context or source-domain interpretation only,clean external validation,exclude_from_clean_validation
GSE157827,Candidate public external brain snRNA/scRNA dataset,requires_manual_review,False,False,False,False,False,True,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.",candidate validation resource only after manual approval,clean validation before manual approval and data access checks,manual_dataset_approval_before_use
GSE147528,Candidate public external brain snRNA/scRNA dataset,requires_manual_review,False,False,False,False,False,True,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.",candidate validation resource only after manual approval,clean validation before manual approval and data access checks,manual_dataset_approval_before_use
GSE203206,Bulk donor/sample-level external stress test,requires_manual_review,False,False,False,False,False,True,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.",candidate validation resource only after manual approval,clean validation before manual approval and data access checks,manual_dataset_approval_before_use
GSE98969,Mouse DAM/microglia auxiliary candidate,excluded_or_contaminated,False,False,False,False,True,False,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,exclude_from_clean_validation
GSE181279,Peripheral immune plausibility/auxiliary dataset,projection_or_signature_support,False,False,True,True,False,True,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,manual_review_or_projection_only
GSE127893,Mouse subseries review required,excluded_or_contaminated,False,False,False,False,True,False,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,exclude_from_clean_validation
37a17b78-4864-4a42-b67b-31c00962795a,MSSM_Cohort,requires_manual_review,False,False,False,False,False,True,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.",candidate validation resource only after manual approval,clean validation before manual approval and data access checks,manual_dataset_approval_before_use
5e57cd50-8e42-42d6-940d-5c1660d06864,RADC_Cohort,requires_manual_review,False,False,False,False,False,True,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.",candidate validation resource only after manual approval,clean validation before manual approval and data access checks,manual_dataset_approval_before_use
