condition,graph_role,aux_weight,target,target_key,target_alias,n_donors,pooled_oof_spearman,pooled_oof_pearson,r2,mae,rmse,target_context,lambda_graph
module_graph_no_graph_identity_ridge,module_no_graph_identity_control,0.0,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.31635203121758904,0.09975961956193136,0.5908527814398361,0.6954113538288077,,
module_graph_no_graph_identity_ridge,module_no_graph_identity_control,0.0,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5284398096588033,0.6623974952216048,0.42808995773853975,0.3514371020098168,0.4386596361996293,,
module_graph_no_graph_identity_ridge,module_no_graph_identity_control,0.0,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.30229826870507237,0.2787706505018599,0.0775241338331295,0.4963336075201987,0.5980483240374915,,
module_graph_no_graph_identity_ridge,module_no_graph_identity_control,0.0,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.016077756403766325,-0.042985908308886905,-0.09295916718496233,0.35916171223590504,0.4595804887952489,,
module_graph_no_graph_identity_ridge,module_no_graph_identity_control,0.0,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4519590968917688,0.4724359148185014,0.20964454842080227,0.38969685928713976,0.4861320000855131,,
module_graph_real_overlap_aux_weight_0_025_ridge,real_module_overlap_graph_auxiliary,0.025,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.3164570778267325,0.09982344990151581,0.590837260241702,0.6953866997860197,,
module_graph_real_overlap_aux_weight_0_025_ridge,real_module_overlap_graph_auxiliary,0.025,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5212513921231143,0.6613422522857312,0.42574860630654454,0.35298181320006744,0.4395566368354404,,
module_graph_real_overlap_aux_weight_0_025_ridge,real_module_overlap_graph_auxiliary,0.025,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.30229826870507237,0.27880151370158784,0.07754104865459766,0.49633962961200206,0.5980428410067836,,
module_graph_real_overlap_aux_weight_0_025_ridge,real_module_overlap_graph_auxiliary,0.025,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.016077756403766325,-0.04304593932168187,-0.09302101044849787,0.35916779946378385,0.4595934909073574,,
module_graph_real_overlap_aux_weight_0_025_ridge,real_module_overlap_graph_auxiliary,0.025,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45220208565353853,0.4724489213574953,0.20967286893233272,0.3896968641850562,0.4861232903143463,,
module_graph_real_overlap_aux_weight_0_05_ridge,real_module_overlap_graph_auxiliary,0.05,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3364584387972056,0.3167682805464097,0.10001269540135549,0.5907910785250073,0.6953135998364318,,
module_graph_real_overlap_aux_weight_0_05_ridge,real_module_overlap_graph_auxiliary,0.05,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5116938341601702,0.6585781268007089,0.4203334693418196,0.3552857218663717,0.4416242628917367,,
module_graph_real_overlap_aux_weight_0_05_ridge,real_module_overlap_graph_auxiliary,0.05,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.3037359522122102,0.2788935246939677,0.07759146797564775,0.4963576541108562,0.5980264970133785,,
module_graph_real_overlap_aux_weight_0_05_ridge,real_module_overlap_graph_auxiliary,0.05,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.015267793864533767,-0.04322533845217545,-0.09320620895342357,0.35918600467275524,0.4596324253932567,,
module_graph_real_overlap_aux_weight_0_05_ridge,real_module_overlap_graph_auxiliary,0.05,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45185785157436464,0.4724825931378926,0.2097495490104203,0.38969742762363196,0.4860997071203759,,
module_graph_real_overlap_aux_weight_0_1_ridge,real_module_overlap_graph_auxiliary,0.1,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.34182444061962136,0.3179571036084611,0.10073780316311143,0.5906118360224422,0.69503344095048,,
