candidate_id,feature_set_id,mean_pooled_oof_spearman,min_target_spearman,n_targets,risk_tiers_used,allowed_for_lock_candidate,comparator_only,proxy_leakage_risk_pass,proxy_leakage_decision
full_39d_reconstruction_comparator,full_39d_reconstruction_comparator,0.4933643818973373,0.2375215146299484,5,Tier2;Tier3;Tier4,False,True,False,proxy_sensitive_or_caution_only
latent_only,latent_only,0.3458094563126456,0.025473321858864025,5,Tier0,True,False,True,proxy_safe_or_allowed
latent_plus_tier1_plus_tier2,latent_plus_tier1_plus_tier2,0.38781411359724616,0.11258479295332592,5,Tier0;Tier1;Tier2,False,False,False,proxy_sensitive_or_caution_only
latent_plus_tier1_safe_metadata,latent_plus_tier1_safe_metadata,0.37668522830819073,0.013688366913030272,5,Tier0;Tier1,True,False,True,proxy_safe_or_allowed
latent_plus_tier2_composition,latent_plus_tier2_composition,0.34010732003644834,0.04837501265566467,5,Tier0;Tier2,False,False,False,proxy_sensitive_or_caution_only
restricted_no_pseudo_no_seaad_reconstruction,restricted_no_pseudo_no_seaad_reconstruction,0.12650804900273363,-0.007937632884479092,5,Tier2;Tier3,False,True,False,proxy_sensitive_or_caution_only
safe_composition_only,safe_composition_only,-0.020388885233050727,-0.21484365112987208,5,Tier2,False,False,False,proxy_sensitive_or_caution_only
safe_metadata_only,safe_metadata_only,0.24245418649387468,0.009800546724713984,5,Tier1,True,False,True,proxy_safe_or_allowed
stage27c_reference,stage27c_reference,0.3267024400121495,0.016077756403766325,5,Tier0,False,True,True,proxy_safe_or_allowed
stage39e_pca8_reference,stage39e_pca8_reference,0.35808116279206914,0.056974172849842526,5,Tier0,False,True,True,proxy_safe_or_allowed
target_shuffled_control,target_shuffled_control,-0.01542573655968411,-0.1558975397387871,5,control,False,True,False,proxy_sensitive_or_caution_only
tier3_proxy_only_comparator,tier3_proxy_only_comparator,0.1718497519489724,0.08749620330059735,5,Tier3,False,True,False,proxy_sensitive_or_caution_only
