candidate_gene,mechanism_id,target,frozen_stage36e_priority,stage36c_rank_or_score_if_available,stage38b_best_support_tier,n_external_datasets_tested,n_supporting_external_datasets,priority_score,priority_class,limitation,recommended_next_validation_route,allowed_claim_language,prohibited_claim_language
LAMP2,M1,NeuN,1,rank=5; score=1.25,not_testable,1,0,4.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
NPC2,M1,NeuN,1,rank=4; score=1.25,not_testable,1,0,4.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
CTSD,M1,6e10/Aβ,1,rank=5; score=1.25,not_testable,1,0,4.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
CTSD,M1,NeuN,1,rank=3; score=1.25,not_testable,1,0,4.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
LAPTM5,M1,NeuN,1,rank=2; score=1.25,not_testable,1,0,4.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
CTSB,M1,NeuN,1,rank=1; score=1.25,not_testable,1,0,4.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
CTSD,M1,GFAP,1,rank=5; score=1.239036,not_testable,1,0,4.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
CTSD,M1,AT8,1,rank=5; score=1.25,not_testable,1,0,4.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
CST7,M2,GFAP,2,rank=2; score=1.239036,not_testable,1,0,3.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
CTSD,M2,NeuN,2,rank=3; score=1.25,not_testable,1,0,3.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
CTSD,M2,GFAP,2,rank=5; score=1.239036,not_testable,1,0,3.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
LGALS3,M2,GFAP,2,rank=4; score=1.239036,not_testable,1,0,3.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
APOE,M2,GFAP,2,rank=3; score=1.239036,not_testable,1,0,3.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
TREM2,M2,GFAP,2,rank=1; score=1.239036,not_testable,1,0,3.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
