candidate_gene,mechanism_id,mechanism_name,target,n_datasets_present,n_datasets_direction_match,n_datasets_moderate_or_strong_support,best_dataset_support,support_summary,limitation,recommended_follow_up
APOE,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
BSG,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
BSG,M4,Inflammatory signaling / transport / cell-state modulation,AT8,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
CST7,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
CTSB,M1,Endolysosomal / autophagy / proteostasis,NeuN,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
CTSD,M1,Endolysosomal / autophagy / proteostasis,6e10/Aβ,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
CTSD,M1,Endolysosomal / autophagy / proteostasis,AT8,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
CTSD,M1,Endolysosomal / autophagy / proteostasis,GFAP,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
CTSD,M1,Endolysosomal / autophagy / proteostasis,NeuN,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
CTSD,M2,Glial activation / disease-associated microglia-astrocyte state,6e10/Aβ,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
CTSD,M2,Glial activation / disease-associated microglia-astrocyte state,AT8,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
CTSD,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
CTSD,M2,Glial activation / disease-associated microglia-astrocyte state,NeuN,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
GPX4,M3,Oxidative stress / antioxidant response,Iba1,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
HMOX1,M3,Oxidative stress / antioxidant response,Iba1,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
IL27RA,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
IL27RA,M4,Inflammatory signaling / transport / cell-state modulation,AT8,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
LAMP2,M1,Endolysosomal / autophagy / proteostasis,NeuN,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
LAPTM5,M1,Endolysosomal / autophagy / proteostasis,NeuN,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
LGALS3,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
NFKBIA,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
NFKBIA,M4,Inflammatory signaling / transport / cell-state modulation,AT8,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
NPC2,M1,Endolysosomal / autophagy / proteostasis,NeuN,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
NQO1,M3,Oxidative stress / antioxidant response,Iba1,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
SLC6A12,M4,Inflammatory signaling / transport / cell-state modulation,6e10/Aβ,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
SLC6A12,M4,Inflammatory signaling / transport / cell-state modulation,AT8,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
SOD1,M3,Oxidative stress / antioxidant response,Iba1,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
SOD2,M3,Oxidative stress / antioxidant response,Iba1,1,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
TREM2,M2,Glial activation / disease-associated microglia-astrocyte state,GFAP,0,0,0,,presence/coverage support only unless dataset-specific statistics are available,No external dataset was used for candidate selection; incomplete local metadata limits validation claims,manual acquisition/readiness review; run pre-specified support analysis only after metadata confirms suitability
