resource_id,resource_name,source_url,modality,expected_file_type,expected_size_class,access_type,internal_or_external,expected_donor_linkage_key,expected_feature_value,leakage_risk,proxy_risk,priority,acquisition_status,notes,recommended_order,safest_first_benchmark_source,why_priority
sea_ad_whitepapers_methods,SEA-AD white papers and method documents,https://brain-map.org/consortia/sea-ad/our-resources,documentation,pdf/html,small,manual,internal,N/A,provenance and method constraints,low,low,high,planned,"Use for provenance, not predictors.",0,False,important after core linkage/MRI
sea_ad_donor_metadata,SEA-AD donor metadata,https://brain-map.org/consortia/sea-ad/our-data,donor_metadata,csv/metadata table,small,manual,internal,Donor ID,safe donor covariates and linkage keys,low,low,high,planned,Safest first source with strict forbidden predictor filter.,1,True,core linkage and safe covariates
sea_ad_mri_volumetrics,Postmortem MRI volumetrics,https://brain-map.org/consortia/sea-ad/our-data,MRI,csv/table or supplement,medium,manual,internal,Donor ID,regional volumes / anatomy context,low,low_to_medium,high,planned,Highest priority benchmark feature after donor metadata.,2,True,safe anatomy/volume signal with lower direct target leakage risk
cell_id_conversion_tables,Cell ID conversion / donor linkage tables,https://brain-map.org/consortia/sea-ad/our-resources,linkage,csv/table,small,manual,internal,cell_id; donor_id,linkage only,low,low,high,planned,Required for safe aggregation and provenance tracking.,3,False,required for donor-safe aggregation
cellxgene_snrna_metadata,Processed snRNA-seq / CELLxGENE donor-cell metadata,https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,snRNA_metadata,h5ad/cell metadata,large,manual_or_existing_wsl,internal,donor_id / Donor ID,cell type/subclass/state summaries,medium,medium,high,planned,Build donor-level summaries; avoid disease-state labels as predictors.,4,False,important after core linkage/MRI
donor_celltype_composition,Donor-level cell-type/subclass composition summaries,https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,composition,derived csv,small,derived_after_manual_acquisition,internal,Donor ID,broad cell-type fractions,medium,medium,medium,derived_needed,Tier2 caution features requiring proxy audit.,5,False,important after core linkage/MRI
celltype_module_state_summaries,Cell-type-specific module/state summaries,https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,state_summary,derived csv,medium,derived_after_manual_acquisition,internal,Donor ID; cell_type,module/state summaries by cell type,medium,medium_to_high,medium,derived_needed,Must exclude pseudo-pathology/SEAAD target-proxy state labels.,6,False,important after core linkage/MRI
spatial_transcriptomics_neighborhoods,Spatial transcriptomics neighborhood summaries,https://brain-map.org/consortia/sea-ad/our-data,spatial,spatial tables / h5ad / coordinates,large,manual,internal,Donor ID; section_id; spot/cell_id,local neighborhood context,medium,medium,high,planned,Compute neighborhoods without target labels.,7,False,important after core linkage/MRI
snatac_regulatory_modules,snATAC / regulatory module summaries,https://brain-map.org/consortia/sea-ad/our-data,snATAC,fragment/peak/module tables,large,manual,internal,Donor ID; cell_id,regulatory module context,medium,medium,medium,planned,Potential Tier2 feature; requires modality-specific QC.,8,False,important after core linkage/MRI
microglia_multiregion_states,Microglia-enriched multiregion state summaries,https://brain-map.org/consortia/sea-ad/our-data,microglia_state,metadata/expression tables,medium,manual,internal,Donor ID; region,microglia state by region,medium,medium_to_high,medium,planned,Avoid SEAAD/disease burden state labels as direct predictors.,9,False,important after core linkage/MRI
he_lfb_non_target_morphology,H&E-LFB or non-target image morphology features,https://brain-map.org/consortia/sea-ad/our-resources,image_morphology,image-derived feature table,medium_to_large,manual,internal,Donor ID; slide_id; section_id,non-target morphology / tissue architecture,medium,medium,medium,planned_later,Use non-target stains first; avoid same-stain same-target leakage.,10,False,important after core linkage/MRI
