source_path,file_name,feature_class_guess,matched_keywords,size_bytes,extension,likely_donor_linked,internal_or_external_guess,stage41_candidate_status
results\reports\stage39d_metadata_composition_stack_report_v1.md,stage39d_metadata_composition_stack_report_v1.md,composition_candidate,composition,23600,.md,True,internal_or_project,candidate_for_manual_review
results\reports\stage39d_pi_metadata_composition_summary_v1.md,stage39d_pi_metadata_composition_summary_v1.md,composition_candidate,composition,4897,.md,True,internal_or_project,candidate_for_manual_review
results\reports\stage39h_proxy_safe_composition_decomposition_report_v1.md,stage39h_proxy_safe_composition_decomposition_report_v1.md,composition_candidate,composition,47824,.md,True,internal_or_project,candidate_for_manual_review
results\tables\stage39d_composition_proxy_audit_v1.csv,stage39d_composition_proxy_audit_v1.csv,composition_candidate,composition,4787,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage39d_donor_composition_features_v1.csv,stage39d_donor_composition_features_v1.csv,composition_candidate,composition,26680,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage39d_restricted_composition_sensitivity_v1.csv,stage39d_restricted_composition_sensitivity_v1.csv,composition_candidate,composition,1642,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage39h_composition_only_results_v1.csv,stage39h_composition_only_results_v1.csv,composition_candidate,composition,277,.csv,True,internal_or_project,candidate_for_manual_review
data\external\grubman_gse138852\GSE138852_covariates.csv.gz,GSE138852_covariates.csv.gz,covariate_candidate,covariate,86792,.gz,False,external_or_public,candidate_for_manual_review
results\reports\sea_ad_full_metadata_covariate_audit.md,sea_ad_full_metadata_covariate_audit.md,covariate_candidate,covariate,3100,.md,True,internal_or_project,candidate_for_manual_review
results\tables\sea_ad_full_metadata_covariate_audit.csv,sea_ad_full_metadata_covariate_audit.csv,covariate_candidate,covariate,8198,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\sea_ad_full_metadata_targets_with_covariates.csv,sea_ad_full_metadata_targets_with_covariates.csv,covariate_candidate,covariate,63304,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage39c_feature_covariate_audit_v1.csv,stage39c_feature_covariate_audit_v1.csv,covariate_candidate,covariate,240,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\v2_1_gse174367_covariate_audit.csv,v2_1_gse174367_covariate_audit.csv,covariate_candidate,covariate,704,.csv,False,external_or_public,candidate_for_manual_review
results\tables\v2_1_target_validation_covariate_correlations.csv,v2_1_target_validation_covariate_correlations.csv,covariate_candidate,covariate,6169,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\v2_1_target_validation_covariate_flags.csv,v2_1_target_validation_covariate_flags.csv,covariate_candidate,covariate,2077,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\v2_1_target_validation_full_covariates_alien_cell_check.csv,v2_1_target_validation_full_covariates_alien_cell_check.csv,covariate_candidate,covariate,1178,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\v2_1_target_validation_full_covariates_covariate_correlations.csv,v2_1_target_validation_full_covariates_covariate_correlations.csv,covariate_candidate,covariate,8707,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\v2_1_target_validation_full_covariates_covariate_flags.csv,v2_1_target_validation_full_covariates_covariate_flags.csv,covariate_candidate,covariate,1490,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\v2_1_target_validation_full_covariates_report.md,v2_1_target_validation_full_covariates_report.md,covariate_candidate,covariate,1454,.md,False,internal_or_project,candidate_for_manual_review
results\tables\v2_1_target_validation_full_covariates_validated_target_matrix.csv,v2_1_target_validation_full_covariates_validated_target_matrix.csv,covariate_candidate,covariate,6631,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\v2_1_target_validation_full_covariates_within_state_check.csv,v2_1_target_validation_full_covariates_within_state_check.csv,covariate_candidate,covariate,775,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\v2_2_target_covariate_audit.csv,v2_2_target_covariate_audit.csv,covariate_candidate,covariate,1798,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\v2_2_target_covariate_audit_long.csv,v2_2_target_covariate_audit_long.csv,covariate_candidate,covariate,2890,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\grubman_zero_shot_sample_pool_embeddings.csv,grubman_zero_shot_sample_pool_embeddings.csv,embedding_candidate,embedding,422,.csv,False,external_or_public,candidate_for_manual_review
results\tables\gse138852_graph_jepa_zero_shot_aligned_donor_embeddings.csv,gse138852_graph_jepa_zero_shot_aligned_donor_embeddings.csv,embedding_candidate,embedding,10785,.csv,True,external_or_public,candidate_for_manual_review
