source_path,file_name,feature_class_guess,matched_keywords,size_bytes,extension,likely_donor_linked,internal_or_external_guess,stage41_candidate_status
results\tables\gse138852_graph_jepa_zero_shot_baseline_donor_embeddings.csv,gse138852_graph_jepa_zero_shot_baseline_donor_embeddings.csv,embedding_candidate,embedding,10357,.csv,True,external_or_public,candidate_for_manual_review
results\tables\gse138852_graph_jepa_zero_shot_donor_embeddings.csv,gse138852_graph_jepa_zero_shot_donor_embeddings.csv,embedding_candidate,embedding,10153,.csv,True,external_or_public,candidate_for_manual_review
results\tables\microglia_pvm_jepa_all_module_preserved_cell_embeddings.csv,microglia_pvm_jepa_all_module_preserved_cell_embeddings.csv,embedding_candidate,embedding,62243025,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_all_module_preserved_donor_embeddings.csv,microglia_pvm_jepa_all_module_preserved_donor_embeddings.csv,embedding_candidate,embedding,143004,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_all_module_preserved_e100_cell_embeddings.csv,microglia_pvm_jepa_all_module_preserved_e100_cell_embeddings.csv,embedding_candidate,embedding,62212055,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_all_module_preserved_e100_donor_embeddings.csv,microglia_pvm_jepa_all_module_preserved_e100_donor_embeddings.csv,embedding_candidate,embedding,142987,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_all_module_preserved_e100_embedding_ridge.csv,microglia_pvm_jepa_all_module_preserved_e100_embedding_ridge.csv,embedding_candidate,embedding,1694,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_all_module_preserved_embedding_ridge.csv,microglia_pvm_jepa_all_module_preserved_embedding_ridge.csv,embedding_candidate,embedding,1693,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_cell_embeddings.csv,microglia_pvm_jepa_cell_embeddings.csv,embedding_candidate,embedding,15558995,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_donor_embeddings.csv,microglia_pvm_jepa_donor_embeddings.csv,embedding_candidate,embedding,137481,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_cell_embeddings.csv,microglia_pvm_jepa_ema_expanded_balanced_e10_cell_embeddings.csv,embedding_candidate,embedding,61585736,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_donor_embeddings.csv,microglia_pvm_jepa_ema_expanded_balanced_e10_donor_embeddings.csv,embedding_candidate,embedding,137035,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_embedding_ridge.csv,microglia_pvm_jepa_ema_expanded_balanced_e10_embedding_ridge.csv,embedding_candidate,embedding,1701,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_cell_embeddings.csv,microglia_pvm_jepa_ema_expanded_balanced_e20_cell_embeddings.csv,embedding_candidate,embedding,61740923,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_donor_embeddings.csv,microglia_pvm_jepa_ema_expanded_balanced_e20_donor_embeddings.csv,embedding_candidate,embedding,137467,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_embedding_ridge.csv,microglia_pvm_jepa_ema_expanded_balanced_e20_embedding_ridge.csv,embedding_candidate,embedding,1693,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_cell_embeddings.csv,microglia_pvm_jepa_ema_expanded_balanced_e30_cell_embeddings.csv,embedding_candidate,embedding,61879365,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_donor_embeddings.csv,microglia_pvm_jepa_ema_expanded_balanced_e30_donor_embeddings.csv,embedding_candidate,embedding,138107,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_embedding_ridge.csv,microglia_pvm_jepa_ema_expanded_balanced_e30_embedding_ridge.csv,embedding_candidate,embedding,1703,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_cell_embeddings.csv,microglia_pvm_jepa_ema_expanded_balanced_e40_cell_embeddings.csv,embedding_candidate,embedding,61959919,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_donor_embeddings.csv,microglia_pvm_jepa_ema_expanded_balanced_e40_donor_embeddings.csv,embedding_candidate,embedding,138566,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_embedding_ridge.csv,microglia_pvm_jepa_ema_expanded_balanced_e40_embedding_ridge.csv,embedding_candidate,embedding,1698,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_cell_embeddings.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e10_cell_embeddings.csv,embedding_candidate,embedding,61586381,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_donor_embeddings.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e10_donor_embeddings.csv,embedding_candidate,embedding,136915,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_embedding_ridge.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e10_embedding_ridge.csv,embedding_candidate,embedding,1705,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_cell_embeddings.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e20_cell_embeddings.csv,embedding_candidate,embedding,61745341,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_donor_embeddings.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e20_donor_embeddings.csv,embedding_candidate,embedding,137506,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_embedding_ridge.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e20_embedding_ridge.csv,embedding_candidate,embedding,1699,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_cell_embeddings.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e30_cell_embeddings.csv,embedding_candidate,embedding,61882912,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_donor_embeddings.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e30_donor_embeddings.csv,embedding_candidate,embedding,138150,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_embedding_ridge.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e30_embedding_ridge.csv,embedding_candidate,embedding,1702,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_cell_embeddings.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e40_cell_embeddings.csv,embedding_candidate,embedding,61959516,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_donor_embeddings.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e40_donor_embeddings.csv,embedding_candidate,embedding,138460,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_embedding_ridge.csv,microglia_pvm_jepa_ema_var_expanded_balanced_e40_embedding_ridge.csv,embedding_candidate,embedding,1696,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_embedding_ridge.csv,microglia_pvm_jepa_embedding_ridge.csv,embedding_candidate,embedding,1693,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_cell_embeddings.csv,microglia_pvm_jepa_expanded_modules_balanced_e40_cell_embeddings.csv,embedding_candidate,embedding,62196625,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_donor_embeddings.csv,microglia_pvm_jepa_expanded_modules_balanced_e40_donor_embeddings.csv,embedding_candidate,embedding,142084,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_embedding_ridge.csv,microglia_pvm_jepa_expanded_modules_balanced_e40_embedding_ridge.csv,embedding_candidate,embedding,1704,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_cell_embeddings.csv,microglia_pvm_jepa_expanded_modules_balanced_e80_cell_embeddings.csv,embedding_candidate,embedding,62197824,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_donor_embeddings.csv,microglia_pvm_jepa_expanded_modules_balanced_e80_donor_embeddings.csv,embedding_candidate,embedding,142596,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_embedding_ridge.csv,microglia_pvm_jepa_expanded_modules_balanced_e80_embedding_ridge.csv,embedding_candidate,embedding,1693,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_mixed_cell_embeddings.csv,microglia_pvm_jepa_mixed_cell_embeddings.csv,embedding_candidate,embedding,15522488,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_mixed_donor_embeddings.csv,microglia_pvm_jepa_mixed_donor_embeddings.csv,embedding_candidate,embedding,137737,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_mixed_embedding_ridge.csv,microglia_pvm_jepa_mixed_embedding_ridge.csv,embedding_candidate,embedding,1677,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_module_preserved_cell_embeddings.csv,microglia_pvm_jepa_module_preserved_cell_embeddings.csv,embedding_candidate,embedding,15554599,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_module_preserved_donor_embeddings.csv,microglia_pvm_jepa_module_preserved_donor_embeddings.csv,embedding_candidate,embedding,138145,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\microglia_pvm_jepa_module_preserved_embedding_ridge.csv,microglia_pvm_jepa_module_preserved_embedding_ridge.csv,embedding_candidate,embedding,1687,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\stage_c_elastic_cov001_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,stage_c_elastic_cov001_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,embedding_candidate,embedding,222861,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_elastic_cov001_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,stage_c_elastic_cov001_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,embedding_candidate,embedding,221985,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_elastic_w005_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,stage_c_elastic_w005_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,embedding_candidate,embedding,222688,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_elastic_w005_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,stage_c_elastic_w005_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,embedding_candidate,embedding,222520,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,stage_c_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,embedding_candidate,embedding,222952,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,stage_c_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,embedding_candidate,embedding,222656,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_epoch_015_sea_ad_microglia_pvm_donor_embeddings.csv,stage_c_epoch_015_sea_ad_microglia_pvm_donor_embeddings.csv,embedding_candidate,embedding,222971,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_rehearsal_sea_ad_microglia_pvm_donor_embeddings.csv,stage_c_rehearsal_sea_ad_microglia_pvm_donor_embeddings.csv,embedding_candidate,embedding,222980,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_sweep_01_base_elastic_epoch_005_donor_embeddings.csv,stage_c_sweep_01_base_elastic_epoch_005_donor_embeddings.csv,embedding_candidate,embedding,222764,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_sweep_01_base_elastic_epoch_010_donor_embeddings.csv,stage_c_sweep_01_base_elastic_epoch_010_donor_embeddings.csv,embedding_candidate,embedding,222555,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_sweep_02_goldilocks_epoch_005_donor_embeddings.csv,stage_c_sweep_02_goldilocks_epoch_005_donor_embeddings.csv,embedding_candidate,embedding,222824,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_sweep_02_goldilocks_epoch_010_donor_embeddings.csv,stage_c_sweep_02_goldilocks_epoch_010_donor_embeddings.csv,embedding_candidate,embedding,221960,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_sweep_03_mod_cov_epoch_005_donor_embeddings.csv,stage_c_sweep_03_mod_cov_epoch_005_donor_embeddings.csv,embedding_candidate,embedding,222934,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_sweep_03_mod_cov_epoch_010_donor_embeddings.csv,stage_c_sweep_03_mod_cov_epoch_010_donor_embeddings.csv,embedding_candidate,embedding,221695,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_sweep_04_loose_anchor_epoch_005_donor_embeddings.csv,stage_c_sweep_04_loose_anchor_epoch_005_donor_embeddings.csv,embedding_candidate,embedding,223054,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_sweep_04_loose_anchor_epoch_010_donor_embeddings.csv,stage_c_sweep_04_loose_anchor_epoch_010_donor_embeddings.csv,embedding_candidate,embedding,221919,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_sweep_05_tight_anchor_epoch_005_donor_embeddings.csv,stage_c_sweep_05_tight_anchor_epoch_005_donor_embeddings.csv,embedding_candidate,embedding,222880,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\stage_c_sweep_05_tight_anchor_epoch_010_donor_embeddings.csv,stage_c_sweep_05_tight_anchor_epoch_010_donor_embeddings.csv,embedding_candidate,embedding,222097,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\v2_2_abeta_frozen_embedding_elasticnet_oof_predictions.csv,v2_2_abeta_frozen_embedding_elasticnet_oof_predictions.csv,embedding_candidate,embedding,11428,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\v2_2_abeta_frozen_embedding_elasticnet_sweep.csv,v2_2_abeta_frozen_embedding_elasticnet_sweep.csv,embedding_candidate,embedding,20719,.csv,False,internal_or_project,candidate_for_manual_review
data\processed\metadata\pathology_target_columns.csv,pathology_target_columns.csv,pathology_named_candidate,pathology,624,.csv,True,internal_or_project,candidate_for_manual_review
data\processed\metadata\pathology_target_spearman_corr.csv,pathology_target_spearman_corr.csv,pathology_named_candidate,pathology,6703,.csv,True,internal_or_project,candidate_for_manual_review
data\processed\metadata\pathology_target_summary.csv,pathology_target_summary.csv,pathology_named_candidate,pathology,2462,.csv,True,internal_or_project,candidate_for_manual_review
data\processed\metadata\sea_ad_mtg_donor_pathology_targets.csv,sea_ad_mtg_donor_pathology_targets.csv,pathology_named_candidate,pathology,21982,.csv,True,internal_or_project,candidate_for_manual_review
data\processed\v2_pretraining\sea_ad_low_pathology_microglia_pvm_relaxed_jepa_aligned.h5ad,sea_ad_low_pathology_microglia_pvm_relaxed_jepa_aligned.h5ad,pathology_named_candidate,pathology,50149439,.h5ad,False,internal_or_project,candidate_for_manual_review
data\processed\v2_pretraining\sea_ad_low_pathology_microglia_pvm_strict_jepa_aligned.h5ad,sea_ad_low_pathology_microglia_pvm_strict_jepa_aligned.h5ad,pathology_named_candidate,pathology,22413461,.h5ad,False,internal_or_project,candidate_for_manual_review
results\reports\discovery_graph_connected_feature_wide_pathology_axis_fingerprints.md,discovery_graph_connected_feature_wide_pathology_axis_fingerprints.md,pathology_named_candidate,pathology,1915,.md,False,internal_or_project,candidate_for_manual_review
results\reports\discovery_pathology_axis_fingerprints.md,discovery_pathology_axis_fingerprints.md,pathology_named_candidate,pathology,6854,.md,False,internal_or_project,candidate_for_manual_review
results\reports\sea_ad_low_pathology_anchor_audit.md,sea_ad_low_pathology_anchor_audit.md,pathology_named_candidate,pathology,3141,.md,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0001.log,feature_wide_chunk_0001.log,pathology_named_candidate,pathology,5607,.log,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0001_donor.csv,feature_wide_chunk_0001_donor.csv,pathology_named_candidate,pathology,1872607,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0001_metadata.csv,feature_wide_chunk_0001_metadata.csv,pathology_named_candidate,pathology,853,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0001_normalized.csv,feature_wide_chunk_0001_normalized.csv,pathology_named_candidate,pathology,20737,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0001_summary.csv,feature_wide_chunk_0001_summary.csv,pathology_named_candidate,pathology,31700,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0002.log,feature_wide_chunk_0002.log,pathology_named_candidate,pathology,5705,.log,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0002_donor.csv,feature_wide_chunk_0002_donor.csv,pathology_named_candidate,pathology,1869187,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0002_metadata.csv,feature_wide_chunk_0002_metadata.csv,pathology_named_candidate,pathology,855,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0002_normalized.csv,feature_wide_chunk_0002_normalized.csv,pathology_named_candidate,pathology,20780,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0002_summary.csv,feature_wide_chunk_0002_summary.csv,pathology_named_candidate,pathology,31684,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0003.log,feature_wide_chunk_0003.log,pathology_named_candidate,pathology,5641,.log,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0003_donor.csv,feature_wide_chunk_0003_donor.csv,pathology_named_candidate,pathology,1859711,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0003_metadata.csv,feature_wide_chunk_0003_metadata.csv,pathology_named_candidate,pathology,855,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0003_normalized.csv,feature_wide_chunk_0003_normalized.csv,pathology_named_candidate,pathology,20726,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0003_summary.csv,feature_wide_chunk_0003_summary.csv,pathology_named_candidate,pathology,31523,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0004.log,feature_wide_chunk_0004.log,pathology_named_candidate,pathology,5625,.log,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0004_donor.csv,feature_wide_chunk_0004_donor.csv,pathology_named_candidate,pathology,1862687,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0004_metadata.csv,feature_wide_chunk_0004_metadata.csv,pathology_named_candidate,pathology,855,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0004_normalized.csv,feature_wide_chunk_0004_normalized.csv,pathology_named_candidate,pathology,20734,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0004_summary.csv,feature_wide_chunk_0004_summary.csv,pathology_named_candidate,pathology,31544,.csv,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0005.log,feature_wide_chunk_0005.log,pathology_named_candidate,pathology,5645,.log,False,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0005_donor.csv,feature_wide_chunk_0005_donor.csv,pathology_named_candidate,pathology,1861869,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0005_metadata.csv,feature_wide_chunk_0005_metadata.csv,pathology_named_candidate,pathology,855,.csv,True,internal_or_project,candidate_for_manual_review
results\tables\_feature_wide_counterfactual_chunks\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals\feature_wide_chunk_0005_normalized.csv,feature_wide_chunk_0005_normalized.csv,pathology_named_candidate,pathology,20756,.csv,False,internal_or_project,candidate_for_manual_review
