condition,target,target_key,target_alias,n_donors,pooled_oof_spearman,pooled_oof_pearson,r2,mae,rmse
external_pretrained_no_graph_identity_jepa_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.15940062772096789,0.11500522065180775,-0.05299163034382803,0.634866045999411,0.7520989666093701
external_pretrained_no_graph_identity_jepa_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.40868684823326923,0.4387545422006983,0.19248394480067166,0.4339060849603663,0.5212419919443048
external_pretrained_no_graph_identity_jepa_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2692112989774223,0.26441895737275817,0.06157736967851235,0.48896888288256607,0.6031953811673637
external_pretrained_no_graph_identity_jepa_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.019985825655563432,-0.0677440751880747,-0.13539758134571023,0.3669794155497361,0.46841802275206323
external_pretrained_no_graph_identity_jepa_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.5384225979548446,0.5505743424552592,0.30308135717531504,0.3692209518036312,0.4564928970040442
external_pretrained_non_graph_jepa_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.15940062772096789,0.11500522065180775,-0.05299163034382803,0.634866045999411,0.7520989666093701
external_pretrained_non_graph_jepa_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.40868684823326923,0.4387545422006983,0.19248394480067166,0.4339060849603663,0.5212419919443048
external_pretrained_non_graph_jepa_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.2692112989774223,0.26441895737275817,0.06157736967851235,0.48896888288256607,0.6031953811673637
external_pretrained_non_graph_jepa_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.019985825655563432,-0.0677440751880747,-0.13539758134571023,0.3669794155497361,0.46841802275206323
external_pretrained_non_graph_jepa_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.5384225979548446,0.5505743424552592,0.30308135717531504,0.3692209518036312,0.4564928970040442
external_pretrained_residual_real_graph_jepa_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.1993925280955756,0.14321755078847492,-0.05658260982974728,0.6340965438677477,0.7533803031433978
external_pretrained_residual_real_graph_jepa_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.39546420978029767,0.4352847288002828,0.18124718702010056,0.43332355593317534,0.524856059380689
external_pretrained_residual_real_graph_jepa_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.25928925787182344,0.25459956535141987,0.04127584667149242,0.4923807607818037,0.6096851337936167
external_pretrained_residual_real_graph_jepa_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.06904930646957579,-0.13047073289933317,-0.23120554734023369,0.38033554977539846,0.48778101826090914
external_pretrained_residual_real_graph_jepa_ridge,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.5392730586210388,0.5626157072821633,0.31641924080549466,0.36585361504716307,0.45210353029278344
external_pretrained_strict_shuffled_residual_graph_jepa_ridge,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.1866963652931052,0.12861677390185153,-0.07733879557298051,0.6411088516062113,0.7607442561659565
external_pretrained_strict_shuffled_residual_graph_jepa_ridge,AT8,AT8,percent AT8 positive area_Grey matter,84,0.4054267490128582,0.4402525478152564,0.1850750874244549,0.43033096565165774,0.523627696882837
external_pretrained_strict_shuffled_residual_graph_jepa_ridge,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.25744659309506934,0.25146743127662574,0.03761526270509896,0.49522432595065813,0.6108479694833453
external_pretrained_strict_shuffled_residual_graph_jepa_ridge,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,-0.060625696061557155,-0.11974036525192462,-0.21215242629020747,0.37828333677866394,0.48399205412676305
