dataset_id,support_test_type,ready,required_inputs_found,missing_inputs,contamination_or_reuse_risk,allowed_use,prohibited_use,decision
GSE160936,gene-module consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE160936,cell-state consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE160936,frozen candidate expression support,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE160936,metadata/context consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE125050,gene-module consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE125050,cell-state consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE125050,frozen candidate expression support,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE125050,metadata/context consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE157827,gene-module consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE157827,cell-state consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE157827,frozen candidate expression support,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE157827,metadata/context consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE138852,gene-module consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE138852,cell-state consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE138852,frozen candidate expression support,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE138852,metadata/context consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE174367,gene-module consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE174367,cell-state consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE174367,frozen candidate expression support,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
GSE174367,metadata/context consistency,False,True,processed compatible expression/metadata support table,non-clean-validation; possible prior reuse; support-only,readiness audit only,external validation; clean validation; benchmark training; model selection; candidate selection,not_testable_or_manual_acquisition_needed
stage37_38_39_external_outputs,gene-module consistency,True,True,,non-clean-validation; possible prior reuse; support-only,supportive consistency only,external validation; clean validation; benchmark training; model selection; candidate selection,support_context_available
stage37_38_39_external_outputs,cell-state consistency,True,True,,non-clean-validation; possible prior reuse; support-only,supportive consistency only,external validation; clean validation; benchmark training; model selection; candidate selection,support_context_available
stage37_38_39_external_outputs,frozen candidate expression support,True,True,,non-clean-validation; possible prior reuse; support-only,supportive consistency only,external validation; clean validation; benchmark training; model selection; candidate selection,support_context_available
stage37_38_39_external_outputs,metadata/context consistency,True,True,,non-clean-validation; possible prior reuse; support-only,supportive consistency only,external validation; clean validation; benchmark training; model selection; candidate selection,support_context_available
