scorecard_item,status,stage,metric,threshold_or_gate,current_value,pass_fail,datasets_allowed,datasets_forbidden,allowed_claim,notes,stage_id,primary_metric,pass_rule,result,allowed_inputs,forbidden_inputs,interpretation
module_mean_baseline,complete,Stage 25B/26,pooled donor-level OOF Spearman,official internal baseline,0.3128,baseline,SEA-AD internal donor-held-out folds,external holdouts for model selection,internal baseline,Official complete baseline; supersedes fold-mean summary.,,,,,,,
raw_expression_ridge,complete,Stage 25B/26,pooled donor-level OOF Spearman,baseline comparison,see primary baseline benchmark,reference,SEA-AD internal donor-held-out folds,external holdouts for model selection,internal baseline comparison,Use as non-representation expression baseline.,,,,,,,
pca_elasticnet,complete,Stage 25B/26,pooled donor-level OOF Spearman,baseline comparison,see primary baseline benchmark,reference,SEA-AD internal donor-held-out folds,external holdouts for model selection,internal baseline comparison,Use as dimensionality-reduced expression baseline.,,,,,,,
v3_sea_ad_only_non_graph,complete,Stage 27A,pooled donor-level OOF Spearman,>=0.3228 and no target drop below -0.02 vs module_mean_baseline,0.1883,fail,SEA-AD internal donor-held-out folds,external holdouts/model-selection leakage,internal prediction,Stage 27A non-graph neural SEA-AD-only run completed; no graph topology.,,,,,,,
v3_external_pretrained_non_graph,missing_external_matrix,Stage 27B,pooled donor-level OOF Spearman,>=0.3228 and no target drop below -0.02 vs module_mean_baseline,not_run,skipped,approved pretraining datasets plus SEA-AD internal folds,clean holdouts and model-selection leakage,external-pretrained prediction,Stage 27B interface implemented; skipped because no approved local external matrix was available.,,,,,,,
v3_real_graph,pending,Stage 27C+,pooled donor-level OOF Spearman and graph-control delta,real graph > no-graph and strict-shuffled graph,not_run,pending,SEA-AD plus role-approved training datasets,clean holdouts/model-selection leakage,graph-specific representation if controls pass,Do not claim topology unless graph controls pass.,,,,,,,
v3_no_graph,pending,Stage 27C+,pooled donor-level OOF Spearman,control for graph topology,not_run,pending,SEA-AD plus same allowed training datasets as real graph,clean holdouts/model-selection leakage,no-graph control,Identity/no-graph condition.,,,,,,,
v3_strict_shuffled_graph,pending,Stage 27C+,pooled donor-level OOF Spearman,control for graph topology,not_run,pending,SEA-AD plus same allowed training datasets as real graph,clean holdouts/model-selection leakage,strict-shuffled graph control,Required graph-specificity control.,,,,,,,
external_projection_holdouts,metadata_only,Stage 26B/26C,metadata/schema readiness,remain untouched until freeze,metadata only,pending,GSE157827; GSE147528; selected clean CELLxGENE holdouts,training/pretraining/aux/model selection,clean external validation only after frozen use,No external validation has been run.,,,,,,,
external_stress_tests,metadata_only,Stage 26B/26C,metadata/schema readiness,projection/stress-test only,metadata only,pending,GSE203206; selected CELLxGENE stress-test datasets,training/model selection if reserved for stress testing,external stress-test support,Bulk or projection datasets define transfer boundaries.,,,,,,,
