approval_item_id,dataset_id,dataset_name,proposed_use,approval_question,pi_decision_placeholder,evidence_required_before_yes,notes
APP001,LU_2026_SIGNATURES,Lu et al. 2026 signatures/supplementary tables,projection/signature or robustness support after manual boundaries are confirmed,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
APP002,PIG_WGCNA_RESOURCES,PIG / WGCNA resources,projection/signature or robustness support after manual boundaries are confirmed,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
APP003,GSE157827,Candidate public external brain snRNA/scRNA dataset,candidate validation resource only after PI/manual approval,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
APP004,GSE147528,Candidate public external brain snRNA/scRNA dataset,candidate validation resource only after PI/manual approval,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
APP005,GSE203206,Bulk donor/sample-level external stress test,candidate validation resource only after PI/manual approval,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
APP006,37a17b78-4864-4a42-b67b-31c00962795a,MSSM_Cohort,candidate validation resource only after PI/manual approval,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
APP007,5e57cd50-8e42-42d6-940d-5c1660d06864,RADC_Cohort,candidate validation resource only after PI/manual approval,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
APP008,cff99df2-4904-44f7-9173-ff837f95606e,all cells,candidate validation resource only after PI/manual approval,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
APP009,203025fe-fa99-4d57-81da-458ed8f0c334,Brain vascular single-cell multi-omics disease-risk snRNA-seq,candidate validation resource only after PI/manual approval,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
APP010,0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,Full Dataset,candidate validation resource only after PI/manual approval,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
APP011,fe2eecbc-977a-4aec-9196-f89c3281d11c,Microglia,candidate validation resource only after PI/manual approval,Should this dataset/resource advance to metadata acquisition/manual approval for the stated non-clean or conditional validation role?,PI_REVIEW_PENDING,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",Do not interpret PI review pending as approval.
