candidate_id,mechanism_id,target,gene_or_module,candidate_type,frozen_priority,stage36c_rank_or_score_if_available,stage36d_shortlist_support,knowledge_grounding_status,internal_model_implied_rationale,proposed_validation_readout,required_validation_before_strong_claim,allowed_claim_language,disallowed_claim_language
C001,M4,6e10/Aβ,BSG,gene,4,rank=1; score=1.25,True,passed,"Stage 36C ranked BSG for 6e10/Aβ with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C002,M4,6e10/Aβ,SLC6A12,gene,4,rank=2; score=1.25,True,passed,"Stage 36C ranked SLC6A12 for 6e10/Aβ with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C003,M4,6e10/Aβ,IL27RA,gene,4,rank=3; score=1.25,True,passed,"Stage 36C ranked IL27RA for 6e10/Aβ with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C004,M4,6e10/Aβ,NFKBIA,gene,4,rank=4; score=1.25,True,passed,"Stage 36C ranked NFKBIA for 6e10/Aβ with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C005,M1,6e10/Aβ,CTSD,gene,1,rank=5; score=1.25,True,passed,"Stage 36C ranked CTSD for 6e10/Aβ with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C006,M2,6e10/Aβ,CTSD,gene,2,rank=5; score=1.25,True,passed,"Stage 36C ranked CTSD for 6e10/Aβ with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C007,M4,AT8,BSG,gene,4,rank=1; score=1.25,True,passed,"Stage 36C ranked BSG for AT8 with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_at8_associated_first_pass. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C008,M4,AT8,SLC6A12,gene,4,rank=2; score=1.25,True,passed,"Stage 36C ranked SLC6A12 for AT8 with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_at8_associated_first_pass. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C009,M4,AT8,IL27RA,gene,4,rank=3; score=1.25,True,passed,"Stage 36C ranked IL27RA for AT8 with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_at8_associated_first_pass. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C010,M4,AT8,NFKBIA,gene,4,rank=4; score=1.25,True,passed,"Stage 36C ranked NFKBIA for AT8 with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_at8_associated_first_pass. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C011,M1,AT8,CTSD,gene,1,rank=5; score=1.25,True,passed,"Stage 36C ranked CTSD for AT8 with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_at8_associated_first_pass. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C012,M2,AT8,CTSD,gene,2,rank=5; score=1.25,True,passed,"Stage 36C ranked CTSD for AT8 with gene-level module/context module_at8_associated_first_pass; the target-level top module is module_at8_associated_first_pass. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C013,M2,GFAP,TREM2,gene,2,rank=1; score=1.239036,True,passed,"Stage 36C ranked TREM2 for GFAP with gene-level module/context module_disease_associated_microglia; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C014,M2,GFAP,CST7,gene,2,rank=2; score=1.239036,True,passed,"Stage 36C ranked CST7 for GFAP with gene-level module/context module_disease_associated_microglia; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C015,M2,GFAP,APOE,gene,2,rank=3; score=1.239036,True,passed,"Stage 36C ranked APOE for GFAP with gene-level module/context module_disease_associated_microglia; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C016,M2,GFAP,LGALS3,gene,2,rank=4; score=1.239036,True,passed,"Stage 36C ranked LGALS3 for GFAP with gene-level module/context module_disease_associated_microglia; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C017,M1,GFAP,CTSD,gene,1,rank=5; score=1.239036,True,passed,"Stage 36C ranked CTSD for GFAP with gene-level module/context module_disease_associated_microglia; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C018,M2,GFAP,CTSD,gene,2,rank=5; score=1.239036,True,passed,"Stage 36C ranked CTSD for GFAP with gene-level module/context module_disease_associated_microglia; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C019,M3,Iba1,HMOX1,gene,3,rank=1; score=1.25,True,passed,"Stage 36C ranked HMOX1 for Iba1 with gene-level module/context module_oxidative_stress; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C020,M3,Iba1,NQO1,gene,3,rank=2; score=1.25,True,passed,"Stage 36C ranked NQO1 for Iba1 with gene-level module/context module_oxidative_stress; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C021,M3,Iba1,SOD2,gene,3,rank=3; score=1.25,True,passed,"Stage 36C ranked SOD2 for Iba1 with gene-level module/context module_oxidative_stress; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C022,M3,Iba1,SOD1,gene,3,rank=4; score=1.25,True,passed,"Stage 36C ranked SOD1 for Iba1 with gene-level module/context module_oxidative_stress; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C023,M3,Iba1,GPX4,gene,3,rank=5; score=1.25,True,passed,"Stage 36C ranked GPX4 for Iba1 with gene-level module/context module_oxidative_stress; the target-level top module is module_pca_component_1. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C024,M1,NeuN,CTSB,gene,1,rank=1; score=1.25,True,passed,"Stage 36C ranked CTSB for NeuN with gene-level module/context module_lysosome_phagocytosis; the target-level top module is module_pca_component_2. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C025,M1,NeuN,LAPTM5,gene,1,rank=2; score=1.25,True,passed,"Stage 36C ranked LAPTM5 for NeuN with gene-level module/context module_lysosome_phagocytosis; the target-level top module is module_pca_component_2. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C026,M1,NeuN,CTSD,gene,1,rank=3; score=1.25,True,passed,"Stage 36C ranked CTSD for NeuN with gene-level module/context module_lysosome_phagocytosis; the target-level top module is module_pca_component_2. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C027,M2,NeuN,CTSD,gene,2,rank=3; score=1.25,True,passed,"Stage 36C ranked CTSD for NeuN with gene-level module/context module_lysosome_phagocytosis; the target-level top module is module_pca_component_2. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C028,M1,NeuN,NPC2,gene,1,rank=4; score=1.25,True,passed,"Stage 36C ranked NPC2 for NeuN with gene-level module/context module_lysosome_phagocytosis; the target-level top module is module_pca_component_2. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C029,M1,NeuN,LAMP2,gene,1,rank=5; score=1.25,True,passed,"Stage 36C ranked LAMP2 for NeuN with gene-level module/context module_lysosome_phagocytosis; the target-level top module is module_pca_component_2. This is model-implied prioritization, not validation.",pre-specified replication of candidate/pathology association plus cell/spatial/protein context; perturbation only as future causal follow-up,"clean independent validation and, for causal language, direct perturbational evidence with prespecified outcomes",internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
C030,M1,6e10/Aβ,module_pca_component_1,module,1,target-level top module from Stage 36C/36D,True,passed,Target-level module retained for validation-protocol planning; not validation.,"module-level replication, cell/spatial context, and manual biological review",clean independent validation; perturbation for causal claims,internally prioritized follow-up hypothesis with model-implied sensitivity and locally grounded prior support; requires independent validation before any strong biological claim,validated target; causal regulator; therapeutic target; gene ablation result; external validation; disease-modifying target; in silico counterfactual sensitivity equals validation
