condition,aux_condition_type,mean_pooled_oof_spearman,min_delta_vs_stage27c_target,iba1_spearman,n_targets,delta_vs_stage27c_mean,delta_vs_best_no_aux,delta_vs_best_shuffled_aux,seed
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.37955357351607316,-0.008079354540288908,0.17899944020510428,5,0.052851133503923675,,,10
no_aux_pls4,no_aux_baseline,0.3409761863891726,-0.0720470324194469,0.13350277873304828,5,0.014273746377023111,0.0,,10
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.3378007699936069,-0.07929744517256979,0.13080923055776075,5,0.011098329981457433,,0.0,10
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.36304025426472103,-0.024480469751488987,0.0998652909380779,5,0.03633781425257154,,,11
no_aux_pls4,no_aux_baseline,0.3365760706150288,-0.054676803506034544,0.09810278352117703,5,0.009873630602879324,0.0,,11
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.34550208986481773,-0.05256034536559817,0.0433941481264556,5,0.018799649852668243,,0.0,11
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.33735093404562394,-0.08432164970564304,0.14101123287606715,5,0.010648494033474454,,,12
no_aux_pls4,no_aux_baseline,0.2784837577514137,-0.1493440991802584,-0.004273374525938983,5,-0.04821868226073578,0.0,,12
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.3008992721372755,-0.09058490619985912,0.07874350785237329,5,-0.025803167874873967,,0.0,12
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.30545587212513825,-0.08775152539267067,0.03771540444972098,5,-0.021246567887011236,,,13
no_aux_pls4,no_aux_baseline,0.3218918745913077,-0.05285433132047812,0.03167931931222535,5,-0.004810565420841795,0.0,,13
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.2934427509623546,-0.09418249153021246,-0.019404595844700695,5,-0.03325968904979487,,0.0,13
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.35006515983820413,-0.04562389227654018,0.09364826353976258,5,0.023362719826054645,,,14
no_aux_pls4,no_aux_baseline,0.3194290945407912,-0.050363071014422,0.03833827051919779,5,-0.007273345471358272,0.0,,14
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.32991260790144744,-0.07708040307697889,0.0683830799831333,5,0.0032101678892979546,,0.0,14
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.3446577459653364,-0.07366642561416198,0.12355232661715022,5,0.017955305953186895,,,15
no_aux_pls4,no_aux_baseline,0.3398688282267716,-0.028124798873510548,0.07803677978401036,5,0.013166388214622127,0.0,,15
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.32461119528108384,-0.10578064598866127,0.08185506219524616,5,-0.0020912447310656446,,0.0,15
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.3037425838475568,-0.06370269559828501,-0.036669098005674236,5,-0.022959856164592674,,,16
no_aux_pls4,no_aux_baseline,0.28864050942070324,-0.1476809090470346,-0.04264390270695781,5,-0.03806193059144625,0.0,,16
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.3032033055940834,-0.06233147839482464,-0.008141937253952524,5,-0.02349913441806606,,0.0,16
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.3214889662850572,-0.09066165587482333,0.09513392590377329,5,-0.005213473727092299,,,17
no_aux_pls4,no_aux_baseline,0.28968795172981543,-0.07929781021951769,-0.0632200538157514,5,-0.03701448828233406,0.0,,17
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.2721900312968676,-0.10306863147962159,-0.08699087507585529,5,-0.0545124087152819,,0.0,17
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.34773961467615405,-0.07468768488510871,0.21082215102946775,5,0.021037174664004565,,,18
no_aux_pls4,no_aux_baseline,0.3696784522720644,-0.06269805409617615,0.20889794443410822,5,0.04297601225991493,0.0,,18
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.3379416704691188,-0.08753805774926027,0.19186365236360983,5,0.01123923045696934,,0.0,18
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.30787609745425815,-0.054463462597067136,0.007676182775792021,5,-0.01882634255789134,,,19
no_aux_pls4,no_aux_baseline,0.32874049556548357,-0.05644933126764573,0.0855924760171427,5,0.002038055553334084,0.0,,19
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.31253540714112904,-0.06708337387564975,0.0611157823903758,5,-0.014167032871020446,,0.0,19
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,0.33150987712453767,-0.053269135663661565,0.08877007163469373,5,0.00480743711238818,,,20
no_aux_pls4,no_aux_baseline,0.2715797732848507,-0.2323246468233161,0.05506863444552413,5,-0.055122666727298764,0.0,,20
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.31500130305852847,-0.06594246095296435,0.03287105321996529,5,-0.011701136953621016,,0.0,20
