gene,audit_priority,audit_groups,audit_selection_reason,audit_group::top20_tier1,audit_group::prior_anchor,audit_group::broad_state_caution_control,audit_group::special_review,final_tier,promotion_reason,deprioritization_reason,scorecard_interpretation,graph_interpretation,therapeutic_like_score_percentile,tau_lowering_score_percentile,neuron_preservation_score_percentile,gliosis_penalty_percentile,broad_shift_score_percentile,known_biology_note,claim_boundary
UGCG,priority_1_top_tier1,top20_tier1|special_review,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,True,False,False,True,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,99.62630792227203,98.20627802690582,98.6173393124066,43.90881913303439,87.4439461883408,Glycosphingolipid synthesis enzyme and lipid-state hypothesis anchor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
SLC38A9,priority_1_top_tier1,top20_tier1|special_review,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,True,False,False,True,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,99.2899850523169,98.355754857997,88.67713004484304,14.8355754857997,88.71449925261584,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
MDM2,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,99.2526158445441,98.91629297458894,94.76831091180868,56.98804185351271,67.63826606875935,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
SMARCA4,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,99.1778774289985,96.9357249626308,97.23467862481316,48.01943198804185,79.11061285500747,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
AP1G1,priority_1_top_tier1,top20_tier1|special_review,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,True,False,False,True,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,99.14050822122572,90.50822122571002,97.68310911808668,14.8355754857997,86.6965620328849,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
TLR2,priority_1_top_tier1,top20_tier1|prior_anchor,top-20 Tier-1 therapeutic-like percentile; pre-specified prior biological anchor,True,True,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,99.10313901345292,97.12257100149478,96.52466367713004,47.23467862481316,73.24364723467862,Innate immune pattern-recognition receptor previously prioritized by the project.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
NEMF,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,99.06576980568012,98.80418535127056,69.99252615844544,14.8355754857997,88.52765321375186,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
BAZ1A,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.87892376681614,95.62780269058295,92.60089686098657,14.8355754857997,89.57399103139014,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
GMDS,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.72944693572497,96.44992526158444,89.0881913303438,14.8355754857997,87.81763826606877,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
BTBD9,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.69207772795215,94.43198804185351,93.19880418535126,14.8355754857997,83.74439461883408,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
ARHGEF7,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.65470852017935,94.88041853512703,92.1898355754858,14.8355754857997,56.98804185351271,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
LRCH3,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.6173393124066,97.19730941704036,92.67563527653216,44.09566517189836,79.26008968609865,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
KIF1B,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.5799701046338,98.05680119581464,68.64723467862481,14.8355754857997,52.16741405082213,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
RAD51B,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.542600896861,95.92675635276532,89.27503736920778,14.8355754857997,68.34828101644244,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PI4KA,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.4678624813154,90.13452914798206,95.440956651719,14.8355754857997,48.16890881913303,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PTPRE,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.4304932735426,93.12406576980568,93.01195814648727,14.8355754857997,88.04185351270553,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
STARD13,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.3931240657698,94.73094170403589,90.05979073243647,14.8355754857997,80.68011958146487,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
SARAF,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.24364723467862,95.55306427503736,86.88340807174887,14.8355754857997,74.85052316890882,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
MSR1,priority_1_top_tier1,top20_tier1|special_review,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,True,False,False,True,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.20627802690582,95.73991031390136,91.03139013452916,38.15396113602392,71.78624813153961,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
NCOA2,priority_1_top_tier1,top20_tier1,top-20 Tier-1 therapeutic-like percentile,True,False,False,False,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,98.16890881913304,90.05979073243647,94.50672645739913,14.8355754857997,83.48281016442452,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
SLAIN2,priority_2_special_review,special_review,pre-specified special-review gene,False,False,False,True,broad_state_caution,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,100.0,99.43946188340809,99.2899850523169,48.13153961136024,97.98206278026906,Microtubule-associated candidate; project-specific biology remains under review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
GSK3B,priority_2_special_review,special_review,pre-specified special-review gene,False,False,False,True,unsupported_or_deprioritized,not_promoted,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.88789237668162,97.75784753363229,99.2526158445441,14.8355754857997,92.48878923766816,Kinase with established tau-phosphorylation relevance; remains an isolated model hit here.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
FIP1L1,priority_2_special_review,special_review,pre-specified special-review gene,False,False,False,True,broad_state_caution,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.85052316890882,99.62630792227203,98.4678624813154,67.82511210762333,97.15994020926756,RNA-processing-associated candidate; project-specific biology remains under review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
ERC1,priority_2_special_review,special_review,pre-specified special-review gene,False,False,False,True,broad_state_caution,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.66367713004485,99.58893871449924,81.68908819133034,14.8355754857997,98.91629297458894,Vesicle/scaffold-associated candidate requiring cell-state-specific validation.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
KIF2A,priority_2_special_review,special_review,pre-specified special-review gene,False,False,False,True,broad_state_caution,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.55156950672644,99.2526158445441,96.41255605381166,59.64125560538116,96.7488789237668,Microtubule motor regulator requiring cell-state-specific validation.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PTPN18,priority_2_special_review,special_review,pre-specified special-review gene,False,False,False,True,unsupported_or_deprioritized,not_promoted,gliosis_penalty,high_score_or_partial_signal_with_gliosis_penalty,isolated_high_score_no_fdr_supported_neighborhood,98.80418535127056,99.2899850523169,83.37070254110613,66.03139013452915,88.37817638266068,Protein tyrosine phosphatase candidate requiring pathway-specific validation.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PLD3,priority_2_special_review,special_review,pre-specified special-review gene,False,False,False,True,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,96.8609865470852,91.62929745889387,85.53811659192824,14.8355754857997,57.47384155455904,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
CD74,priority_2_special_review,special_review,pre-specified special-review gene,False,False,False,True,scorecard_supported_isolated_hypothesis,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,95.73991031390136,94.05829596412556,86.54708520179372,48.729446935724965,83.25859491778775,Antigen-presentation pathway component.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
CD4,priority_2_prior_anchor,prior_anchor,pre-specified prior biological anchor,False,True,False,False,biological_anchor_prior_candidate,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,89.91031390134529,97.38415545590432,89.8355754857997,78.1390134529148,92.2645739910314,Immune surface marker and signaling context; requires cell-state specificity review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
CTSD,priority_2_prior_anchor,prior_anchor,pre-specified prior biological anchor,False,True,False,False,biological_anchor_prior_candidate,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,87.33183856502242,49.43946188340807,85.98654708520179,30.194319880418536,36.99551569506727,Lysosomal protease linked to microglial degradative state.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
C3,priority_2_prior_anchor,prior_anchor,pre-specified prior biological anchor,False,True,False,False,biological_anchor_prior_candidate,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,68.16143497757847,33.44544095665172,65.95665171898357,32.62331838565022,2.6532137518684604,Complement pathway component with broad inflammatory context.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PLCG2,priority_2_prior_anchor,prior_anchor,pre-specified prior biological anchor,False,True,False,False,biological_anchor_prior_candidate,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,65.6576980568012,93.42301943198804,18.497757847533634,57.7727952167414,70.254110612855,Microglial immune-signaling enzyme and Alzheimer-risk biology anchor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
C1QA,priority_2_prior_anchor,prior_anchor,pre-specified prior biological anchor,False,True,False,False,biological_anchor_prior_candidate,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,64.72346786248131,23.916292974588934,71.37518684603886,33.29596412556054,68.87144992526159,Complement component and microglial state marker.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
TREM2,priority_2_prior_anchor,prior_anchor,pre-specified prior biological anchor,False,True,False,False,biological_anchor_prior_candidate,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,55.79222720478326,31.950672645739907,38.639760837070256,32.73542600896861,5.941704035874439,Microglial lipid-sensing receptor and Alzheimer-risk biology anchor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
CSF1R,priority_2_prior_anchor,prior_anchor,pre-specified prior biological anchor,False,True,False,False,biological_anchor_prior_candidate,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,51.71898355754858,97.53363228699553,12.10762331838565,77.20478325859492,81.57698056801196,Microglial survival and lineage receptor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
APOE,priority_2_prior_anchor,prior_anchor|broad_state_caution_control,pre-specified prior biological anchor; broad-state/gliosis/neuron-risk caution control,False,True,True,False,broad_state_caution,broad_state_caution_example,broad_shift_penalty,broad_reactive_state_confounded,no_supportive_one_hop_enrichment,51.195814648729446,98.4678624813154,56.65171898355755,90.17189835575483,96.15097159940208,Lipid-transport and Alzheimer-risk biology anchor with broad microglial effects.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
TYROBP,priority_2_prior_anchor,prior_anchor,pre-specified prior biological anchor,False,True,False,False,biological_anchor_prior_candidate,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,50.71001494768311,81.35276532137519,43.609865470852014,68.38565022421524,32.473841554559044,Immune receptor adaptor central to microglial signaling.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
APP,priority_2_prior_anchor,prior_anchor|broad_state_caution_control,pre-specified prior biological anchor; broad-state/gliosis/neuron-risk caution control,False,True,True,False,broad_state_caution,broad_state_caution_example,broad_shift_penalty,broad_reactive_state_confounded,no_supportive_one_hop_enrichment,1.2331838565022422,98.3931240657698,94.95515695067265,99.10313901345292,98.4304932735426,Amyloid precursor protein; direct Alzheimer-related biological anchor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
