dataset,state_label,n_high_tail,fraction_high_tail
DLPFC,Micro-PVM_2,1820,0.8564705882352941
MTG,Micro-PVM_2,1133,0.5665
MTG,Micro-PVM_3-SEAAD,604,0.302
DLPFC,Micro-PVM_3-SEAAD,247,0.11623529411764706
MTG,Micro-PVM_1,109,0.0545
MTG,Micro-PVM_2_3-SEAAD,108,0.054
DLPFC,Micro-PVM_1_1-SEAAD,43,0.02023529411764706
MTG,Micro-PVM_4-SEAAD,24,0.012
MTG,Monocyte,20,0.01
DLPFC,Micro-PVM_1,9,0.0042352941176470585
DLPFC,Micro-PVM_2_1-SEAAD,5,0.002352941176470588
MTG,Micro-PVM_2_1-SEAAD,2,0.001
DLPFC,Micro-PVM_2_2-SEAAD,1,0.00047058823529411766
