condition,aux_condition_type,mean_pooled_oof_spearman,min_delta_vs_stage27c_target,iba1_spearman,n_targets,delta_vs_stage27c_mean,delta_vs_best_no_aux,delta_vs_best_shuffled_aux
shuffled_aux_pls2_w0p05,shuffled_aux_negative_control,0.316693052237456,-0.053405662753663125,-0.03732790634989683,5,-0.010009387774693512,-0.02337059091587207,-0.027886203439496215
shuffled_aux_pls2_w0p1,shuffled_aux_negative_control,0.31473453437338283,-0.05552252418904885,-0.009367420882706068,5,-0.011967905638766652,-0.02532910877994521,-0.029844721303569355
shuffled_aux_pls2_w0p2,shuffled_aux_negative_control,0.3205150116352928,-0.11261446148249404,0.1463950662490799,5,-0.006187428376856707,-0.019548631518035264,-0.02406424404165941
shuffled_aux_pls4_w0p05,shuffled_aux_negative_control,0.3304980841576476,-0.06878848688429072,-0.052710730480524416,5,0.0037956441454981005,-0.009565558995680457,-0.014081171519304603
shuffled_aux_pls4_w0p1,shuffled_aux_negative_control,0.3337284210681742,-0.01773857480891635,-0.0016608184051500488,5,0.007025981056024699,-0.006335222085153858,-0.010850834608778004
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,0.3220875496982861,-0.03679140893844063,0.01368149795949827,5,-0.004614890313863362,-0.01797609345504192,-0.022491705978666066
shuffled_aux_pls6_w0p05,shuffled_aux_negative_control,0.33852875487045936,-0.01989561334731245,-0.0038178569435461493,5,0.011826314858309872,-0.001534888282868685,-0.006050500806492831
shuffled_aux_pls6_w0p1,shuffled_aux_negative_control,0.335400118626751,-0.04572944110059157,-0.02965168469682527,5,0.008697678614601523,-0.004663524526577034,-0.00917913705020118
shuffled_aux_pls6_w0p2,shuffled_aux_negative_control,0.33897511430651767,-0.02225771148791955,-0.00296719385798149,5,0.01227267429436818,-0.001088528846810377,-0.005604141370434523
shuffled_aux_pls8_w0p05,shuffled_aux_negative_control,0.3240130695498508,-0.010004918986133648,0.007828125775493827,5,-0.002689370462298668,-0.016050573603477225,-0.02056618612710137
shuffled_aux_pls8_w0p1,shuffled_aux_negative_control,0.33879387565869046,-0.021019703853237176,-0.004941947449470877,5,0.012091435646540971,-0.0012697674946375859,-0.005785380018261732
shuffled_aux_pls8_w0p2,shuffled_aux_negative_control,0.3445792556769522,-0.030356743911458792,-0.014278987507692492,5,0.017876815664802703,0.004515612523624146,0.0
