gene_symbol,old_stage47_tier,known_evidence_tier_update,reason,allowed_claim,disallowed_claims
APOE,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=10,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
BSG,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=7; perturbation=12; directionality=15; drug-mapping rows=2,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
CTSB,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=6,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
CTSD,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=2,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
GPX4,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=5,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
HMOX1,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=4,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
LAMP2,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=2,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
LGALS3,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=2,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
NFKBIA,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=15; directionality=20; drug-mapping rows=2,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
NQO1,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=4,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
SOD1,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=3,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
SOD2,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=2,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
TREM2,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=20; perturbation=20; directionality=20; drug-mapping rows=1,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
CST7,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=16; perturbation=6; directionality=16; drug-mapping rows=0,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
NPC2,Tier 1,high_priority_for_experimental_followup,PubMed AD=20; cell-state=11; perturbation=20; directionality=20; drug-mapping rows=0,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
LAPTM5,Tier 1,medium_priority_for_followup,PubMed AD=10; cell-state=8; perturbation=1; directionality=4; drug-mapping rows=0,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
SLC6A12,Tier 1,medium_priority_for_followup,PubMed AD=6; cell-state=2; perturbation=1; directionality=2; drug-mapping rows=4,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
IL27RA,Tier 1,medium_priority_for_followup,PubMed AD=3; cell-state=0; perturbation=2; directionality=3; drug-mapping rows=0,post hoc orthogonal evidence concordance for hypothesis prioritization,causal validation; therapeutic validation; completed drug discovery; our model validated ablation
