dataset_id,source_type,dataset_name,collection_name,role,stage_allowed,allowed_for_training,allowed_for_pretraining,allowed_for_auxiliary_supervision,reserved_for_clean_validation,allowed_for_model_selection,already_used,requires_matrix_audit,requires_gene_overlap_audit,requires_donor_mapping_audit,requires_ortholog_mapping,allowed_claim,forbidden_claim,notes
SEA-AD_internal,SEA-AD,SEA-AD Microglia-PVM internal benchmark,SEA-AD,main_internal_benchmark,Stage 27 internal training/evaluation,True,False,False,False,False,True,False,False,False,False,internal prediction,clean external validation,"Primary pathology-grounded discovery and benchmark dataset."
GSE157827,GEO,Candidate public external brain snRNA/scRNA dataset,,clean_external_holdout_candidate,external projection after freeze,False,False,False,True,False,False,True,True,True,False,clean external validation if untouched,training or model selection,"Metadata/schema only; remain untouched unless explicitly reclassified."
GSE147528,GEO,Candidate public external brain snRNA/scRNA dataset,,clean_external_holdout_candidate,external projection after freeze,False,False,False,True,False,False,True,True,True,False,clean external validation if untouched,training or model selection,"Metadata/schema only; remain untouched unless explicitly reclassified."
GSE203206,GEO,Bulk donor/sample-level external stress test,,external_stress_test,bulk stress-test after freeze,False,False,False,True,False,False,True,True,True,False,external stress-test support,cell-level microglia validation,"Bulk sample-level; not direct cell-level validation."
GSE98969,GEO,Mouse DAM/microglia auxiliary candidate,,external_training_pretraining_pool,pretraining only after review,True,True,False,False,False,False,True,True,True,True,domain-robust representation,human external validation,"Mouse; requires ortholog mapping."
GSE181279,GEO,Peripheral immune plausibility/auxiliary dataset,,auxiliary_training_pool,auxiliary/plausibility only,False,False,True,False,False,False,True,True,True,False,peripheral immune plausibility,direct brain microglia validation,"Peripheral blood is not brain microglia validation."
GSE174367,GEO,Morabito prefrontal cortex snRNA-seq,,already_used_plausibility_only,plausibility/context only,False,False,False,False,False,True,True,True,True,False,external projection support,clean external validation,"Already used in v1/v2 context."
GSE138852,GEO,Grubman/Leng entorhinal cortex,,already_used_plausibility_only,plausibility/context only,False,False,False,False,False,True,True,True,True,False,external projection support,clean external validation,"Already used in v1/v2 context."
GSE127893,GEO,Mouse subseries review required,,do_not_use_until_reviewed,none until subseries review,False,False,False,False,False,False,True,True,True,True,none,training or validation,"Do not download raw/SRA or use before subseries review."
37a17b78-4864-4a42-b67b-31c00962795a,CELLxGENE,MSSM_Cohort,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,clean_external_holdout_candidate,external validation after freeze,False,False,False,True,False,False,True,True,True,False,clean external validation if untouched,training/pretraining/model selection,"Large human PFC disease/control candidate; metadata only so far."
