condition,aux_condition_type,target,n_donors,pooled_oof_spearman,stage27c_target_spearman,delta_vs_stage27c_target
rare_aux_pls2_w0p05,rare_microglia_auxiliary_head,NeuN,84,0.44474152015272844,0.4519590968917688,-0.007217576739040332
rare_aux_pls2_w0p1,rare_microglia_auxiliary_head,6e10/A_beta,84,0.2813544837090212,0.3347372684013365,-0.05338278469231528
rare_aux_pls2_w0p1,rare_microglia_auxiliary_head,AT8,84,0.47718044715839225,0.5284398096588033,-0.051259362500411076
rare_aux_pls2_w0p1,rare_microglia_auxiliary_head,GFAP,84,0.3721481370337858,0.3022982687050723,0.06984986832871348
rare_aux_pls2_w0p1,rare_microglia_auxiliary_head,Iba1,84,0.08244343070930824,0.0160777564037663,0.06636567430554194
rare_aux_pls2_w0p1,rare_microglia_auxiliary_head,NeuN,84,0.4569547971657576,0.4519590968917688,0.0049957002739888234
rare_aux_pls2_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.2875635883104407,0.3347372684013365,-0.047173680090895787
rare_aux_pls2_w0p2,rare_microglia_auxiliary_head,AT8,84,0.4008992191286792,0.5284398096588033,-0.12754059053012412
rare_aux_pls2_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.37646201747940194,0.3022982687050723,0.07416374877432963
rare_aux_pls2_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.1264449915042897,0.0160777564037663,0.1103672351005234
rare_aux_pls2_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.44671630374936244,0.4519590968917688,-0.005242793142406332
rare_aux_pls4_w0p05,rare_microglia_auxiliary_head,6e10/A_beta,84,0.3555497385302251,0.3347372684013365,0.020812470128888594
rare_aux_pls4_w0p05,rare_microglia_auxiliary_head,AT8,84,0.5438518404077791,0.5284398096588033,0.015412030748975791
rare_aux_pls4_w0p05,rare_microglia_auxiliary_head,GFAP,84,0.3219714290337203,0.3022982687050723,0.019673160328647965
rare_aux_pls4_w0p05,rare_microglia_auxiliary_head,Iba1,84,-0.0698353885482606,0.0160777564037663,-0.0859131449520269
rare_aux_pls4_w0p05,rare_microglia_auxiliary_head,NeuN,84,0.48840955537675984,0.4519590968917688,0.036450458484991066
rare_aux_pls4_w0p1,rare_microglia_auxiliary_head,6e10/A_beta,84,0.3569576757889483,0.3347372684013365,0.02222040738761183
rare_aux_pls4_w0p1,rare_microglia_auxiliary_head,AT8,84,0.5316294267303778,0.5284398096588033,0.003189617071574502
rare_aux_pls4_w0p1,rare_microglia_auxiliary_head,GFAP,84,0.28281233118583865,0.3022982687050723,-0.019485937519233665
rare_aux_pls4_w0p1,rare_microglia_auxiliary_head,Iba1,84,-0.037702603185205075,0.0160777564037663,-0.05378035958897137
rare_aux_pls4_w0p1,rare_microglia_auxiliary_head,NeuN,84,0.4961162749513164,0.4519590968917688,0.04415717805954761
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.35939877564040357,0.3347372684013365,0.02466150723906707
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,AT8,84,0.5248043175186393,0.5284398096588033,-0.0036354921401640095
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.3299409687301989,0.3022982687050723,0.027642700025126588
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.08971457470258709,0.0160777564037663,0.0736368182988208
rare_aux_pls4_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.4916603529896806,0.4519590968917688,0.03970125609791181
rare_aux_pls6_w0p05,rare_microglia_auxiliary_head,6e10/A_beta,84,0.3823208045360192,0.3347372684013365,0.04758353613468269
rare_aux_pls6_w0p05,rare_microglia_auxiliary_head,AT8,84,0.5705244482174517,0.5284398096588033,0.04208463855864841
rare_aux_pls6_w0p05,rare_microglia_auxiliary_head,GFAP,84,0.30118176575942474,0.3022982687050723,-0.0011165029456475795
rare_aux_pls6_w0p05,rare_microglia_auxiliary_head,Iba1,84,-0.008405361440698419,0.0160777564037663,-0.02448311784446472
rare_aux_pls6_w0p05,rare_microglia_auxiliary_head,NeuN,84,0.458595386615269,0.4519590968917688,0.006636289723500222
rare_aux_pls6_w0p1,rare_microglia_auxiliary_head,6e10/A_beta,84,0.3759293771241175,0.3347372684013365,0.04119210872278101
rare_aux_pls6_w0p1,rare_microglia_auxiliary_head,AT8,84,0.5583830447384094,0.5284398096588033,0.029943235079606056
rare_aux_pls6_w0p1,rare_microglia_auxiliary_head,GFAP,84,0.3122196288714472,0.3022982687050723,0.009921360166374904
rare_aux_pls6_w0p1,rare_microglia_auxiliary_head,Iba1,84,-0.017185419716705078,0.0160777564037663,-0.033263176120471374
rare_aux_pls6_w0p1,rare_microglia_auxiliary_head,NeuN,84,0.49101221888616986,0.4519590968917688,0.039053121994401085
rare_aux_pls6_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.36747162452675164,0.3347372684013365,0.03273435612541514
rare_aux_pls6_w0p2,rare_microglia_auxiliary_head,AT8,84,0.51169079165929,0.5284398096588033,-0.016749017999513338
rare_aux_pls6_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.3237233100597569,0.3022982687050723,0.021425041354684593
rare_aux_pls6_w0p2,rare_microglia_auxiliary_head,Iba1,84,-0.022815999187823535,0.0160777564037663,-0.038893755591589835
rare_aux_pls6_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.4981315669294199,0.4519590968917688,0.046172470037651125
rare_aux_pls8_w0p05,rare_microglia_auxiliary_head,6e10/A_beta,84,0.3348155833603951,0.3347372684013365,7.831495905857855e-05
rare_aux_pls8_w0p05,rare_microglia_auxiliary_head,AT8,84,0.5336141765901713,0.5284398096588033,0.0051743669313679685
rare_aux_pls8_w0p05,rare_microglia_auxiliary_head,GFAP,84,0.30955636465267483,0.3022982687050723,0.007258095947602516
rare_aux_pls8_w0p05,rare_microglia_auxiliary_head,Iba1,84,-0.006278703726786771,0.0160777564037663,-0.02235646013055307
rare_aux_pls8_w0p05,rare_microglia_auxiliary_head,NeuN,84,0.4540989562721637,0.4519590968917688,0.002139859380394904
rare_aux_pls8_w0p1,rare_microglia_auxiliary_head,6e10/A_beta,84,0.33448132487451127,0.3347372684013365,-0.0002559435268252308
rare_aux_pls8_w0p1,rare_microglia_auxiliary_head,AT8,84,0.5526313206549265,0.5284398096588033,0.024191510996123156
rare_aux_pls8_w0p1,rare_microglia_auxiliary_head,GFAP,84,0.30287288790594563,0.3022982687050723,0.0005746192008733164
rare_aux_pls8_w0p1,rare_microglia_auxiliary_head,Iba1,84,-0.019008269185772204,0.0160777564037663,-0.03508602558953851
rare_aux_pls8_w0p1,rare_microglia_auxiliary_head,NeuN,84,0.4367309877171512,0.4519590968917688,-0.015228109174617588
rare_aux_pls8_w0p2,rare_microglia_auxiliary_head,6e10/A_beta,84,0.31832549805678834,0.3347372684013365,-0.01641177034454816
rare_aux_pls8_w0p2,rare_microglia_auxiliary_head,AT8,84,0.5304952839533531,0.5284398096588033,0.002055474294549775
rare_aux_pls8_w0p2,rare_microglia_auxiliary_head,GFAP,84,0.30236656390998123,0.3022982687050723,6.829520490891916e-05
rare_aux_pls8_w0p2,rare_microglia_auxiliary_head,Iba1,84,0.005255882635810216,0.0160777564037663,-0.010821873767956083
rare_aux_pls8_w0p2,rare_microglia_auxiliary_head,NeuN,84,0.4545749297544293,0.4519590968917688,0.0026158328626605387
shuffled_aux_pls2_w0p05,shuffled_aux_negative_control,6e10/A_beta,84,0.3654762026564749,0.3347372684013365,0.030738934255138406
shuffled_aux_pls2_w0p05,shuffled_aux_negative_control,AT8,84,0.4841979555912333,0.5284398096588033,-0.04424185406757003
shuffled_aux_pls2_w0p05,shuffled_aux_negative_control,GFAP,84,0.3092424437751769,0.3022982687050723,0.006944175070104586
shuffled_aux_pls2_w0p05,shuffled_aux_negative_control,Iba1,84,-0.03732790634989683,0.0160777564037663,-0.053405662753663125
shuffled_aux_pls2_w0p05,shuffled_aux_negative_control,NeuN,84,0.4618765655142917,0.4519590968917688,0.009917468622522907
shuffled_aux_pls2_w0p1,shuffled_aux_negative_control,6e10/A_beta,84,0.32305576208429715,0.3347372684013365,-0.011681506317039347
shuffled_aux_pls2_w0p1,shuffled_aux_negative_control,AT8,84,0.4729172854697545,0.5284398096588033,-0.05552252418904885
shuffled_aux_pls2_w0p1,shuffled_aux_negative_control,GFAP,84,0.34444208797461745,0.3022982687050723,0.042143819269545135
shuffled_aux_pls2_w0p1,shuffled_aux_negative_control,Iba1,84,-0.009367420882706068,0.0160777564037663,-0.025445177286472366
shuffled_aux_pls2_w0p1,shuffled_aux_negative_control,NeuN,84,0.4426249572209514,0.4519590968917688,-0.009334139670817365
shuffled_aux_pls2_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.2628284603550305,0.3347372684013365,-0.071908808046306
shuffled_aux_pls2_w0p2,shuffled_aux_negative_control,AT8,84,0.4158253481763093,0.5284398096588033,-0.11261446148249404
shuffled_aux_pls2_w0p2,shuffled_aux_negative_control,GFAP,84,0.3631659493453785,0.3022982687050723,0.06086768064030618
shuffled_aux_pls2_w0p2,shuffled_aux_negative_control,Iba1,84,0.1463950662490799,0.0160777564037663,0.13031730984531362
shuffled_aux_pls2_w0p2,shuffled_aux_negative_control,NeuN,84,0.41436023405066574,0.4519590968917688,-0.03759886284110303
shuffled_aux_pls4_w0p05,shuffled_aux_negative_control,6e10/A_beta,84,0.38137880334852814,0.3347372684013365,0.04664153494719164
shuffled_aux_pls4_w0p05,shuffled_aux_negative_control,AT8,84,0.5472745212884433,0.5284398096588033,0.01883471162964001
shuffled_aux_pls4_w0p05,shuffled_aux_negative_control,GFAP,84,0.29781977442622154,0.3022982687050723,-0.004478494278850775
shuffled_aux_pls4_w0p05,shuffled_aux_negative_control,Iba1,84,-0.052710730480524416,0.0160777564037663,-0.06878848688429072
shuffled_aux_pls4_w0p05,shuffled_aux_negative_control,NeuN,84,0.47872805220556913,0.4519590968917688,0.026768955313800358
shuffled_aux_pls4_w0p1,shuffled_aux_negative_control,6e10/A_beta,84,0.3706217575300819,0.3347372684013365,0.03588448912874542
shuffled_aux_pls4_w0p1,shuffled_aux_negative_control,AT8,84,0.5172298639720808,0.5284398096588033,-0.011209945686722511
shuffled_aux_pls4_w0p1,shuffled_aux_negative_control,GFAP,84,0.30803739266478175,0.3022982687050723,0.005739123959709436
shuffled_aux_pls4_w0p1,shuffled_aux_negative_control,Iba1,84,-0.0016608184051500488,0.0160777564037663,-0.01773857480891635
shuffled_aux_pls4_w0p1,shuffled_aux_negative_control,NeuN,84,0.47441390957907636,0.4519590968917688,0.02245481268730759
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.29794585946289587,0.3347372684013365,-0.03679140893844063
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,AT8,84,0.5017062847115538,0.5284398096588033,-0.026733524947249565
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,GFAP,84,0.32618404468014356,0.3022982687050723,0.023885775975071244
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,Iba1,84,0.01368149795949827,0.0160777564037663,-0.0023962584442680304
shuffled_aux_pls4_w0p2,shuffled_aux_negative_control,NeuN,84,0.4709200616773391,0.4519590968917688,0.0189609647855703
shuffled_aux_pls6_w0p05,shuffled_aux_negative_control,6e10/A_beta,84,0.3868079714828852,0.3347372684013365,0.05207070308154871
shuffled_aux_pls6_w0p05,shuffled_aux_negative_control,AT8,84,0.5649752496298661,0.5284398096588033,0.03653543997106279
shuffled_aux_pls6_w0p05,shuffled_aux_negative_control,GFAP,84,0.2887261954587021,0.3022982687050723,-0.01357207324637022
shuffled_aux_pls6_w0p05,shuffled_aux_negative_control,Iba1,84,-0.0038178569435461493,0.0160777564037663,-0.01989561334731245
shuffled_aux_pls6_w0p05,shuffled_aux_negative_control,NeuN,84,0.4559522147243895,0.4519590968917688,0.003993117832620741
shuffled_aux_pls6_w0p1,shuffled_aux_negative_control,6e10/A_beta,84,0.391680042140769,0.3347372684013365,0.05694277373943252
shuffled_aux_pls6_w0p1,shuffled_aux_negative_control,AT8,84,0.545279645153855,0.5284398096588033,0.016839835495051636
shuffled_aux_pls6_w0p1,shuffled_aux_negative_control,GFAP,84,0.28453383277211736,0.3022982687050723,-0.01776443593295496
shuffled_aux_pls6_w0p1,shuffled_aux_negative_control,Iba1,84,-0.02965168469682527,0.0160777564037663,-0.04572944110059157
shuffled_aux_pls6_w0p1,shuffled_aux_negative_control,NeuN,84,0.4851587577638391,0.4519590968917688,0.033199660872070325
shuffled_aux_pls6_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.3945364328383225,0.3347372684013365,0.05979916443698602
shuffled_aux_pls6_w0p2,shuffled_aux_negative_control,AT8,84,0.5061820981708838,0.5284398096588033,-0.02225771148791955
shuffled_aux_pls6_w0p2,shuffled_aux_negative_control,GFAP,84,0.32825997306359733,0.3022982687050723,0.025961704358525017
shuffled_aux_pls6_w0p2,shuffled_aux_negative_control,Iba1,84,-0.00296719385798149,0.0160777564037663,-0.01904495026174779
shuffled_aux_pls6_w0p2,shuffled_aux_negative_control,NeuN,84,0.46886426131776615,0.4519590968917688,0.016905164425997377
shuffled_aux_pls8_w0p05,shuffled_aux_negative_control,6e10/A_beta,84,0.332414999689047,0.3347372684013365,-0.0023222687122895214
shuffled_aux_pls8_w0p05,shuffled_aux_negative_control,AT8,84,0.5184348906726697,0.5284398096588033,-0.010004918986133648
shuffled_aux_pls8_w0p05,shuffled_aux_negative_control,GFAP,84,0.30165771031563116,0.3022982687050723,-0.0006405583894411593
shuffled_aux_pls8_w0p05,shuffled_aux_negative_control,Iba1,84,0.007828125775493827,0.0160777564037663,-0.008249630628272473
shuffled_aux_pls8_w0p05,shuffled_aux_negative_control,NeuN,84,0.4597296212964126,0.4519590968917688,0.007770524404643819
shuffled_aux_pls8_w0p1,shuffled_aux_negative_control,6e10/A_beta,84,0.3792314458028496,0.3347372684013365,0.044494177401513124
shuffled_aux_pls8_w0p1,shuffled_aux_negative_control,AT8,84,0.5569856188167183,0.5284398096588033,0.028545809157914936
shuffled_aux_pls8_w0p1,shuffled_aux_negative_control,GFAP,84,0.29286792574569037,0.3022982687050723,-0.009430342959381943
shuffled_aux_pls8_w0p1,shuffled_aux_negative_control,Iba1,84,-0.004941947449470877,0.0160777564037663,-0.021019703853237176
shuffled_aux_pls8_w0p1,shuffled_aux_negative_control,NeuN,84,0.46982633537766477,0.4519590968917688,0.017867238485895998
shuffled_aux_pls8_w0p2,shuffled_aux_negative_control,6e10/A_beta,84,0.4061949636641526,0.3347372684013365,0.07145769526281609
shuffled_aux_pls8_w0p2,shuffled_aux_negative_control,AT8,84,0.55871721180664,0.5284398096588033,0.030277402147836696
shuffled_aux_pls8_w0p2,shuffled_aux_negative_control,GFAP,84,0.31386011861837165,0.3022982687050723,0.011561849913299338
shuffled_aux_pls8_w0p2,shuffled_aux_negative_control,Iba1,84,-0.014278987507692492,0.0160777564037663,-0.030356743911458792
shuffled_aux_pls8_w0p2,shuffled_aux_negative_control,NeuN,84,0.4584029718032892,0.4519590968917688,0.006443874911520431
