regulator,mean_directed_abs_delta,mean_delta_vs_expression_only,mean_delta_vs_reversed,mean_delta_vs_target_shuffled,mean_delta_vs_random,n_regions,n_direct_targets,median_edge_weight,median_abs_rho,control_specificity_score,candidate_for_followup
IRF8,0.03130521601302213,0.03130521601302213,0.03130521601302213,0.006933956130853833,0.010668290087918426,2,22,0.955,0.4117647058823529,0.020053169561204127,True
STAT1,0.030933464838730045,0.030933464838730045,0.030933464838730045,0.002398219331315586,0.005767466990368227,2,27,0.95,0.434468524251806,0.017508153999785975,True
ELF1,0.05376125835593126,0.05376125835593126,,0.012960906129667576,0.004941982040051675,2,33,1.0,0.6553147574819401,0.023888048841883502,False
RELA,0.04210909035790306,0.043280042012502656,,0.012039470906951049,0.01220576514134125,2,30,0.965,0.44272445820433437,0.022508426020264986,False
BACH1,0.048001833889678665,0.048001833889678665,,0.009442797103773323,0.008359648321820273,2,29,0.99,0.5954592363261093,0.02193475977175742,False
NRF1,0.05401681829198832,0.05401681829198832,,0.004101230654040125,0.003824783121198258,2,29,1.0,0.7027863777089782,0.020647610689075568,False
SPI1,0.05383125643194202,0.05383125643194202,,0.0028963925676953675,0.0025732631630499755,2,32,1.0,0.6676986584107327,0.019766970720895786,False
CEBPA,0.03159412952048192,0.0322245802089573,,0.011640558146176297,0.008282762020708604,2,19,0.95,0.4200206398348813,0.01738263345861407,False
STAT3,0.04330072449207179,0.04330072449207179,,0.008434667170275483,0.00020481533398272397,2,31,0.995,0.5851393188854489,0.017313402332109998,False
MITF,0.029951800548120397,0.029951800548120397,,0.010291838170992114,0.009702563947620691,2,26,0.9325000000000001,0.3787409700722394,0.016648734222244402,False
NFKB1,0.048724379063109835,0.048724379063109835,,0.0003530194819084259,0.00020542380914966019,2,31,0.995,0.6305469556243549,0.016427607451389308,False
CEBPB,0.04712495962319256,0.04712495962319256,,-0.005695254317427689,-0.002241123411172344,2,30,0.995,0.631578947368421,0.013062860631530842,False
PPARG,0.04195968549744335,0.04195968549744335,,-0.012736796980798461,0.007962743735820482,2,29,0.99,0.5356037151702786,0.012395210750821789,False
MAFB,0.02801213460416991,0.02801213460416991,,0.0030281198093253456,0.004874995514678543,2,27,0.96,0.436532507739938,0.011971749976057933,False
MAF,0.023545444157025263,0.023545444157025263,,0.00035605120834109397,0.0069194350576532535,2,24,0.92,0.37770897832817335,0.01027364347433987,False
NFE2L2,0.044711990602536514,0.044711990602536514,,-0.014341108011094835,-0.0009567083144843141,2,30,0.9924999999999999,0.5964912280701754,0.009804724758985788,False
ETS1,0.013896844161309773,0.013803109102940213,,0.007700274689983678,0.005131359876597462,2,15,0.885,0.26109391124871,0.008878247889840452,False
SREBF1,0.030454115746833512,0.028360932649714718,,-0.011529016341730775,0.006288919581348773,2,32,0.96,0.4365325077399381,0.00770694529644424,False
JUN,0.017028148083971552,0.016570663083485527,,0.003385670171009901,-0.0003550949552592001,2,14,0.905,0.3126934984520124,0.006533746099745409,False
RUNX1,0.03821744637980383,0.0367577609954831,,-0.02079738208105073,-0.0004340347363262255,2,27,0.985,0.587203302373581,0.005175448059368715,False
FOS,0.006186155728375254,0.00640548753832758,,0.003493379439321466,0.0017859318974646154,2,4,0.845,0.28314547152733105,0.0038949329583712207,False
