resource_id,required_linkage_keys,minimum_required_fields,aggregation_unit,linkage_risk,stage41b_requirement
sea_ad_donor_metadata,Donor ID,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,medium,Must link to locked donor IDs without using target values.
sea_ad_mri_volumetrics,Donor ID,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,medium,Must link to locked donor IDs without using target values.
cellxgene_snrna_metadata,donor_id / Donor ID,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,medium,Must link to locked donor IDs without using target values.
donor_celltype_composition,Donor ID,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,medium,Must link to locked donor IDs without using target values.
celltype_module_state_summaries,Donor ID; cell_type,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,medium,Must link to locked donor IDs without using target values.
spatial_transcriptomics_neighborhoods,Donor ID; section_id; spot/cell_id,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,high,Must link to locked donor IDs without using target values.
snatac_regulatory_modules,Donor ID; cell_id,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,high,Must link to locked donor IDs without using target values.
microglia_multiregion_states,Donor ID; region,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,medium,Must link to locked donor IDs without using target values.
he_lfb_non_target_morphology,Donor ID; slide_id; section_id,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,medium,Must link to locked donor IDs without using target values.
cell_id_conversion_tables,cell_id; donor_id,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,high,Must link to locked donor IDs without using target values.
sea_ad_whitepapers_methods,N/A,donor_id; source_file; provenance; feature_generation_date,donor or donor-region/section before donor-held-out folds,medium,Must link to locked donor IDs without using target values.
