audit_item,pass,evidence
no_external_data_used,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_external_model_selection,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_candidate_selection,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
frozen_candidates_preserved,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
donor_held_out_evaluation_preserved,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
train_fold_only_preprocessing_preserved,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
forbidden_features_excluded,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
proxy_risk_features_comparator_only,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
negative_controls_reported,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_clean_external_validation_claim,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_causal_claim,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_therapeutic_claim,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_gene_ablation_claim,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
no_disease_modifying_claim,True,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
safety_audit_pass,True,all safety checks passed
